globalIndex,MaxSuccessfulTests,MaxSuccessfulTestsTimesteps,controlValues_00,controlValues_01,controlValues_10,controlValues_11,controlValues_20,controlValues_21,case,computationIndex
0,50,25600,1,2.0,0,1,0,0,1,0
1,50,30720,1,2.0,0,1,0,0,2,1
2,50,35840,1,2.0,0,1,0,0,3,2
3,50,20480,1,2.0,0,1,0,0,4,3
4,50,25600,1,2.0,0,1,0,0,5,4
5,50,26880,1,2.0,0,2,0,0,1,5
6,50,23040,1,2.0,0,2,0,0,2,6
7,50,29440,1,2.0,0,2,0,0,3,7
8,50,19200,1,2.0,0,2,0,0,4,8
9,50,19200,1,2.0,0,2,0,0,5,9
10,50,26880,1,2.0,0,3,0,0,1,10
11,50,19200,1,2.0,0,3,0,0,2,11
12,50,20480,1,2.0,0,3,0,0,3,12
13,50,25600,1,2.0,0,3,0,0,4,13
14,50,21760,1,2.0,0,3,0,0,5,14
15,50,25600,1,2.0,0,4,0,0,1,15
16,50,23040,1,2.0,0,4,0,0,2,16
17,50,20480,1,2.0,0,4,0,0,3,17
18,50,25600,1,2.0,0,4,0,0,4,18
19,50,25600,1,2.0,0,4,0,0,5,19
20,50,20480,1,2.0,0,5,0,0,1,20
21,50,26880,1,2.0,0,5,0,0,2,21
22,50,19200,1,2.0,0,5,0,0,3,22
23,50,21760,1,2.0,0,5,0,0,4,23
24,50,25600,1,2.0,0,5,0,0,5,24
25,50,25600,1,2.0,0,6,0,0,1,25
26,50,25600,1,2.0,0,6,0,0,2,26
27,50,19200,1,2.0,0,6,0,0,3,27
28,50,25600,1,2.0,0,6,0,0,4,28
29,50,25600,1,2.0,0,6,0,0,5,29
30,50,20480,1,2.0,0,7,0,0,1,30
31,50,23040,1,2.0,0,7,0,0,2,31
32,50,24320,1,2.0,0,7,0,0,3,32
33,50,25600,1,2.0,0,7,0,0,4,33
34,50,25600,1,2.0,0,7,0,0,5,34
35,50,26880,1,4.0,0,1,0,0,1,35
36,50,34560,1,4.0,0,1,0,0,2,36
37,50,29440,1,4.0,0,1,0,0,3,37
38,50,26880,1,4.0,0,1,0,0,4,38
39,50,32000,1,4.0,0,1,0,0,5,39
40,50,29440,1,4.0,0,2,0,0,1,40
41,50,23040,1,4.0,0,2,0,0,2,41
42,50,19200,1,4.0,0,2,0,0,3,42
43,50,20480,1,4.0,0,2,0,0,4,43
44,50,29440,1,4.0,0,2,0,0,5,44
45,50,20480,1,4.0,0,3,0,0,1,45
46,50,25600,1,4.0,0,3,0,0,2,46
47,50,15360,1,4.0,0,3,0,0,3,47
48,50,26880,1,4.0,0,3,0,0,4,48
49,50,24320,1,4.0,0,3,0,0,5,49
50,50,25600,1,4.0,0,4,0,0,1,50
51,50,32000,1,4.0,0,4,0,0,2,51
52,50,29440,1,4.0,0,4,0,0,3,52
53,50,21760,1,4.0,0,4,0,0,4,53
54,50,32000,1,4.0,0,4,0,0,5,54
55,50,21760,1,4.0,0,5,0,0,1,55
56,50,25600,1,4.0,0,5,0,0,2,56
57,50,19200,1,4.0,0,5,0,0,3,57
58,50,20480,1,4.0,0,5,0,0,4,58
59,48,29440,1,4.0,0,5,0,0,5,59
60,50,26880,1,4.0,0,6,0,0,1,60
61,50,23040,1,4.0,0,6,0,0,2,61
62,50,21760,1,4.0,0,6,0,0,3,62
63,50,20480,1,4.0,0,6,0,0,4,63
64,50,25600,1,4.0,0,6,0,0,5,64
65,50,20480,1,4.0,0,7,0,0,1,65
66,50,26880,1,4.0,0,7,0,0,2,66
67,50,24320,1,4.0,0,7,0,0,3,67
68,50,26880,1,4.0,0,7,0,0,4,68
69,50,25600,1,4.0,0,7,0,0,5,69
70,50,26880,1,6.0,0,1,0,0,1,70
71,50,23040,1,6.0,0,1,0,0,2,71
72,50,19200,1,6.0,0,1,0,0,3,72
73,50,25600,1,6.0,0,1,0,0,4,73
74,50,29440,1,6.0,0,1,0,0,5,74
75,50,25600,1,6.0,0,2,0,0,1,75
76,50,25600,1,6.0,0,2,0,0,2,76
77,50,26880,1,6.0,0,2,0,0,3,77
78,50,25600,1,6.0,0,2,0,0,4,78
79,50,25600,1,6.0,0,2,0,0,5,79
80,50,25600,1,6.0,0,3,0,0,1,80
81,50,23040,1,6.0,0,3,0,0,2,81
82,50,26880,1,6.0,0,3,0,0,3,82
83,50,25600,1,6.0,0,3,0,0,4,83
84,50,25600,1,6.0,0,3,0,0,5,84
85,50,19200,1,6.0,0,4,0,0,1,85
86,50,23040,1,6.0,0,4,0,0,2,86
87,50,29440,1,6.0,0,4,0,0,3,87
88,50,20480,1,6.0,0,4,0,0,4,88
89,50,20480,1,6.0,0,4,0,0,5,89
90,50,25600,1,6.0,0,5,0,0,1,90
91,50,23040,1,6.0,0,5,0,0,2,91
92,50,29440,1,6.0,0,5,0,0,3,92
