globalIndex,MaxSuccessfulTests,MaxSuccessfulTestsTimesteps,controlValues_00,controlValues_01,controlValues_10,controlValues_11,controlValues_20,controlValues_21,decaySteps_0,decaySteps_1,decaySteps_2,case,computationIndex
843,50,14080,1,4.0,0,4.0,0,0,0,7000.0,6000.0,4,843
1853,50,14080,1,8.0,0,4.0,0,0,0,4000.0,14000.0,4,1853
3274,50,14080,2,4.0,0,2.0,0,0,0,4000.0,6000.0,5,3274
3623,50,14080,2,4.0,0,6.0,0,0,0,3000.0,14000.0,4,3623
4324,50,14080,2,8.0,0,2.0,0,0,0,3000.0,6000.0,5,4324
4383,50,14080,2,8.0,0,2.0,0,0,0,5000.0,6000.0,4,4383
4398,50,14080,2,8.0,0,2.0,0,0,0,5000.0,12000.0,4,4398
4733,50,14080,2,8.0,0,6.0,0,0,0,4000.0,14000.0,4,4733
5439,50,14080,3,2.0,0,2.0,0,0,0,4000.0,8000.0,5,5439
8768,50,14080,4,4.0,0,2.0,0,0,0,7000.0,8000.0,4,8768
10903,50,14080,5,2.0,0,2.0,0,0,0,6000.0,10000.0,4,10903
