globalIndex,MaxSuccessfulTests,MaxSuccessfulTestsTimesteps,decaySteps_0,decaySteps_1,controlValues_00,controlValues_01,controlValues_10,controlValues_11,dFactor,case,computationIndex
1,48,25600,0,3000.0,1,2.0,0,0,0.0005,2,1
3,50,20480,0,3000.0,1,2.0,0,0,0.0005,4,3
4,50,25600,0,3000.0,1,2.0,0,0,0.0005,5,4
7,50,23040,0,3000.0,1,2.0,0,0,0.00075,3,7
8,50,25600,0,3000.0,1,2.0,0,0,0.00075,4,8
13,50,25600,0,3000.0,1,2.0,0,0,0.00025,4,13
14,50,25600,0,3000.0,1,2.0,0,0,0.00025,5,14
16,50,25600,0,3000.0,1,4.0,0,0,0.0005,2,16
19,50,21760,0,3000.0,1,4.0,0,0,0.0005,5,19
20,50,20480,0,3000.0,1,4.0,0,0,0.00075,1,20
23,50,25600,0,3000.0,1,4.0,0,0,0.00075,4,23
24,50,25600,0,3000.0,1,4.0,0,0,0.00075,5,24
25,50,20480,0,3000.0,1,4.0,0,0,0.00025,1,25
26,46,25600,0,3000.0,1,4.0,0,0,0.00025,2,26
28,50,25600,0,3000.0,1,4.0,0,0,0.00025,4,28
29,50,25600,0,3000.0,1,4.0,0,0,0.00025,5,29
31,50,23040,0,3000.0,1,6.0,0,0,0.0005,2,31
32,50,15360,0,3000.0,1,6.0,0,0,0.0005,3,32
33,50,25600,0,3000.0,1,6.0,0,0,0.0005,4,33
34,50,21760,0,3000.0,1,6.0,0,0,0.0005,5,34
36,50,23040,0,3000.0,1,6.0,0,0,0.00075,2,36
38,50,25600,0,3000.0,1,6.0,0,0,0.00075,4,38
39,46,23040,0,3000.0,1,6.0,0,0,0.00075,5,39
41,50,25600,0,3000.0,1,6.0,0,0,0.00025,2,41
42,49,20480,0,3000.0,1,6.0,0,0,0.00025,3,42
43,50,21760,0,3000.0,1,6.0,0,0,0.00025,4,43
45,50,25600,0,3000.0,1,8.0,0,0,0.0005,1,45
46,50,25600,0,3000.0,1,8.0,0,0,0.0005,2,46
50,50,21760,0,3000.0,1,8.0,0,0,0.00075,1,50
51,46,23040,0,3000.0,1,8.0,0,0,0.00075,2,51
53,50,25600,0,3000.0,1,8.0,0,0,0.00075,4,53
54,50,21760,0,3000.0,1,8.0,0,0,0.00075,5,54
