#parameter variation file for learning
#varied parameters:
#decaySteps_0 = 0
#decaySteps_1 = 10000.0
#controlValues_00 = 1
#controlValues_01 = 8.0
#controlValues_10 = 0
#controlValues_11 = 0
#case = 1
#computationIndex = 140
#functionData = {'nArms': 1, 'evaluationSteps': 1000, 'episodeSteps': 1024, 'episodeStepsMax': 1280, 'totalLearningSteps': 25000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.93, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.5, 'stepUpdateTime': 0.02, 'thresholdFactor': 0.5, 'cartForce': 12, 'forceFactor': 1, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models\\Curriculum-Learning\\SP\\PPO_CL_Var3_EXP_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': True, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models\\Curriculum-Learning\\SP\\PPO_CL_Var3_EXP_Results', 'verbose': True, 'curicculumLearning': {'decayType': 'exp', 'decaySteps': [0, 10000.0], 'controlValues': [[1, 8.0], [0, 0]], 'dFactor': 0.05, 'nStepsLastChange': 0, 'iDecay': 0}}
#
'totalSteps': 1280, 'rewardStep': 0.895581591208167, 'errorList': [], 'lossList': [0.0, -1.4293043220043182, 0.0, 83.43141898155213, 0.0, 0.0, 0.0], 'rewardMean': 0.895581591208167, 'totalEpisodes': 6, 'stepsPerEpisode': 119, 'rewardPerEpisode': 100.8434843835356
'totalSteps': 2560, 'rewardStep': 0.7733639601637015, 'errorList': [], 'lossList': [0.0, -1.4349063682556151, 0.0, 23.84099908351898, 0.0, 0.0, 0.0], 'rewardMean': 0.8344727756859343, 'totalEpisodes': 17, 'stepsPerEpisode': 19, 'rewardPerEpisode': 16.248087820606834
'totalSteps': 3840, 'rewardStep': 0.5398797174682425, 'errorList': [], 'lossList': [0.0, -1.4238869279623032, 0.0, 51.698333683013914, 0.0, 0.0, 0.0], 'rewardMean': 0.7362750896133704, 'totalEpisodes': 55, 'stepsPerEpisode': 7, 'rewardPerEpisode': 4.256627741612596
'totalSteps': 5120, 'rewardStep': 0.7448128393567287, 'errorList': [], 'lossList': [0.0, -1.4078312957286834, 0.0, 58.50302875518799, 0.0, 0.0, 0.0], 'rewardMean': 0.7384095270492099, 'totalEpisodes': 96, 'stepsPerEpisode': 45, 'rewardPerEpisode': 34.7644796634083
'totalSteps': 6400, 'rewardStep': 0.9777027683006805, 'errorList': [], 'lossList': [0.0, -1.388315634727478, 0.0, 59.606431255340574, 0.0, 0.0, 0.0], 'rewardMean': 0.7862681752995041, 'totalEpisodes': 125, 'stepsPerEpisode': 26, 'rewardPerEpisode': 23.483747117001858
'totalSteps': 7680, 'rewardStep': 0.9050447836947577, 'errorList': [], 'lossList': [0.0, -1.378208223581314, 0.0, 36.1887697315216, 0.0, 0.0, 0.0], 'rewardMean': 0.806064276698713, 'totalEpisodes': 137, 'stepsPerEpisode': 38, 'rewardPerEpisode': 27.248422687024448
'totalSteps': 8960, 'rewardStep': 0.8404929656553553, 'errorList': [], 'lossList': [0.0, -1.3559202069044114, 0.0, 33.76545360088348, 0.0, 0.0, 0.0], 'rewardMean': 0.8109826608353761, 'totalEpisodes': 146, 'stepsPerEpisode': 25, 'rewardPerEpisode': 22.698197256475677
'totalSteps': 10240, 'rewardStep': 0.7095673148857298, 'errorList': [], 'lossList': [0.0, -1.3396818935871124, 0.0, 23.478365901708603, 0.0, 0.0, 0.0], 'rewardMean': 0.7983057425916704, 'totalEpisodes': 152, 'stepsPerEpisode': 16, 'rewardPerEpisode': 12.734969263004052
'totalSteps': 11520, 'rewardStep': 0.7133304383238427, 'errorList': [], 'lossList': [0.0, -1.3233502221107483, 0.0, 33.55868987083435, 0.0, 0.0, 0.0], 'rewardMean': 0.7888640421174674, 'totalEpisodes': 160, 'stepsPerEpisode': 68, 'rewardPerEpisode': 51.261681743660404
'totalSteps': 12800, 'rewardStep': 0.8286116743595157, 'errorList': [], 'lossList': [0.0, -1.3169862282276155, 0.0, 19.61732855796814, 0.0, 0.0, 0.0], 'rewardMean': 0.7928388053416722, 'totalEpisodes': 164, 'stepsPerEpisode': 14, 'rewardPerEpisode': 11.901238929749896
'totalSteps': 14080, 'rewardStep': 0.7739551504366199, 'errorList': [], 'lossList': [0.0, -1.3112124156951905, 0.0, 6.018940440118313, 0.0, 0.0, 0.0], 'rewardMean': 0.7806761612645173, 'totalEpisodes': 168, 'stepsPerEpisode': 38, 'rewardPerEpisode': 31.596782242555992
'totalSteps': 15360, 'rewardStep': 0.7575094633739753, 'errorList': [], 'lossList': [0.0, -1.3065946859121322, 0.0, 4.092868244647979, 0.0, 0.0, 0.0], 'rewardMean': 0.7790907115855448, 'totalEpisodes': 171, 'stepsPerEpisode': 81, 'rewardPerEpisode': 66.39190262458537
'totalSteps': 16640, 'rewardStep': 0.7594227900318039, 'errorList': [], 'lossList': [0.0, -1.31192465364933, 0.0, 21.871460968255995, 0.0, 0.0, 0.0], 'rewardMean': 0.8010450188419009, 'totalEpisodes': 174, 'stepsPerEpisode': 303, 'rewardPerEpisode': 261.50967459772477
'totalSteps': 17920, 'rewardStep': 0.8350184962957908, 'errorList': [], 'lossList': [0.0, -1.3114386957883835, 0.0, 17.232157961726188, 0.0, 0.0, 0.0], 'rewardMean': 0.8100655845358071, 'totalEpisodes': 178, 'stepsPerEpisode': 245, 'rewardPerEpisode': 186.40877691581153
