#parameter variation file for learning
#varied parameters:
#decaySteps_0 = 0
#decaySteps_1 = 6000.0
#controlValues_00 = 1
#controlValues_01 = 8.0
#controlValues_10 = 0
#controlValues_11 = 0
#case = 2
#computationIndex = 41
#functionData = {'nArms': 1, 'evaluationSteps': 1000, 'episodeSteps': 1024, 'episodeStepsMax': 1280, 'totalLearningSteps': 25000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.93, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.5, 'stepUpdateTime': 0.02, 'thresholdFactor': 0.5, 'cartForce': 12, 'forceFactor': 1, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models\\Curriculum-Learning\\SP\\PPO_CL_Var3_LIN_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': True, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models\\Curriculum-Learning\\SP\\PPO_CL_Var3_LIN_Results', 'verbose': True, 'curicculumLearning': {'decayType': 'lin', 'decaySteps': [0, 6000.0], 'controlValues': [[1, 8.0], [0, 0]], 'dFactor': 0.05, 'nStepsLastChange': 0, 'iDecay': 0}}
#
'totalSteps': 1280, 'rewardStep': 0.5586477184763551, 'errorList': [], 'lossList': [0.0, -1.422742450237274, 0.0, 84.1290883731842, 0.0, 0.0, 0.0], 'rewardMean': 0.5586477184763551, 'totalEpisodes': 6, 'stepsPerEpisode': 109, 'rewardPerEpisode': 73.88594114249605
'totalSteps': 2560, 'rewardStep': 0.8266675784039538, 'errorList': [], 'lossList': [0.0, -1.4498333436250688, 0.0, 33.646943078041076, 0.0, 0.0, 0.0], 'rewardMean': 0.6926576484401544, 'totalEpisodes': 12, 'stepsPerEpisode': 80, 'rewardPerEpisode': 70.73685203524754
'totalSteps': 3840, 'rewardStep': 0.8730151281365663, 'errorList': [], 'lossList': [0.0, -1.4724855029582977, 0.0, 31.682995685338973, 0.0, 0.0, 0.0], 'rewardMean': 0.7527768083389583, 'totalEpisodes': 15, 'stepsPerEpisode': 167, 'rewardPerEpisode': 121.86731458876703
'totalSteps': 5120, 'rewardStep': 0.8702119791060828, 'errorList': [], 'lossList': [0.0, -1.4657773387432098, 0.0, 47.03616209030152, 0.0, 0.0, 0.0], 'rewardMean': 0.7821356010307394, 'totalEpisodes': 23, 'stepsPerEpisode': 10, 'rewardPerEpisode': 7.787713309084993
'totalSteps': 6400, 'rewardStep': 0.496099875615256, 'errorList': [], 'lossList': [0.0, -1.4587411147356033, 0.0, 91.44797542572022, 0.0, 0.0, 0.0], 'rewardMean': 0.7249284559476428, 'totalEpisodes': 39, 'stepsPerEpisode': 5, 'rewardPerEpisode': 2.901006488031749
'totalSteps': 7680, 'rewardStep': 0.279687071132324, 'errorList': [], 'lossList': [0.0, -1.4447751384973526, 0.0, 113.58957160949707, 0.0, 0.0, 0.0], 'rewardMean': 0.650721558478423, 'totalEpisodes': 75, 'stepsPerEpisode': 82, 'rewardPerEpisode': 52.33459591492239
'totalSteps': 8960, 'rewardStep': 0.6635538106330613, 'errorList': [], 'lossList': [0.0, -1.4351746678352355, 0.0, 67.61321298599243, 0.0, 0.0, 0.0], 'rewardMean': 0.652554737357657, 'totalEpisodes': 108, 'stepsPerEpisode': 31, 'rewardPerEpisode': 27.1689881197056
'totalSteps': 10240, 'rewardStep': 0.7289971764081409, 'errorList': [], 'lossList': [0.0, -1.417824668288231, 0.0, 45.551011648178104, 0.0, 0.0, 0.0], 'rewardMean': 0.6621100422389674, 'totalEpisodes': 126, 'stepsPerEpisode': 100, 'rewardPerEpisode': 76.35478660086609
'totalSteps': 11520, 'rewardStep': 0.7485209364346848, 'errorList': [], 'lossList': [0.0, -1.393181226849556, 0.0, 37.566882166862484, 0.0, 0.0, 0.0], 'rewardMean': 0.6717112527051582, 'totalEpisodes': 137, 'stepsPerEpisode': 5, 'rewardPerEpisode': 4.122036516626164
'totalSteps': 12800, 'rewardStep': 0.5648628681343812, 'errorList': [], 'lossList': [0.0, -1.3532703137397766, 0.0, 37.01645833492279, 0.0, 0.0, 0.0], 'rewardMean': 0.6610264142480805, 'totalEpisodes': 144, 'stepsPerEpisode': 127, 'rewardPerEpisode': 82.99946451304979
'totalSteps': 14080, 'rewardStep': 0.770622853265485, 'errorList': [], 'lossList': [0.0, -1.3089017534255982, 0.0, 22.37466523528099, 0.0, 0.0, 0.0], 'rewardMean': 0.6822239277269937, 'totalEpisodes': 146, 'stepsPerEpisode': 1075, 'rewardPerEpisode': 848.5686034244453
