#parameter variation file for learning
#varied parameters:
#case = 2
#computationIndex = 1
#functionData = {'nArms': 1, 'evaluationSteps': 1000, 'episodeSteps': 1024, 'episodeStepsMax': 1280, 'totalLearningSteps': 35000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.93, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.5, 'stepUpdateTime': 0.02, 'thresholdFactor': 0.5, 'cartForce': 12, 'forceFactor': 1, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models\\Curriculum-Learning\\SP\\PPO_base_NoCurriculum_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': True, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models\\Curriculum-Learning\\SP\\PPO_base_NoCurriculum_Results', 'verbose': True}
#
'totalSteps': 1280, 'rewardStep': 0.687987641911959, 'errorList': [], 'lossList': [0.0, -1.4191754603385924, 0.0, 16.04847419500351, 0.0, 0.0, 0.0], 'rewardMean': 0.687987641911959, 'totalEpisodes': 99, 'stepsPerEpisode': 11, 'rewardPerEpisode': 6.537836170517011
'totalSteps': 2560, 'rewardStep': 0.6251784188944718, 'errorList': [], 'lossList': [0.0, -1.4170118248462678, 0.0, 16.550645933151245, 0.0, 0.0, 0.0], 'rewardMean': 0.6565830304032154, 'totalEpisodes': 173, 'stepsPerEpisode': 37, 'rewardPerEpisode': 22.305172529653603
'totalSteps': 3840, 'rewardStep': 0.4650992857805812, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.5608411580918983, 'totalEpisodes': 209, 'stepsPerEpisode': 44, 'rewardPerEpisode': 32.39380666863888
'totalSteps': 5120, 'rewardStep': 0.7584096910282726, 'errorList': [], 'lossList': [0.0, -1.4067720687389373, 0.0, 32.2962686920166, 0.0, 0.0, 0.0], 'rewardMean': 0.6003548646791732, 'totalEpisodes': 251, 'stepsPerEpisode': 4, 'rewardPerEpisode': 2.8482104313457204
'totalSteps': 6400, 'rewardStep': 0.9050843450654195, 'errorList': [], 'lossList': [0.0, -1.38900161921978, 0.0, 44.26989214897156, 0.0, 0.0, 0.0], 'rewardMean': 0.6511431114102142, 'totalEpisodes': 275, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.9050843450654195
'totalSteps': 7680, 'rewardStep': 0.7436851844925962, 'errorList': [], 'lossList': [0.0, -1.3709790050983428, 0.0, 39.22954465866089, 0.0, 0.0, 0.0], 'rewardMean': 0.6643634075648402, 'totalEpisodes': 282, 'stepsPerEpisode': 20, 'rewardPerEpisode': 16.565200450197388
'totalSteps': 8960, 'rewardStep': 0.6189324461603539, 'errorList': [], 'lossList': [0.0, -1.3557147657871247, 0.0, 42.78244973182678, 0.0, 0.0, 0.0], 'rewardMean': 0.6586845373892793, 'totalEpisodes': 289, 'stepsPerEpisode': 112, 'rewardPerEpisode': 83.71280749349754
'totalSteps': 10240, 'rewardStep': 0.815991801899591, 'errorList': [], 'lossList': [0.0, -1.3450020098686217, 0.0, 31.556744730472566, 0.0, 0.0, 0.0], 'rewardMean': 0.6761631223348695, 'totalEpisodes': 293, 'stepsPerEpisode': 55, 'rewardPerEpisode': 49.53687288669183
'totalSteps': 11520, 'rewardStep': 0.7898398790684501, 'errorList': [], 'lossList': [0.0, -1.3283045834302902, 0.0, 55.17230949878692, 0.0, 0.0, 0.0], 'rewardMean': 0.6875307980082275, 'totalEpisodes': 298, 'stepsPerEpisode': 13, 'rewardPerEpisode': 10.847359353387285
'totalSteps': 12800, 'rewardStep': 0.524516626646953, 'errorList': [], 'lossList': [0.0, -1.319054554104805, 0.0, 23.698463526964186, 0.0, 0.0, 0.0], 'rewardMean': 0.671183696481727, 'totalEpisodes': 301, 'stepsPerEpisode': 306, 'rewardPerEpisode': 223.33658474434208
'totalSteps': 14080, 'rewardStep': 0.452211517509811, 'errorList': [], 'lossList': [0.0, -1.3196577429771423, 0.0, 13.222097153663634, 0.0, 0.0, 0.0], 'rewardMean': 0.6538870063432609, 'totalEpisodes': 304, 'stepsPerEpisode': 348, 'rewardPerEpisode': 250.21403113039395
