#parameter variation file for learning
#varied parameters:
#case = 4
#computationIndex = 3
#functionData = {'nArms': 1, 'evaluationSteps': 1000, 'episodeSteps': 1024, 'episodeStepsMax': 1280, 'totalLearningSteps': 35000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.93, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.5, 'stepUpdateTime': 0.02, 'thresholdFactor': 0.5, 'cartForce': 12, 'forceFactor': 1, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models\\Curriculum-Learning\\SP\\PPO_base_NoCurriculum_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': True, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models\\Curriculum-Learning\\SP\\PPO_base_NoCurriculum_Results', 'verbose': True, 'curicculumLearning': {'decayType': 'exp', 'decaySteps': (0, 5000, 8000), 'controlValues': [[2, 4], [0, 0], [0, 0]], 'dFactor': 0.0005, 'nStepsLastChange': 0, 'iDecay': 0}}
#
'totalSteps': 1280, 'rewardStep': 0.5809953713846492, 'errorList': [], 'lossList': [0.0, -1.4171791988611222, 0.0, 34.73336408615112, 0.0, 0.0, 0.0], 'rewardMean': 0.5809953713846492, 'totalEpisodes': 44, 'stepsPerEpisode': 71, 'rewardPerEpisode': 52.210451438359044
'totalSteps': 2560, 'rewardStep': 0.3960989288286612, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.45773107634732385, 'totalEpisodes': 121, 'stepsPerEpisode': 25, 'rewardPerEpisode': 16.416795648338265
'totalSteps': 3840, 'rewardStep': 0.9701321611193551, 'errorList': [], 'lossList': [0.0, -1.4181232899427414, 0.0, 22.27298406600952, 0.0, 0.0, 0.0], 'rewardMean': 0.5858313475403316, 'totalEpisodes': 208, 'stepsPerEpisode': 22, 'rewardPerEpisode': 18.808664604628984
'totalSteps': 5120, 'rewardStep': 0.7375084121669864, 'errorList': [], 'lossList': [0.0, -1.4123434430360795, 0.0, 33.125492906570436, 0.0, 0.0, 0.0], 'rewardMean': 0.6161667604656625, 'totalEpisodes': 252, 'stepsPerEpisode': 29, 'rewardPerEpisode': 24.126794945130566
'totalSteps': 6400, 'rewardStep': 0.6782463666570824, 'errorList': [], 'lossList': [0.0, -1.394448310136795, 0.0, 39.6250985622406, 0.0, 0.0, 0.0], 'rewardMean': 0.6265133614975659, 'totalEpisodes': 291, 'stepsPerEpisode': 19, 'rewardPerEpisode': 17.50318755100374
'totalSteps': 7680, 'rewardStep': 0.8720670798428891, 'errorList': [], 'lossList': [0.0, -1.383730829358101, 0.0, 43.55489761352539, 0.0, 0.0, 0.0], 'rewardMean': 0.6615924641183264, 'totalEpisodes': 314, 'stepsPerEpisode': 53, 'rewardPerEpisode': 42.76821547723519
'totalSteps': 8960, 'rewardStep': 0.8914584646716237, 'errorList': [], 'lossList': [0.0, -1.3660733890533447, 0.0, 49.79567212104797, 0.0, 0.0, 0.0], 'rewardMean': 0.6903257141874886, 'totalEpisodes': 328, 'stepsPerEpisode': 61, 'rewardPerEpisode': 47.993189840242444
'totalSteps': 10240, 'rewardStep': 0.2938790068808103, 'errorList': [], 'lossList': [0.0, -1.3575741797685623, 0.0, 27.43122216463089, 0.0, 0.0, 0.0], 'rewardMean': 0.6462760800423021, 'totalEpisodes': 333, 'stepsPerEpisode': 162, 'rewardPerEpisode': 119.22992438594021
'totalSteps': 11520, 'rewardStep': 0.6442358378524446, 'errorList': [], 'lossList': [0.0, -1.363227071762085, 0.0, 23.082563433647156, 0.0, 0.0, 0.0], 'rewardMean': 0.6460720558233163, 'totalEpisodes': 341, 'stepsPerEpisode': 101, 'rewardPerEpisode': 73.34677124982835
'totalSteps': 12800, 'rewardStep': 0.23229395170275519, 'errorList': [], 'lossList': [0.0, -1.3708248388767243, 0.0, 34.07436210155487, 0.0, 0.0, 0.0], 'rewardMean': 0.6112019138551268, 'totalEpisodes': 349, 'stepsPerEpisode': 359, 'rewardPerEpisode': 272.22840368210217
'totalSteps': 14080, 'rewardStep': 0.6994068704679477, 'errorList': [], 'lossList': [0.0, -1.3726037281751633, 0.0, 26.37909597635269, 0.0, 0.0, 0.0], 'rewardMean': 0.6415327080190556, 'totalEpisodes': 357, 'stepsPerEpisode': 227, 'rewardPerEpisode': 194.6490521212701
'totalSteps': 15360, 'rewardStep': 0.8706379934645458, 'errorList': [], 'lossList': [0.0, -1.3785472667217256, 0.0, 8.005643677711486, 0.0, 0.0, 0.0], 'rewardMean': 0.688986614482644, 'totalEpisodes': 363, 'stepsPerEpisode': 65, 'rewardPerEpisode': 56.14699143973033
'totalSteps': 16640, 'rewardStep': 0.6455016494205832, 'errorList': [], 'lossList': [0.0, -1.393067052960396, 0.0, 6.180614956021309, 0.0, 0.0, 0.0], 'rewardMean': 0.6565235633127668, 'totalEpisodes': 367, 'stepsPerEpisode': 225, 'rewardPerEpisode': 183.0856911605345
'totalSteps': 17920, 'rewardStep': 0.845447833419624, 'errorList': [], 'lossList': [0.0, -1.3934728771448135, 0.0, 19.290404970645906, 0.0, 0.0, 0.0], 'rewardMean': 0.6673175054380306, 'totalEpisodes': 374, 'stepsPerEpisode': 159, 'rewardPerEpisode': 138.39037478988757
'totalSteps': 19200, 'rewardStep': 0.630284116595402, 'errorList': [], 'lossList': [0.0, -1.398692547082901, 0.0, 4.6991288483142855, 0.0, 0.0, 0.0], 'rewardMean': 0.6625212804318625, 'totalEpisodes': 378, 'stepsPerEpisode': 102, 'rewardPerEpisode': 81.42317092351624
'totalSteps': 20480, 'rewardStep': 0.9058082381106717, 'errorList': [], 'lossList': [0.0, -1.4017216008901596, 0.0, 2.8839447432756424, 0.0, 0.0, 0.0], 'rewardMean': 0.6658953962586409, 'totalEpisodes': 382, 'stepsPerEpisode': 151, 'rewardPerEpisode': 133.84698631630863
'totalSteps': 21760, 'rewardStep': 0.6463523660396305, 'errorList': [], 'lossList': [0.0, -1.3973887360095978, 0.0, 2.847335078716278, 0.0, 0.0, 0.0], 'rewardMean': 0.6413847863954415, 'totalEpisodes': 384, 'stepsPerEpisode': 220, 'rewardPerEpisode': 172.1942862483928
'totalSteps': 23040, 'rewardStep': 0.8348549295000345, 'errorList': [], 'lossList': [0.0, -1.405316748023033, 0.0, 2.648209349513054, 0.0, 0.0, 0.0], 'rewardMean': 0.695482378657364, 'totalEpisodes': 387, 'stepsPerEpisode': 380, 'rewardPerEpisode': 330.8333497340182
'totalSteps': 24320, 'rewardStep': 0.7212490267517173, 'errorList': [], 'lossList': [0.0, -1.3930506664514541, 0.0, 2.8791621351242065, 0.0, 0.0, 0.0], 'rewardMean': 0.7031836975472912, 'totalEpisodes': 389, 'stepsPerEpisode': 299, 'rewardPerEpisode': 254.2046585039292
'totalSteps': 25600, 'rewardStep': 0.8680900963876983, 'errorList': [], 'lossList': [0.0, -1.3594108945131302, 0.0, 1.9658211445808411, 0.0, 0.0, 0.0], 'rewardMean': 0.7667633120157855, 'totalEpisodes': 389, 'stepsPerEpisode': 1280, 'rewardPerEpisode': 1108.4661357740526
