#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 1, 'evaluationSteps': 2000, 'episodeSteps': 512, 'episodeStepsMax': 640, 'totalLearningSteps': 50000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.5, 'stepUpdateTime': 0.02, 'thresholdFactor': 0.5, 'cartForce': 12, 'forceFactor': 1, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models\\Curriculum-Learning\\SP\\PPO_exp_v0Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': True, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models\\Curriculum-Learning\\SP\\PPO_exp_v0Results', 'verbose': True, 'curicculumLearning': {'decayType': 'exp', 'decaySteps': [0, 5000, 10000], 'controlValues': [[1, 8], [0, 4], [0, 0]], 'dFactor': 0.05, 'nStepsLastChange': 0, 'iDecay': 0}}
#
'totalSteps': 640, 'rewardStep': 0.6522472351438586, 'errorList': [], 'lossList': [0.0, -1.418566017150879, 0.0, 110.6290382385254, 0.0, 0.0, 0.0], 'rewardMean': 0.6522472351438586, 'totalEpisodes': 4, 'stepsPerEpisode': 122, 'rewardPerEpisode': 77.4609156943814
'totalSteps': 1280, 'rewardStep': 0.8755114355654032, 'errorList': [], 'lossList': [0.0, -1.4266913390159608, 0.0, 66.39321985244752, 0.0, 0.0, 0.0], 'rewardMean': 0.7638793353546309, 'totalEpisodes': 5, 'stepsPerEpisode': 191, 'rewardPerEpisode': 146.74431500432163
'totalSteps': 1920, 'rewardStep': 0.6255068068215313, 'errorList': [], 'lossList': [0.0, -1.43150652885437, 0.0, 44.81948682785034, 0.0, 0.0, 0.0], 'rewardMean': 0.717755159176931, 'totalEpisodes': 7, 'stepsPerEpisode': 191, 'rewardPerEpisode': 145.61357591548966
'totalSteps': 2560, 'rewardStep': 0.5820807294414292, 'errorList': [], 'lossList': [0.0, -1.4443946087360382, 0.0, 42.60009902000427, 0.0, 0.0, 0.0], 'rewardMean': 0.6838365517430556, 'totalEpisodes': 9, 'stepsPerEpisode': 440, 'rewardPerEpisode': 322.99648532445605
'totalSteps': 3200, 'rewardStep': 0.5487826196474805, 'errorList': [], 'lossList': [0.0, -1.4514734554290771, 0.0, 42.093511238098145, 0.0, 0.0, 0.0], 'rewardMean': 0.6568257653239405, 'totalEpisodes': 12, 'stepsPerEpisode': 189, 'rewardPerEpisode': 135.7324363720748
'totalSteps': 3840, 'rewardStep': 0.4370264850643895, 'errorList': [], 'lossList': [0.0, -1.4489290416240692, 0.0, 25.44981026649475, 0.0, 0.0, 0.0], 'rewardMean': 0.6201925519473487, 'totalEpisodes': 13, 'stepsPerEpisode': 253, 'rewardPerEpisode': 180.12625628193106
'totalSteps': 4480, 'rewardStep': 0.6229137182098166, 'errorList': [], 'lossList': [0.0, -1.4517608082294464, 0.0, 42.48431215286255, 0.0, 0.0, 0.0], 'rewardMean': 0.6205812899848441, 'totalEpisodes': 14, 'stepsPerEpisode': 635, 'rewardPerEpisode': 514.7628606055979
'totalSteps': 5120, 'rewardStep': 0.7612493839061889, 'errorList': [], 'lossList': [0.0, -1.4441268694400788, 0.0, 29.700535278320313, 0.0, 0.0, 0.0], 'rewardMean': 0.6381648017250122, 'totalEpisodes': 14, 'stepsPerEpisode': 640, 'rewardPerEpisode': 492.1314622255135
'totalSteps': 5760, 'rewardStep': 0.7949751195365784, 'errorList': [], 'lossList': [0.0, -1.4453173220157622, 0.0, 21.9566282081604, 0.0, 0.0, 0.0], 'rewardMean': 0.6555881703707418, 'totalEpisodes': 14, 'stepsPerEpisode': 640, 'rewardPerEpisode': 488.8123749773284
'totalSteps': 6400, 'rewardStep': 0.4758178295247194, 'errorList': [], 'lossList': [0.0, -1.45684561252594, 0.0, 104.77923910140991, 0.0, 0.0, 0.0], 'rewardMean': 0.6376111362861395, 'totalEpisodes': 19, 'stepsPerEpisode': 204, 'rewardPerEpisode': 142.26526001345772
'totalSteps': 7040, 'rewardStep': 0.9572037856386947, 'errorList': [], 'lossList': [0.0, -1.4625165903568267, 0.0, 106.71073902130126, 0.0, 0.0, 0.0], 'rewardMean': 0.6681067913356231, 'totalEpisodes': 23, 'stepsPerEpisode': 12, 'rewardPerEpisode': 10.509502484476602
'totalSteps': 7680, 'rewardStep': 0.6048671266761253, 'errorList': [], 'lossList': [0.0, -1.4687954938411714, 0.0, 239.0228263092041, 0.0, 0.0, 0.0], 'rewardMean': 0.6410423604466953, 'totalEpisodes': 36, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.6048671266761253
'totalSteps': 8320, 'rewardStep': 0.5747334712811916, 'errorList': [], 'lossList': [0.0, -1.467898758649826, 0.0, 97.49150287628174, 0.0, 0.0, 0.0], 'rewardMean': 0.6359650268926614, 'totalEpisodes': 44, 'stepsPerEpisode': 88, 'rewardPerEpisode': 62.60281653992884
'totalSteps': 8960, 'rewardStep': 0.8671025856748298, 'errorList': [], 'lossList': [0.0, -1.4695313847064972, 0.0, 136.68471717834473, 0.0, 0.0, 0.0], 'rewardMean': 0.6644672125160015, 'totalEpisodes': 54, 'stepsPerEpisode': 5, 'rewardPerEpisode': 4.320038099598159
