#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 1, 'evaluationSteps': 1000, 'episodeSteps': 512, 'episodeStepsMax': 640, 'totalLearningSteps': 35000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.93, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.5, 'stepUpdateTime': 0.02, 'thresholdFactor': 0.5, 'cartForce': 12, 'forceFactor': 1, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models\\Curriculum-Learning\\SP\\PPO_exp_v3_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': True, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models\\Curriculum-Learning\\SP\\PPO_exp_v3_Results', 'verbose': True, 'curicculumLearning': {'decayType': 'exp', 'decaySteps': [0, 7000, 14000], 'controlValues': [[2, 8], [0, 4], [0, 0]], 'dFactor': 0.05, 'nStepsLastChange': 0, 'iDecay': 0}}
#
'totalSteps': 640, 'rewardStep': 0.9691915654732828, 'errorList': [], 'lossList': [0.0, -1.4229459869861603, 0.0, 120.92727294921875, 0.0, 0.0, 0.0], 'rewardMean': 0.9691915654732828, 'totalEpisodes': 3, 'stepsPerEpisode': 91, 'rewardPerEpisode': 67.50772086281113
'totalSteps': 1280, 'rewardStep': 0.9225367910610006, 'errorList': [], 'lossList': [0.0, -1.435627635717392, 0.0, 82.72586112976074, 0.0, 0.0, 0.0], 'rewardMean': 0.9458641782671418, 'totalEpisodes': 4, 'stepsPerEpisode': 591, 'rewardPerEpisode': 439.08631285990435
'totalSteps': 1920, 'rewardStep': 0.6320647027529609, 'errorList': [], 'lossList': [0.0, -1.4355569767951966, 0.0, 50.34507365226746, 0.0, 0.0, 0.0], 'rewardMean': 0.8412643530957481, 'totalEpisodes': 4, 'stepsPerEpisode': 640, 'rewardPerEpisode': 469.51701776629113
'totalSteps': 2560, 'rewardStep': 0.6505350016843607, 'errorList': [], 'lossList': [0.0, -1.4236077773571014, 0.0, 38.412275371551516, 0.0, 0.0, 0.0], 'rewardMean': 0.7935820152429013, 'totalEpisodes': 7, 'stepsPerEpisode': 90, 'rewardPerEpisode': 68.7489677028808
'totalSteps': 3200, 'rewardStep': 0.6635913275382515, 'errorList': [], 'lossList': [0.0, -1.4206316101551055, 0.0, 32.06141621589661, 0.0, 0.0, 0.0], 'rewardMean': 0.7675838777019713, 'totalEpisodes': 8, 'stepsPerEpisode': 218, 'rewardPerEpisode': 154.63670875320096
'totalSteps': 3840, 'rewardStep': 0.39415409216050956, 'errorList': [], 'lossList': [0.0, -1.4075989294052125, 0.0, 50.34122131347656, 0.0, 0.0, 0.0], 'rewardMean': 0.7053455801117278, 'totalEpisodes': 11, 'stepsPerEpisode': 153, 'rewardPerEpisode': 105.09984025919114
'totalSteps': 4480, 'rewardStep': 0.4987279672505356, 'errorList': [], 'lossList': [0.0, -1.4073328614234923, 0.0, 34.286966953277584, 0.0, 0.0, 0.0], 'rewardMean': 0.6758287782744146, 'totalEpisodes': 12, 'stepsPerEpisode': 635, 'rewardPerEpisode': 483.36849662877887
'totalSteps': 5120, 'rewardStep': 0.8197812726869432, 'errorList': [], 'lossList': [0.0, -1.4020106732845306, 0.0, 29.249950828552247, 0.0, 0.0, 0.0], 'rewardMean': 0.6938228400759807, 'totalEpisodes': 12, 'stepsPerEpisode': 640, 'rewardPerEpisode': 487.1788492652107
'totalSteps': 5760, 'rewardStep': 0.8097464261791008, 'errorList': [], 'lossList': [0.0, -1.4025432240962983, 0.0, 30.542036371231077, 0.0, 0.0, 0.0], 'rewardMean': 0.7067032385318829, 'totalEpisodes': 12, 'stepsPerEpisode': 640, 'rewardPerEpisode': 521.6813867614727
'totalSteps': 6400, 'rewardStep': 0.7780836199421288, 'errorList': [], 'lossList': [0.0, -1.4039935541152955, 0.0, 18.04064197063446, 0.0, 0.0, 0.0], 'rewardMean': 0.7138412766729075, 'totalEpisodes': 12, 'stepsPerEpisode': 640, 'rewardPerEpisode': 489.51325821494993
'totalSteps': 7040, 'rewardStep': 0.7483106506705806, 'errorList': [], 'lossList': [0.0, -1.401037414073944, 0.0, 19.077071685791015, 0.0, 0.0, 0.0], 'rewardMean': 0.6917531851926372, 'totalEpisodes': 12, 'stepsPerEpisode': 640, 'rewardPerEpisode': 518.9775498888683
