#parameter variation file for learning
#varied parameters:
#case = 3
#computationIndex = 2
#functionData = {'nArms': 1, 'evaluationSteps': 5000, 'episodeSteps': 1024, 'episodeStepsMax': 1280, 'totalLearningSteps': 50000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.5, 'stepUpdateTime': 0.02, 'thresholdFactor': 0.5, 'cartForce': 12, 'forceFactor': 1, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models\\Curriculum-Learning\\SP\\PPO_sqrt_v0Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models\\Curriculum-Learning\\SP\\PPO_sqrt_v0Results', 'verbose': True, 'curicculumLearning': {'decayType': 'sqrt', 'decaySteps': [0, 7000, 14000], 'controlValues': [[2, 10], [0, 5], [0, 0]], 'dFactor': 0.05, 'nStepsLastChange': 0, 'iDecay': 0}}
#
'totalSteps': 1280, 'rewardStep': 0.8571311275834804, 'errorList': [], 'lossList': [0.0, -1.4173127537965775, 0.0, 87.8449548959732, 0.0, 0.0, 0.0], 'rewardMean': 0.8571311275834804, 'totalEpisodes': 5, 'stepsPerEpisode': 241, 'rewardPerEpisode': 210.29344693213
'totalSteps': 2560, 'rewardStep': 0.7898139616254887, 'errorList': [], 'lossList': [0.0, -1.4275869476795195, 0.0, 28.562128094434737, 0.0, 0.0, 0.0], 'rewardMean': 0.8234725446044846, 'totalEpisodes': 8, 'stepsPerEpisode': 415, 'rewardPerEpisode': 310.43305569431953
'totalSteps': 3840, 'rewardStep': 0.8644072872125681, 'errorList': [], 'lossList': [0.0, -1.4337931549549103, 0.0, 35.5527476143837, 0.0, 0.0, 0.0], 'rewardMean': 0.837117458807179, 'totalEpisodes': 11, 'stepsPerEpisode': 488, 'rewardPerEpisode': 393.9815925965769
'totalSteps': 5120, 'rewardStep': 0.5801631675468806, 'errorList': [], 'lossList': [0.0, -1.4213754159212113, 0.0, 18.95071546435356, 0.0, 0.0, 0.0], 'rewardMean': 0.7728788859921044, 'totalEpisodes': 12, 'stepsPerEpisode': 254, 'rewardPerEpisode': 183.32356175014394
'totalSteps': 6400, 'rewardStep': 0.4664437198362644, 'errorList': [], 'lossList': [0.0, -1.4227371501922608, 0.0, 27.807801748514176, 0.0, 0.0, 0.0], 'rewardMean': 0.7115918527609364, 'totalEpisodes': 13, 'stepsPerEpisode': 575, 'rewardPerEpisode': 433.5090894741076
'totalSteps': 7680, 'rewardStep': 0.7485254355491454, 'errorList': [], 'lossList': [0.0, -1.4054852372407913, 0.0, 14.295722932219505, 0.0, 0.0, 0.0], 'rewardMean': 0.7177474498923045, 'totalEpisodes': 13, 'stepsPerEpisode': 1280, 'rewardPerEpisode': 1033.2543628703856
'totalSteps': 8960, 'rewardStep': 0.8706746688598762, 'errorList': [], 'lossList': [0.0, -1.4038251781463622, 0.0, 10.192800270020962, 0.0, 0.0, 0.0], 'rewardMean': 0.7395941954591005, 'totalEpisodes': 13, 'stepsPerEpisode': 1280, 'rewardPerEpisode': 1065.442206702305
'totalSteps': 10240, 'rewardStep': 0.7837882429734935, 'errorList': [], 'lossList': [0.0, -1.372012352347374, 0.0, 8.452308779060841, 0.0, 0.0, 0.0], 'rewardMean': 0.7451184513983997, 'totalEpisodes': 13, 'stepsPerEpisode': 1280, 'rewardPerEpisode': 1100.0717669857152
'totalSteps': 11520, 'rewardStep': 0.7770870396581179, 'errorList': [], 'lossList': [0.0, -1.35781174659729, 0.0, 31.014189465641977, 0.0, 0.0, 0.0], 'rewardMean': 0.7486705167605906, 'totalEpisodes': 14, 'stepsPerEpisode': 1222, 'rewardPerEpisode': 1027.240124488509
'totalSteps': 12800, 'rewardStep': 0.9586133139626485, 'errorList': [], 'lossList': [0.0, -1.3503509896993637, 0.0, 86.96968161106109, 0.0, 0.0, 0.0], 'rewardMean': 0.7696647964807963, 'totalEpisodes': 17, 'stepsPerEpisode': 107, 'rewardPerEpisode': 91.06286599031385
'totalSteps': 14080, 'rewardStep': 0.8528537164861313, 'errorList': [], 'lossList': [0.0, -1.343087215423584, 0.0, 171.17001945495605, 0.0, 0.0, 0.0], 'rewardMean': 0.7692370553710615, 'totalEpisodes': 24, 'stepsPerEpisode': 30, 'rewardPerEpisode': 20.42253551165716
