#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 3, 'evaluationSteps': 10000, 'episodeSteps': 1639, 'episodeStepsMax': 2048, 'totalLearningSteps': 400000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.9, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 60, 'forceFactor': 1, 'numberOfTests': 100, 'relativeFriction': 0.0, 'storeBestModel': 'models\\Curriculum-Learning\\TP\\PPO_discrete_v0_rpf09_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models\\Curriculum-Learning\\TP\\PPO_discrete_v0_rpf09_Results', 'verbose': True, 'curicculumLearning': {'decayType': 'discrete', 'decaySteps': [0, 30000, 70000, 110000], 'controlValues': [[0, 12, 8, 5], [0, 0, 7, 4], [0, 0, 0, 3], [0, 0, 0, 0]], 'dFactor': 0.05, 'nStepsLastChange': 0, 'iDecay': 0}}
#
'totalSteps': 2048, 'rewardStep': 0.9494937760783179, 'errorList': [], 'lossList': [0.0, -1.404642777889967, 0.0, 67.31034470647573, 0.0, 0.0, 0.0], 'rewardMean': 0.9494937760783179, 'totalEpisodes': 30, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.9494937760783179
'totalSteps': 4096, 'rewardStep': 0.9776944687869302, 'errorList': [], 'lossList': [0.0, -1.3937924660742282, 0.0, 30.65144050717354, 0.0, 0.0, 0.0], 'rewardMean': 0.9635941224326241, 'totalEpisodes': 58, 'stepsPerEpisode': 8, 'rewardPerEpisode': 7.900830470566765
'totalSteps': 6144, 'rewardStep': 0.8146908524002183, 'errorList': [], 'lossList': [0.0, -1.3937983851879836, 0.0, 34.2690642029047, 0.0, 0.0, 0.0], 'rewardMean': 0.913959699088489, 'totalEpisodes': 67, 'stepsPerEpisode': 539, 'rewardPerEpisode': 450.68547899642704
'totalSteps': 8192, 'rewardStep': 0.4358018934053667, 'errorList': [], 'lossList': [0.0, -1.3895709816366435, 0.0, 22.75510978028178, 0.0, 0.0, 0.0], 'rewardMean': 0.7944202476677084, 'totalEpisodes': 70, 'stepsPerEpisode': 245, 'rewardPerEpisode': 201.3880215848748
'totalSteps': 10240, 'rewardStep': 0.8672608001674684, 'errorList': [], 'lossList': [0.0, -1.3685741484165193, 0.0, 15.217817955464124, 0.0, 0.0, 0.0], 'rewardMean': 0.8089883581676605, 'totalEpisodes': 72, 'stepsPerEpisode': 1616, 'rewardPerEpisode': 1405.697298947547
'totalSteps': 12288, 'rewardStep': 0.9335038754238454, 'errorList': [], 'lossList': [0.0, -1.3205835066735745, 0.0, 7.541382566280663, 0.0, 0.0, 0.0], 'rewardMean': 0.8297409443770246, 'totalEpisodes': 72, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1777.7162811213088
'totalSteps': 14336, 'rewardStep': 0.8773351686057628, 'errorList': [], 'lossList': [0.0, -1.2976026963442564, 0.0, 6.557322511216626, 0.0, 0.0, 0.0], 'rewardMean': 0.8365401192668444, 'totalEpisodes': 72, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1911.9353235954914
'totalSteps': 16384, 'rewardStep': 0.9930407703057393, 'errorList': [], 'lossList': [0.0, -1.2950060464441777, 0.0, 4.290274040913209, 0.0, 0.0, 0.0], 'rewardMean': 0.8561027006467061, 'totalEpisodes': 72, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1934.992015099587
'totalSteps': 18432, 'rewardStep': 0.9751204236762306, 'errorList': [], 'lossList': [0.0, -1.2854821268469094, 0.0, 2.8873987524420954, 0.0, 0.0, 0.0], 'rewardMean': 0.869326892094431, 'totalEpisodes': 72, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1975.2120882594795
'totalSteps': 20480, 'rewardStep': 0.980342762255818, 'errorList': [], 'lossList': [0.0, -1.2586682561784983, 0.0, 1.9556464477442206, 0.0, 0.0, 0.0], 'rewardMean': 0.8804284791105698, 'totalEpisodes': 72, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1990.3345913526641
'totalSteps': 22528, 'rewardStep': 0.940484049836037, 'errorList': [], 'lossList': [0.0, -1.2296474147588015, 0.0, 1.2526573561743135, 0.0, 0.0, 0.0], 'rewardMean': 0.8795275064863416, 'totalEpisodes': 72, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 2001.8962165905841
