#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 3, 'evaluationSteps': 10000, 'episodeSteps': 1639, 'episodeStepsMax': 2048, 'totalLearningSteps': 400000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.9, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 60, 'forceFactor': 1, 'numberOfTests': 100, 'relativeFriction': 0.0, 'storeBestModel': 'models\\Curriculum-Learning\\TP\\PPO_exp_v2_rpf09_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models\\Curriculum-Learning\\TP\\PPO_exp_v2_rpf09_Results', 'verbose': True, 'curicculumLearning': {'decayType': 'exp', 'decaySteps': [0, 30000, 70000, 110000], 'controlValues': [[0, 14, 10, 5], [0, 0, 9, 4], [0, 0, 0, 4], [0, 0, 0, 0]], 'dFactor': 0.05, 'nStepsLastChange': 0, 'iDecay': 0}}
#
'totalSteps': 2048, 'rewardStep': 0.8923078080710669, 'errorList': [], 'lossList': [0.0, -1.409629924595356, 0.0, 64.00942754596471, 0.0, 0.0, 0.0], 'rewardMean': 0.8923078080710669, 'totalEpisodes': 28, 'stepsPerEpisode': 18, 'rewardPerEpisode': 16.526563894294107
'totalSteps': 4096, 'rewardStep': 0.8793161661563401, 'errorList': [], 'lossList': [0.0, -1.411944619938731, 0.0, 34.346903750300406, 0.0, 0.0, 0.0], 'rewardMean': 0.8858119871137036, 'totalEpisodes': 56, 'stepsPerEpisode': 57, 'rewardPerEpisode': 53.97593102266029
'totalSteps': 6144, 'rewardStep': 0.3947191964395679, 'errorList': [], 'lossList': [0.0, -1.4174856431782246, 0.0, 31.14916535317898, 0.0, 0.0, 0.0], 'rewardMean': 0.722114390222325, 'totalEpisodes': 65, 'stepsPerEpisode': 595, 'rewardPerEpisode': 381.7820430823481
'totalSteps': 8192, 'rewardStep': 0.9677992877299624, 'errorList': [], 'lossList': [0.0, -1.4134815029799939, 0.0, 73.05398333668708, 0.0, 0.0, 0.0], 'rewardMean': 0.7835356145992344, 'totalEpisodes': 85, 'stepsPerEpisode': 6, 'rewardPerEpisode': 5.806809954681583
'totalSteps': 10240, 'rewardStep': 0.9327709783221831, 'errorList': [], 'lossList': [0.0, -1.4280646584928036, 0.0, 39.81616344749928, 0.0, 0.0, 0.0], 'rewardMean': 0.8133826873438241, 'totalEpisodes': 105, 'stepsPerEpisode': 75, 'rewardPerEpisode': 71.57022744356482
'totalSteps': 12288, 'rewardStep': 0.7793076398125365, 'errorList': [], 'lossList': [0.0, -1.421516028791666, 0.0, 28.994354057312012, 0.0, 0.0, 0.0], 'rewardMean': 0.8077035127552762, 'totalEpisodes': 123, 'stepsPerEpisode': 122, 'rewardPerEpisode': 112.49822641269631
'totalSteps': 14336, 'rewardStep': 0.8327323844745833, 'errorList': [], 'lossList': [0.0, -1.4201917666941881, 0.0, 9.403634406626225, 0.0, 0.0, 0.0], 'rewardMean': 0.8112790658580344, 'totalEpisodes': 137, 'stepsPerEpisode': 51, 'rewardPerEpisode': 46.65298398851752
'totalSteps': 16384, 'rewardStep': 0.9407123433323796, 'errorList': [], 'lossList': [0.0, -1.4015552435070275, 0.0, 8.294907964766026, 0.0, 0.0, 0.0], 'rewardMean': 0.8274582255423275, 'totalEpisodes': 148, 'stepsPerEpisode': 87, 'rewardPerEpisode': 83.70758405897242
'totalSteps': 18432, 'rewardStep': 0.7466763333910873, 'errorList': [], 'lossList': [0.0, -1.3735656175762414, 0.0, 23.251351733505725, 0.0, 0.0, 0.0], 'rewardMean': 0.8184824597477453, 'totalEpisodes': 152, 'stepsPerEpisode': 567, 'rewardPerEpisode': 477.18060317942644
'totalSteps': 20480, 'rewardStep': 0.9680450961739256, 'errorList': [], 'lossList': [0.0, -1.3280510149896145, 0.0, 4.479228802956641, 0.0, 0.0, 0.0], 'rewardMean': 0.8334387233903632, 'totalEpisodes': 152, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1875.1011832766897
'totalSteps': 22528, 'rewardStep': 0.9742120304080234, 'errorList': [], 'lossList': [0.0, -1.2909942269325256, 0.0, 3.5415926097426564, 0.0, 0.0, 0.0], 'rewardMean': 0.841629145624059, 'totalEpisodes': 152, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1933.6469963354775
'totalSteps': 24576, 'rewardStep': 0.9635522528974455, 'errorList': [], 'lossList': [0.0, -1.2578266751021148, 0.0, 1.6056679361790884, 0.0, 0.0, 0.0], 'rewardMean': 0.8500527542981695, 'totalEpisodes': 152, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1980.301576681473
'totalSteps': 26624, 'rewardStep': 0.9580616404773189, 'errorList': [], 'lossList': [0.0, -1.2272938773036004, 0.0, 1.0937882775935577, 0.0, 0.0, 0.0], 'rewardMean': 0.9063869987019444, 'totalEpisodes': 152, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1996.9730612019769
'totalSteps': 28672, 'rewardStep': 0.9941447445670898, 'errorList': [], 'lossList': [0.0, -1.1796674206852913, 0.0, 0.7637653274723561, 0.0, 0.0, 0.0], 'rewardMean': 0.9090215443856572, 'totalEpisodes': 152, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 2015.0749542142614
'totalSteps': 30720, 'rewardStep': 0.9794261168174371, 'errorList': [], 'lossList': [0.0, -1.1296566754579545, 0.0, 0.4964212329185102, 0.0, 0.0, 0.0], 'rewardMean': 0.9136870582351827, 'totalEpisodes': 152, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 2014.4175040308203
'totalSteps': 32768, 'rewardStep': 0.9920324662585802, 'errorList': [], 'lossList': [0.0, -1.0900213539600372, 0.0, 0.33300288017890123, 0.0, 0.0, 0.0], 'rewardMean': 0.934959540879787, 'totalEpisodes': 152, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 2023.8221211982222
'totalSteps': 34816, 'rewardStep': 0.9947132198561834, 'errorList': [], 'lossList': [0.0, -1.056603105738759, 0.0, 0.20724302407616052, 0.0, 0.0, 0.0], 'rewardMean': 0.9511576244179472, 'totalEpisodes': 152, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 2021.7351976262999
'totalSteps': 36864, 'rewardStep': 0.9857166753597186, 'errorList': [], 'lossList': [0.0, -1.0187244080007076, 0.0, 0.12887236349852174, 0.0, 0.0, 0.0], 'rewardMean': 0.955658057620681, 'totalEpisodes': 152, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 2023.3894807416482
