#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 3, 'evaluationSteps': 10000, 'episodeSteps': 1639, 'episodeStepsMax': 2048, 'totalLearningSteps': 300000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.9, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 60, 'forceFactor': 1, 'numberOfTests': 100, 'relativeFriction': 0.0, 'storeBestModel': 'models\\Curriculum-Learning\\TP\\PPO_quad_v0_rpf09_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models\\Curriculum-Learning\\TP\\PPO_quad_v0_rpf09_Results', 'verbose': True, 'curicculumLearning': {'decayType': 'quad', 'decaySteps': [0, 30000, 80000, 110000, 160000], 'controlValues': [[10, 10, 10, 10], [0, 10, 10, 10], [0, 0, 10, 10], [0, 0, 0, 10], [0, 0, 0, 0]], 'dFactor': 0.05, 'nStepsLastChange': 0, 'iDecay': 0}}
#
'totalSteps': 2048, 'rewardStep': 0.9446447897473643, 'errorList': [], 'lossList': [0.0, -1.4082718845456839, 0.0, 86.66039116680622, 0.0, 0.0, 0.0], 'rewardMean': 0.9446447897473643, 'totalEpisodes': 25, 'stepsPerEpisode': 14, 'rewardPerEpisode': 13.499842566901995
'totalSteps': 4096, 'rewardStep': 0.8989679336370597, 'errorList': [], 'lossList': [0.0, -1.3884992469102144, 0.0, 39.74250305294991, 0.0, 0.0, 0.0], 'rewardMean': 0.9218063616922121, 'totalEpisodes': 47, 'stepsPerEpisode': 15, 'rewardPerEpisode': 13.909925351544166
'totalSteps': 6144, 'rewardStep': 0.9702527020157447, 'errorList': [], 'lossList': [0.0, -1.3631362192332745, 0.0, 37.061684967577456, 0.0, 0.0, 0.0], 'rewardMean': 0.9379551418000562, 'totalEpisodes': 52, 'stepsPerEpisode': 539, 'rewardPerEpisode': 487.645152021872
'totalSteps': 8192, 'rewardStep': 0.6847059908917554, 'errorList': [], 'lossList': [0.0, -1.3332199327647687, 0.0, 29.614443007856607, 0.0, 0.0, 0.0], 'rewardMean': 0.874642854072981, 'totalEpisodes': 55, 'stepsPerEpisode': 254, 'rewardPerEpisode': 220.65922207781693
'totalSteps': 10240, 'rewardStep': 0.8964794463666995, 'errorList': [], 'lossList': [0.0, -1.3007292985916137, 0.0, 25.371382185071706, 0.0, 0.0, 0.0], 'rewardMean': 0.8790101725317248, 'totalEpisodes': 57, 'stepsPerEpisode': 509, 'rewardPerEpisode': 474.3984832387199
'totalSteps': 12288, 'rewardStep': 0.9217491924333497, 'errorList': [], 'lossList': [0.0, -1.2682106070220471, 0.0, 5.766845908528194, 0.0, 0.0, 0.0], 'rewardMean': 0.8861333425153289, 'totalEpisodes': 57, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1750.9490568414353
'totalSteps': 14336, 'rewardStep': 0.7955474265630124, 'errorList': [], 'lossList': [0.0, -1.2537147741764785, 0.0, 3.7517674983479083, 0.0, 0.0, 0.0], 'rewardMean': 0.8731924973792837, 'totalEpisodes': 57, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1787.3353217700776
'totalSteps': 16384, 'rewardStep': 0.9170931008606388, 'errorList': [], 'lossList': [0.0, -1.2475136011838912, 0.0, 2.934462838014588, 0.0, 0.0, 0.0], 'rewardMean': 0.878680072814453, 'totalEpisodes': 57, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1843.5843113805372
'totalSteps': 18432, 'rewardStep': 0.9547768671535204, 'errorList': [], 'lossList': [0.0, -1.2241915233433247, 0.0, 2.21124146990478, 0.0, 0.0, 0.0], 'rewardMean': 0.8871352721854605, 'totalEpisodes': 57, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1921.7273467418677
'totalSteps': 20480, 'rewardStep': 0.9727396305350604, 'errorList': [], 'lossList': [0.0, -1.204235116019845, 0.0, 1.455603357939981, 0.0, 0.0, 0.0], 'rewardMean': 0.8956957080204205, 'totalEpisodes': 57, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1945.001283958486
'totalSteps': 22528, 'rewardStep': 0.9028920131189867, 'errorList': [], 'lossList': [0.0, -1.1809123892337083, 0.0, 1.0286150836211163, 0.0, 0.0, 0.0], 'rewardMean': 0.8915204303575827, 'totalEpisodes': 57, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1977.1769529688452
