#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 3, 'evaluationSteps': 10000, 'episodeSteps': 1639, 'episodeStepsMax': 2048, 'totalLearningSteps': 400000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.9, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 60, 'forceFactor': 1, 'numberOfTests': 100, 'relativeFriction': 0.0, 'storeBestModel': 'models\\Curriculum-Learning\\TP\\PPO_sqrt_v0_rpf09_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models\\Curriculum-Learning\\TP\\PPO_sqrt_v0_rpf09_Results', 'verbose': True, 'curicculumLearning': {'decayType': 'sqrt', 'decaySteps': [0, 30000, 70000, 120000, 180000], 'controlValues': [[10, 8, 6, 4], [0, 8, 6, 4], [0, 0, 6, 4], [0, 0, 0, 2], [0, 0, 0, 0]], 'dFactor': 0.05, 'nStepsLastChange': 0, 'iDecay': 0}}
#
'totalSteps': 2048, 'rewardStep': 0.8815469796385421, 'errorList': [], 'lossList': [0.0, -1.4191890608519315, 0.0, 87.21271442770959, 0.0, 0.0, 0.0], 'rewardMean': 0.8815469796385421, 'totalEpisodes': 27, 'stepsPerEpisode': 19, 'rewardPerEpisode': 17.335516443292796
'totalSteps': 4096, 'rewardStep': 0.9623039858476956, 'errorList': [], 'lossList': [0.0, -1.4244605761021376, 0.0, 38.99304596483707, 0.0, 0.0, 0.0], 'rewardMean': 0.9219254827431189, 'totalEpisodes': 50, 'stepsPerEpisode': 3, 'rewardPerEpisode': 2.879135056192643
'totalSteps': 6144, 'rewardStep': 0.8035983033934235, 'errorList': [], 'lossList': [0.0, -1.4145888429135085, 0.0, 43.553987842798236, 0.0, 0.0, 0.0], 'rewardMean': 0.8824830896265539, 'totalEpisodes': 58, 'stepsPerEpisode': 598, 'rewardPerEpisode': 550.9956346040826
'totalSteps': 8192, 'rewardStep': 0.7559576379279169, 'errorList': [], 'lossList': [0.0, -1.3784441664814948, 0.0, 34.68609145730734, 0.0, 0.0, 0.0], 'rewardMean': 0.8508517267018947, 'totalEpisodes': 62, 'stepsPerEpisode': 845, 'rewardPerEpisode': 710.2108758571944
'totalSteps': 10240, 'rewardStep': 0.9104692743926057, 'errorList': [], 'lossList': [0.0, -1.3479448985308409, 0.0, 14.535219528526067, 0.0, 0.0, 0.0], 'rewardMean': 0.8627752362400368, 'totalEpisodes': 63, 'stepsPerEpisode': 1606, 'rewardPerEpisode': 1408.764954006894
'totalSteps': 12288, 'rewardStep': 0.7263404086127393, 'errorList': [], 'lossList': [0.0, -1.3158365435898305, 0.0, 28.341723078489302, 0.0, 0.0, 0.0], 'rewardMean': 0.840036098302154, 'totalEpisodes': 65, 'stepsPerEpisode': 1346, 'rewardPerEpisode': 1143.900583294349
'totalSteps': 14336, 'rewardStep': 0.8721351468479781, 'errorList': [], 'lossList': [0.0, -1.2939460404217242, 0.0, 4.399770657718181, 0.0, 0.0, 0.0], 'rewardMean': 0.8446216766658432, 'totalEpisodes': 65, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1746.8418124472184
'totalSteps': 16384, 'rewardStep': 0.9259097964398758, 'errorList': [], 'lossList': [0.0, -1.289497286826372, 0.0, 3.5353870670311154, 0.0, 0.0, 0.0], 'rewardMean': 0.8547826916375971, 'totalEpisodes': 65, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1742.909489395734
'totalSteps': 18432, 'rewardStep': 0.9683068447313657, 'errorList': [], 'lossList': [0.0, -1.2727697610855102, 0.0, 2.57183640524745, 0.0, 0.0, 0.0], 'rewardMean': 0.8673964864257937, 'totalEpisodes': 65, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1846.1873759128232
'totalSteps': 20480, 'rewardStep': 0.8064880508015974, 'errorList': [], 'lossList': [0.0, -1.2635869644582272, 0.0, 1.9441779703833162, 0.0, 0.0, 0.0], 'rewardMean': 0.8613056428633741, 'totalEpisodes': 65, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1852.4920795131259
'totalSteps': 22528, 'rewardStep': 0.8932869040317019, 'errorList': [], 'lossList': [0.0, -1.2583972927182914, 0.0, 2.112439200654626, 0.0, 0.0, 0.0], 'rewardMean': 0.86247963530269, 'totalEpisodes': 65, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1809.9910486562396
