#parameter variation file for learning
#varied parameters:
#case = 2
#computationIndex = 1
#functionData = {'nArms': 3, 'evaluationSteps': 10000, 'episodeSteps': 1639, 'episodeStepsMax': 2048, 'totalLearningSteps': 500000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.9, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 60, 'forceFactor': 1, 'numberOfTests': 100, 'relativeFriction': 0.0, 'storeBestModel': 'models\\Curriculum-Learning\\TP\\PPO_x5_v0_rpf09_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models\\Curriculum-Learning\\TP\\PPO_x5_v0_rpf09_Results', 'verbose': True, 'curicculumLearning': {'decayType': 'x5', 'decaySteps': [0, 30000, 70000, 110000], 'controlValues': [[0, 11, 7, 4], [0, 0, 6, 3], [0, 0, 0, 2], [0, 0, 0, 0]], 'dFactor': 0.05, 'nStepsLastChange': 0, 'iDecay': 0}}
#
'totalSteps': 2048, 'rewardStep': 0.7014205933283933, 'errorList': [], 'lossList': [0.0, -1.412563657015562, 0.0, 65.27785136848688, 0.0, 0.0, 0.0], 'rewardMean': 0.7014205933283933, 'totalEpisodes': 34, 'stepsPerEpisode': 88, 'rewardPerEpisode': 77.32024028159046
'totalSteps': 4096, 'rewardStep': 0.7378244593738149, 'errorList': [], 'lossList': [0.0, -1.3889168202877045, 0.0, 35.35628642141819, 0.0, 0.0, 0.0], 'rewardMean': 0.7196225263511041, 'totalEpisodes': 55, 'stepsPerEpisode': 140, 'rewardPerEpisode': 129.38258739521325
'totalSteps': 6144, 'rewardStep': 0.6793175522075163, 'errorList': [], 'lossList': [0.0, -1.3606215119361877, 0.0, 27.415891793370246, 0.0, 0.0, 0.0], 'rewardMean': 0.7061875349699083, 'totalEpisodes': 64, 'stepsPerEpisode': 327, 'rewardPerEpisode': 268.5067787716712
'totalSteps': 8192, 'rewardStep': 0.8509877236806515, 'errorList': [], 'lossList': [0.0, -1.3483582787215709, 0.0, 12.455176577344536, 0.0, 0.0, 0.0], 'rewardMean': 0.742387582147594, 'totalEpisodes': 65, 'stepsPerEpisode': 179, 'rewardPerEpisode': 157.73211668835003
'totalSteps': 10240, 'rewardStep': 0.181143642743252, 'errorList': [], 'lossList': [0.0, -1.3339522194117308, 0.0, 9.460458612255753, 0.0, 0.0, 0.0], 'rewardMean': 0.6301387942667256, 'totalEpisodes': 66, 'stepsPerEpisode': 555, 'rewardPerEpisode': 428.8546259094467
'totalSteps': 12288, 'rewardStep': 0.7368516954347779, 'errorList': [], 'lossList': [0.0, -1.296599419414997, 0.0, 7.231480576097965, 0.0, 0.0, 0.0], 'rewardMean': 0.6479242777947344, 'totalEpisodes': 69, 'stepsPerEpisode': 484, 'rewardPerEpisode': 412.0808344669315
'totalSteps': 14336, 'rewardStep': 0.9884972142559161, 'errorList': [], 'lossList': [0.0, -1.250788550078869, 0.0, 4.351709513412788, 0.0, 0.0, 0.0], 'rewardMean': 0.6965775544320459, 'totalEpisodes': 69, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1833.8732205982017
'totalSteps': 16384, 'rewardStep': 0.9209081940096646, 'errorList': [], 'lossList': [0.0, -1.2205343004316092, 0.0, 2.7463558254763485, 0.0, 0.0, 0.0], 'rewardMean': 0.7246188843792484, 'totalEpisodes': 69, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1861.5527562823409
'totalSteps': 18432, 'rewardStep': 0.9314739235897725, 'errorList': [], 'lossList': [0.0, -1.1874495223164558, 0.0, 1.9458037889795379, 0.0, 0.0, 0.0], 'rewardMean': 0.7476027776248622, 'totalEpisodes': 69, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1923.5508892531498
'totalSteps': 20480, 'rewardStep': 0.9130109713315449, 'errorList': [], 'lossList': [0.0, -1.1701711632311345, 0.0, 1.354735356173478, 0.0, 0.0, 0.0], 'rewardMean': 0.7641435969955304, 'totalEpisodes': 69, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1962.6721827443018
'totalSteps': 22528, 'rewardStep': 0.9928910611084084, 'errorList': [], 'lossList': [0.0, -1.1454474106431007, 0.0, 1.036140283511486, 0.0, 0.0, 0.0], 'rewardMean': 0.7932906437735319, 'totalEpisodes': 69, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 1989.0878876328175
'totalSteps': 24576, 'rewardStep': 0.99561771097909, 'errorList': [], 'lossList': [0.0, -1.1123352557420731, 0.0, 0.6623543859546771, 0.0, 0.0, 0.0], 'rewardMean': 0.8190699689340594, 'totalEpisodes': 69, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 2003.431950207814
'totalSteps': 26624, 'rewardStep': 0.9865406937703421, 'errorList': [], 'lossList': [0.0, -1.0881178166717291, 0.0, 0.4912423963090987, 0.0, 0.0, 0.0], 'rewardMean': 0.8497922830903419, 'totalEpisodes': 69, 'stepsPerEpisode': 2048, 'rewardPerEpisode': 2015.5648272568183
'totalSteps': 28672, 'rewardStep': 0.8361196722711387, 'errorList': [], 'lossList': [0.0, -1.0823741041123867, 0.0, 21.513861498236658, 0.0, 0.0, 0.0], 'rewardMean': 0.8483054779493907, 'totalEpisodes': 74, 'stepsPerEpisode': 184, 'rewardPerEpisode': 165.89638032305282
'totalSteps': 30720, 'rewardStep': 0.9302535737258303, 'errorList': [], 'lossList': [0.0, -1.082420576363802, 0.0, 33.13277683667839, 0.0, 0.0, 0.0], 'rewardMean': 0.9232164710476486, 'totalEpisodes': 94, 'stepsPerEpisode': 6, 'rewardPerEpisode': 5.546922230346405
'totalSteps': 32768, 'rewardStep': 0.9725048590681684, 'errorList': [], 'lossList': [0.0, -1.0838296003639698, 0.0, 32.51624555625021, 0.0, 0.0, 0.0], 'rewardMean': 0.9467817874109876, 'totalEpisodes': 123, 'stepsPerEpisode': 9, 'rewardPerEpisode': 8.666602700219501
'totalSteps': 34816, 'rewardStep': 0.8873078157201719, 'errorList': [], 'lossList': [0.0, -1.0853922683745623, 0.0, 16.61942880488932, 0.0, 0.0, 0.0], 'rewardMean': 0.9366628475574134, 'totalEpisodes': 147, 'stepsPerEpisode': 29, 'rewardPerEpisode': 26.559174831084576
'totalSteps': 36864, 'rewardStep': 0.9772203419033021, 'errorList': [], 'lossList': [0.0, -1.0851396284997463, 0.0, 11.892130708694458, 0.0, 0.0, 0.0], 'rewardMean': 0.942294062346777, 'totalEpisodes': 172, 'stepsPerEpisode': 23, 'rewardPerEpisode': 22.77372849498736
'totalSteps': 38912, 'rewardStep': 0.9142364378836658, 'errorList': [], 'lossList': [0.0, -1.0841955803334713, 0.0, 7.913022165745497, 0.0, 0.0, 0.0], 'rewardMean': 0.9405703137761663, 'totalEpisodes': 200, 'stepsPerEpisode': 41, 'rewardPerEpisode': 39.405311840144755
