#parameter variation file for learning
#varied parameters:
#case = 2
#computationIndex = 1
#functionData = {'nArms': 2, 'evaluationSteps': 5000, 'episodeSteps': 1229, 'episodeStepsMax': 1536, 'totalLearningSteps': 200000000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'A2C', 'rewardMode': 2, 'rewardPositionFactor': 0.7, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 40, 'forceFactor': 1, 'numberOfTests': 100, 'relativeFriction': 0.0, 'storeBestModel': 'models/DP/A2C/TP_A2C_r2_v4_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/DP/A2C/TP_A2C_r2_v4_Results', 'verbose': True, 'curicculumLearning': {'decayType': 'discrete', 'decaySteps': [0, 15000, 30000, 45000], 'controlValues': [[0, 2, 1], [0, 1, 1], [0, 0, 1], [0, 0, 0]], 'dFactor': 0.05, 'nStepsLastChange': 0, 'iDecay': 0}}
#
'totalSteps': 1294, 'rewardStep': 0.6810494929838703, 'errorList': [], 'lossList': [0.0, -1.4020696878433228, 1.8161932229995728, 1.986865758895874, 0.0, 0.0, 0.0], 'rewardMean': 0.6810494929838703, 'totalEpisodes': 13, 'stepsPerEpisode': 85, 'rewardPerEpisode': 71.16670255316026
'totalSteps': 2549, 'rewardStep': 0.6138847725709309, 'errorList': [], 'lossList': [0.0, -1.392500638961792, 0.7125633358955383, 0.629447877407074, 0.0, 0.0, 0.0], 'rewardMean': 0.6474671327774006, 'totalEpisodes': 30, 'stepsPerEpisode': 104, 'rewardPerEpisode': 89.23742706375093
'totalSteps': 3786, 'rewardStep': 0.48817577361646597, 'errorList': [], 'lossList': [0.0, -1.355736255645752, -0.25783607363700867, 0.03923280909657478, 0.0, 0.0, 0.0], 'rewardMean': 0.5943700130570891, 'totalEpisodes': 37, 'stepsPerEpisode': 328, 'rewardPerEpisode': 283.8696624207477
'totalSteps': 5103, 'rewardStep': 0.44336781981474027, 'errorList': [], 'lossList': [0.0, -1.3392986059188843, -0.7655485272407532, 0.617286205291748, 0.0, 0.0, 0.0], 'rewardMean': 0.5566194647465019, 'totalEpisodes': 42, 'stepsPerEpisode': 256, 'rewardPerEpisode': 207.74917747233923
'totalSteps': 6613, 'rewardStep': 0.1914108521676171, 'errorList': [], 'lossList': [0.0, -1.335067868232727, -1.775765061378479, 3.2472426891326904, 0.0, 0.0, 0.0], 'rewardMean': 0.4835777422307249, 'totalEpisodes': 46, 'stepsPerEpisode': 466, 'rewardPerEpisode': 371.50234618722527
'totalSteps': 8095, 'rewardStep': 0.4975538410851247, 'errorList': [], 'lossList': [0.0, -1.3353402614593506, -1.1438013315200806, 1.1441549062728882, 0.0, 0.0, 0.0], 'rewardMean': 0.4468786118509758, 'totalEpisodes': 50, 'stepsPerEpisode': 292, 'rewardPerEpisode': 244.9780486515616
'totalSteps': 9336, 'rewardStep': 0.5927409989649367, 'errorList': [], 'lossList': [0.0, -1.3512439727783203, -0.7311087846755981, 0.6165705919265747, 0.0, 0.0, 0.0], 'rewardMean': 0.44264985712977695, 'totalEpisodes': 58, 'stepsPerEpisode': 107, 'rewardPerEpisode': 84.63713139992974
'totalSteps': 10576, 'rewardStep': 0.7019354386872836, 'errorList': [], 'lossList': [0.0, -1.3134015798568726, -0.594382107257843, 0.17050163447856903, 0.0, 0.0, 0.0], 'rewardMean': 0.48540179014394047, 'totalEpisodes': 68, 'stepsPerEpisode': 64, 'rewardPerEpisode': 53.74253370732211
'totalSteps': 11829, 'rewardStep': 0.7116012000970365, 'errorList': [], 'lossList': [0.0, -1.3084896802902222, -4.087861061096191, 9.665417671203613, 0.0, 0.0, 0.0], 'rewardMean': 0.5390484662003997, 'totalEpisodes': 92, 'stepsPerEpisode': 44, 'rewardPerEpisode': 36.37294783040086
'totalSteps': 13083, 'rewardStep': 0.703721375000416, 'errorList': [], 'lossList': [0.0, -1.2925372123718262, -0.2349877655506134, 0.05255362391471863, 0.0, 0.0, 0.0], 'rewardMean': 0.6415105707669596, 'totalEpisodes': 111, 'stepsPerEpisode': 31, 'rewardPerEpisode': 26.302907260400737
'totalSteps': 14394, 'rewardStep': 0.5979043336676674, 'errorList': [], 'lossList': [0.0, -1.24972403049469, -0.7062892317771912, 0.41536474227905273, 0.0, 0.0, 0.0], 'rewardMean': 0.661580669283468, 'totalEpisodes': 132, 'stepsPerEpisode': 119, 'rewardPerEpisode': 94.91026706996338
