#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 2, 'evaluationSteps': 10000, 'episodeSteps': 1229, 'episodeStepsMax': 1536, 'totalLearningSteps': 300000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.7, 'stepUpdateTime': 0.02, 'thresholdFactor': 1.5, 'cartForce': 40, 'forceFactor': 1, 'numberOfTests': 100, 'relativeFriction': 0.0, 'storeBestModel': 'models/DP/PPO/DP_PPO_r0_curriculum_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/DP/PPO/DP_PPO_r0_curriculum_Results', 'verbose': True, 'curicculumLearning': {'decayType': 'quad', 'decaySteps': [0, 30000, 60000, 90000], 'controlValues': [[0, 2, 1], [0, 1, 1], [0, 0, 1], [0, 0, 0]], 'dFactor': 0.05, 'nStepsLastChange': 0, 'iDecay': 0}}
#
'totalSteps': 1536, 'rewardStep': 0.747486536197012, 'errorList': [], 'lossList': [0.0, -1.4086996833483378, 0.0, 41.04875461856524, 0.0, 0.0, 0.0], 'rewardMean': 0.747486536197012, 'totalEpisodes': 58, 'stepsPerEpisode': 12, 'rewardPerEpisode': 10.07567268249445
'totalSteps': 3072, 'rewardStep': 0.8897553299314402, 'errorList': [], 'lossList': [0.0, -1.3948362991213799, 0.0, 22.793001961708068, 0.0, 0.0, 0.0], 'rewardMean': 0.8186209330642261, 'totalEpisodes': 113, 'stepsPerEpisode': 12, 'rewardPerEpisode': 10.522366707082385
'totalSteps': 4608, 'rewardStep': 0.9678636573896469, 'errorList': [], 'lossList': [0.0, -1.3708083242177964, 0.0, 34.538718756039934, 0.0, 0.0, 0.0], 'rewardMean': 0.8683685078393664, 'totalEpisodes': 150, 'stepsPerEpisode': 16, 'rewardPerEpisode': 14.876580258442216
'totalSteps': 6144, 'rewardStep': 0.9339489518369546, 'errorList': [], 'lossList': [0.0, -1.3420907656351726, 0.0, 50.243440731366476, 0.0, 0.0, 0.0], 'rewardMean': 0.8847636188387634, 'totalEpisodes': 166, 'stepsPerEpisode': 27, 'rewardPerEpisode': 25.21853823072128
'totalSteps': 7680, 'rewardStep': 0.8756966502112657, 'errorList': [], 'lossList': [0.0, -1.3270733738938967, 0.0, 55.366649226347604, 0.0, 0.0, 0.0], 'rewardMean': 0.8829502251132638, 'totalEpisodes': 174, 'stepsPerEpisode': 125, 'rewardPerEpisode': 114.23137294243271
'totalSteps': 9216, 'rewardStep': 0.5361310426760939, 'errorList': [], 'lossList': [0.0, -1.318392306069533, 0.0, 50.49869756301244, 0.0, 0.0, 0.0], 'rewardMean': 0.8251470280404022, 'totalEpisodes': 182, 'stepsPerEpisode': 158, 'rewardPerEpisode': 125.86126055847149
'totalSteps': 10752, 'rewardStep': 0.8804259606677534, 'errorList': [], 'lossList': [0.0, -1.3176256542404492, 0.0, 35.79039498170217, 0.0, 0.0, 0.0], 'rewardMean': 0.833044018415738, 'totalEpisodes': 189, 'stepsPerEpisode': 4, 'rewardPerEpisode': 3.499745758295701
'totalSteps': 12288, 'rewardStep': 0.1560949325278177, 'errorList': [], 'lossList': [0.0, -1.316182232896487, 0.0, 22.115627070267994, 0.0, 0.0, 0.0], 'rewardMean': 0.748425382679748, 'totalEpisodes': 194, 'stepsPerEpisode': 427, 'rewardPerEpisode': 304.6876370140419
'totalSteps': 13824, 'rewardStep': 0.7546059342486552, 'errorList': [], 'lossList': [0.0, -1.3131486232082048, 0.0, 17.00499972005685, 0.0, 0.0, 0.0], 'rewardMean': 0.7491121106318488, 'totalEpisodes': 198, 'stepsPerEpisode': 206, 'rewardPerEpisode': 175.20756752761946
'totalSteps': 15360, 'rewardStep': 0.770041469965261, 'errorList': [], 'lossList': [0.0, -1.2950754538178444, 0.0, 16.10366567472617, 0.0, 0.0, 0.0], 'rewardMean': 0.75120504656519, 'totalEpisodes': 201, 'stepsPerEpisode': 464, 'rewardPerEpisode': 343.0625591690795
'totalSteps': 16896, 'rewardStep': 0.8938287984556519, 'errorList': [], 'lossList': [0.0, -1.2724025771021843, 0.0, 15.355142107605934, 0.0, 0.0, 0.0], 'rewardMean': 0.7658392727910541, 'totalEpisodes': 203, 'stepsPerEpisode': 137, 'rewardPerEpisode': 128.293004462279
