#parameter variation file for learning
#varied parameters:
#case = 2
#computationIndex = 1
#functionData = {'nArms': 2, 'evaluationSteps': 5000, 'episodeSteps': 1000, 'episodeStepsMax': 1250, 'totalLearningSteps': 500000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 8, 'rewardPositionFactor': 0.5, 'stepUpdateTime': 0.02, 'thresholdFactor': 0.5, 'cartForce': 40, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models/DP_PPO_r8_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/DP_PPO_r8_Results', 'verbose': True}
#
'totalSteps': 1250, 'rewardStep': 0.8861200461203907, 'errorList': [], 'lossList': [0.0, -1.3794698625802995, 0.0, 2.643210848867893, 0.0, 0.0, 0.0], 'rewardMean': 0.8861200461203907, 'totalEpisodes': 348, 'stepsPerEpisode': 5, 'rewardPerEpisode': 3.8445831872965432
'totalSteps': 2500, 'rewardStep': 0.7267155250225634, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.7798503653885058, 'totalEpisodes': 618, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.3621976462721104
'totalSteps': 3750, 'rewardStep': 0.5727209718415833, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.6969986079697369, 'totalEpisodes': 880, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.2291997089688946
'totalSteps': 5000, 'rewardStep': 0.6458512558968059, 'errorList': [], 'lossList': [0.0, -1.3015203857421875, 0.0, 3.5755000030994415, 0.0, 0.0, 0.0], 'rewardMean': 0.688474049290915, 'totalEpisodes': 1155, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.6458512558968059
'totalSteps': 6250, 'rewardStep': 0.9394443661654912, 'errorList': [], 'lossList': [0.0, -1.2401748794317244, 0.0, 8.331753649711608, 0.0, 0.0, 0.0], 'rewardMean': 0.7243269517015687, 'totalEpisodes': 1328, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.6723679553526902
'totalSteps': 7500, 'rewardStep': 0.9548063582802484, 'errorList': [846.8604788478315, 1470.1726310730078, 1276.1370335880447, 399.26639769472206, 584.4209590247104, 12813.639184530457, 41630.421429822025, 88256.76241742558, 869.352123148024, 636558.9282501086, 459806.64237211295, 628.2279751637026, 19928662.813021623, 354307.4689350611, 257233.60647611404, 245215.87663361707, 1175.2357232242528, 11046028.265580935, 1559.6657167496492, 69014.66905501351, 79567.11712860713, 190799.50686601544, 1259.0086218272825, 39189.43232212636, 428.8563406071034, 5011620.598934319, 288650.3050943926, 861.9526773742868, 706197.3341890327, 1396190.525358238, 310.66980251155917, 586.9465890097817, 206565.79673941422, 596.1204438070903, 991.0642623311044, 1433.2768115658532, 2282468.0959381834, 251290.6302599112, 799.2567045796851, 660680.0766426559, 229831.4977993863, 645.7201090902043, 387.13548098310673, 256520.46494208358, 640.685069341247, 3719.6456958499907, 783524.1320624569, 706.6365604918187, 678963.3148204499, 214557.5374565342], 'lossList': [0.0, -1.2011619490385055, 0.0, 12.022024157047271, 0.0, 0.0, 0.0], 'rewardMean': 0.7531368775239038, 'totalEpisodes': 1482, 'stepsPerEpisode': 32, 'rewardPerEpisode': 24.62196140971685, 'successfulTests': 0
'totalSteps': 8750, 'rewardStep': 0.7761400533775284, 'errorList': [], 'lossList': [0.0, -1.165867863893509, 0.0, 19.411988554000853, 0.0, 0.0, 0.0], 'rewardMean': 0.7556927859520842, 'totalEpisodes': 1574, 'stepsPerEpisode': 4, 'rewardPerEpisode': 2.9619913824193493
'totalSteps': 10000, 'rewardStep': 0.6914334702131961, 'errorList': [], 'lossList': [0.0, -1.141045761704445, 0.0, 26.288843240737915, 0.0, 0.0, 0.0], 'rewardMean': 0.7492668543781955, 'totalEpisodes': 1648, 'stepsPerEpisode': 15, 'rewardPerEpisode': 10.883287033292588
'totalSteps': 11250, 'rewardStep': 0.7090544812099575, 'errorList': [], 'lossList': [0.0, -1.1253602313995361, 0.0, 33.04948540687561, 0.0, 0.0, 0.0], 'rewardMean': 0.731560297887152, 'totalEpisodes': 1705, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.382515198692388
'totalSteps': 12500, 'rewardStep': 0.6397322447753417, 'errorList': [], 'lossList': [0.0, -1.110943574309349, 0.0, 38.050283393859864, 0.0, 0.0, 0.0], 'rewardMean': 0.72286196986243, 'totalEpisodes': 1772, 'stepsPerEpisode': 46, 'rewardPerEpisode': 34.78335746130456
'totalSteps': 13750, 'rewardStep': 0.8793543071306271, 'errorList': [], 'lossList': [0.0, -1.092093002796173, 0.0, 35.718030586242676, 0.0, 0.0, 0.0], 'rewardMean': 0.7381258480732362, 'totalEpisodes': 1825, 'stepsPerEpisode': 28, 'rewardPerEpisode': 20.853664439242664
'totalSteps': 15000, 'rewardStep': 0.6143769701841648, 'errorList': [], 'lossList': [0.0, -1.0715428006649017, 0.0, 41.050406274795535, 0.0, 0.0, 0.0], 'rewardMean': 0.7422914479074945, 'totalEpisodes': 1874, 'stepsPerEpisode': 74, 'rewardPerEpisode': 52.17483502815443
'totalSteps': 16250, 'rewardStep': 0.6825735943080422, 'errorList': [], 'lossList': [0.0, -1.0465590918064118, 0.0, 38.83244386672973, 0.0, 0.0, 0.0], 'rewardMean': 0.7532767101541403, 'totalEpisodes': 1933, 'stepsPerEpisode': 4, 'rewardPerEpisode': 2.9799949155285796
'totalSteps': 17500, 'rewardStep': 0.6689470990370423, 'errorList': [], 'lossList': [0.0, -1.0282797580957412, 0.0, 39.19621744155884, 0.0, 0.0, 0.0], 'rewardMean': 0.755586294468164, 'totalEpisodes': 1978, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.4931616324286874
'totalSteps': 18750, 'rewardStep': 0.6960372234907825, 'errorList': [], 'lossList': [0.0, -1.0198686969280244, 0.0, 25.263983902931212, 0.0, 0.0, 0.0], 'rewardMean': 0.7312455802006931, 'totalEpisodes': 2034, 'stepsPerEpisode': 10, 'rewardPerEpisode': 7.558482828122355
'totalSteps': 20000, 'rewardStep': 0.710783691682555, 'errorList': [], 'lossList': [0.0, -1.0090429663658143, 0.0, 21.090701744556426, 0.0, 0.0, 0.0], 'rewardMean': 0.7068433135409238, 'totalEpisodes': 2074, 'stepsPerEpisode': 30, 'rewardPerEpisode': 23.856449373946944
'totalSteps': 21250, 'rewardStep': 0.7139616137210572, 'errorList': [], 'lossList': [0.0, -0.9947003689408302, 0.0, 17.397258410453798, 0.0, 0.0, 0.0], 'rewardMean': 0.7006254695752767, 'totalEpisodes': 2119, 'stepsPerEpisode': 29, 'rewardPerEpisode': 21.726278729163226
'totalSteps': 22500, 'rewardStep': 0.8981664810226353, 'errorList': [], 'lossList': [0.0, -0.9799092787504197, 0.0, 11.496848740577697, 0.0, 0.0, 0.0], 'rewardMean': 0.7212987706562206, 'totalEpisodes': 2159, 'stepsPerEpisode': 40, 'rewardPerEpisode': 30.355011056868875
'totalSteps': 23750, 'rewardStep': 0.5584002346433837, 'errorList': [], 'lossList': [0.0, -0.9692371714115143, 0.0, 11.269561252593995, 0.0, 0.0, 0.0], 'rewardMean': 0.7062333459995632, 'totalEpisodes': 2190, 'stepsPerEpisode': 95, 'rewardPerEpisode': 68.62610028412122
'totalSteps': 25000, 'rewardStep': 0.9093204538762519, 'errorList': [], 'lossList': [0.0, -0.9617342615127563, 0.0, 8.975177707672119, 0.0, 0.0, 0.0], 'rewardMean': 0.7331921669096542, 'totalEpisodes': 2238, 'stepsPerEpisode': 15, 'rewardPerEpisode': 10.710717329863003
'totalSteps': 26250, 'rewardStep': 0.6705532623062187, 'errorList': [], 'lossList': [0.0, -0.9466413110494614, 0.0, 10.562489292621613, 0.0, 0.0, 0.0], 'rewardMean': 0.7123120624272132, 'totalEpisodes': 2277, 'stepsPerEpisode': 9, 'rewardPerEpisode': 6.131723368614603
