#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 2, 'evaluationSteps': 5000, 'episodeSteps': 1000, 'episodeStepsMax': 1250, 'totalLearningSteps': 500000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 4, 'rewardPositionFactor': 0.5, 'stepUpdateTime': 0.02, 'thresholdFactor': 0.5, 'cartForce': 40, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models/DoublePendulum_PPO_r2_v1Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/DoublePendulum_PPO_r2_v1Results', 'verbose': True}
#
'totalSteps': 1250, 'rewardStep': 0.8725047489570668, 'errorList': [], 'lossList': [0.0, -1.3793825513124467, 0.0, 3.860846892595291, 0.0, 0.0, 0.0], 'rewardMean': 0.8725047489570668, 'totalEpisodes': 317, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.79749920016233
'totalSteps': 2500, 'rewardStep': 0.9292757436269389, 'errorList': [], 'lossList': [0.0, -1.3023039370775222, 0.0, 7.444335888624192, 0.0, 0.0, 0.0], 'rewardMean': 0.9008902462920028, 'totalEpisodes': 573, 'stepsPerEpisode': 8, 'rewardPerEpisode': 7.429181366235642
'totalSteps': 3750, 'rewardStep': 0.6873511760035129, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.7941207111477577, 'totalEpisodes': 770, 'stepsPerEpisode': 4, 'rewardPerEpisode': 3.1317201571782958
'totalSteps': 5000, 'rewardStep': 0.8213351246843034, 'errorList': [], 'lossList': [0.0, -1.2442991495132447, 0.0, 10.356476728916169, 0.0, 0.0, 0.0], 'rewardMean': 0.7995635938550668, 'totalEpisodes': 976, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.668897786145851
'totalSteps': 6250, 'rewardStep': 0.8919611022580999, 'errorList': [], 'lossList': [0.0, -1.207974436879158, 0.0, 18.157536249160767, 0.0, 0.0, 0.0], 'rewardMean': 0.8149631785889057, 'totalEpisodes': 1116, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.8919611022580999
'totalSteps': 7500, 'rewardStep': 0.9045360159842815, 'errorList': [], 'lossList': [0.0, -1.1763502794504166, 0.0, 24.971228189468384, 0.0, 0.0, 0.0], 'rewardMean': 0.8277592982168166, 'totalEpisodes': 1220, 'stepsPerEpisode': 3, 'rewardPerEpisode': 2.738103448366779
'totalSteps': 8750, 'rewardStep': 0.8305327659845722, 'errorList': [], 'lossList': [0.0, -1.1446052032709122, 0.0, 34.61876009941101, 0.0, 0.0, 0.0], 'rewardMean': 0.828105981687786, 'totalEpisodes': 1290, 'stepsPerEpisode': 11, 'rewardPerEpisode': 9.137116760531654
'totalSteps': 10000, 'rewardStep': 0.8634251887436402, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.8351698230989569, 'totalEpisodes': 1364, 'stepsPerEpisode': 10, 'rewardPerEpisode': 8.462955208700782
'totalSteps': 11250, 'rewardStep': 0.8182666776657055, 'errorList': [], 'lossList': [0.0, -1.1220573151111604, 0.0, 37.83129016876221, 0.0, 0.0, 0.0], 'rewardMean': 0.8297460159698208, 'totalEpisodes': 1442, 'stepsPerEpisode': 33, 'rewardPerEpisode': 28.481688427121366
'totalSteps': 12500, 'rewardStep': 0.9422987326292438, 'errorList': [], 'lossList': [0.0, -1.1044413936138153, 0.0, 42.03220543861389, 0.0, 0.0, 0.0], 'rewardMean': 0.8310483148700513, 'totalEpisodes': 1504, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.9422987326292438
'totalSteps': 13750, 'rewardStep': 0.8216728927483973, 'errorList': [], 'lossList': [0.0, -1.0859168845415115, 0.0, 46.49568892478943, 0.0, 0.0, 0.0], 'rewardMean': 0.8444804865445397, 'totalEpisodes': 1553, 'stepsPerEpisode': 3, 'rewardPerEpisode': 2.438126404662758
'totalSteps': 15000, 'rewardStep': 0.8389451539177425, 'errorList': [], 'lossList': [0.0, -1.063809221982956, 0.0, 51.11532163619995, 0.0, 0.0, 0.0], 'rewardMean': 0.8596398843359626, 'totalEpisodes': 1598, 'stepsPerEpisode': 34, 'rewardPerEpisode': 30.770511917642587
'totalSteps': 16250, 'rewardStep': 0.7529688923003831, 'errorList': [], 'lossList': [0.0, -1.0455908477306366, 0.0, 57.81680606842041, 0.0, 0.0, 0.0], 'rewardMean': 0.8528032610975705, 'totalEpisodes': 1655, 'stepsPerEpisode': 10, 'rewardPerEpisode': 7.786131297628552
'totalSteps': 17500, 'rewardStep': 0.8963216231614245, 'errorList': [], 'lossList': [0.0, -1.0287850153446199, 0.0, 51.48872373580932, 0.0, 0.0, 0.0], 'rewardMean': 0.8532393131879031, 'totalEpisodes': 1707, 'stepsPerEpisode': 51, 'rewardPerEpisode': 44.78048762267279
'totalSteps': 18750, 'rewardStep': 0.7150217653187048, 'errorList': [], 'lossList': [0.0, -1.0174241733551026, 0.0, 43.58644494056702, 0.0, 0.0, 0.0], 'rewardMean': 0.8342878881213454, 'totalEpisodes': 1754, 'stepsPerEpisode': 49, 'rewardPerEpisode': 41.076510304035594
'totalSteps': 20000, 'rewardStep': 0.9475060350196705, 'errorList': [], 'lossList': [0.0, -1.0145374757051469, 0.0, 28.510515918731688, 0.0, 0.0, 0.0], 'rewardMean': 0.8459852150248551, 'totalEpisodes': 1797, 'stepsPerEpisode': 46, 'rewardPerEpisode': 40.98934543345344
'totalSteps': 21250, 'rewardStep': 0.8185137500266242, 'errorList': [], 'lossList': [0.0, -1.0047095102071761, 0.0, 23.98813953399658, 0.0, 0.0, 0.0], 'rewardMean': 0.8414940711531536, 'totalEpisodes': 1845, 'stepsPerEpisode': 34, 'rewardPerEpisode': 29.322034221429895
'totalSteps': 22500, 'rewardStep': 0.6592212581887669, 'errorList': [], 'lossList': [0.0, -0.9858382198214531, 0.0, 16.316153659820557, 0.0, 0.0, 0.0], 'rewardMean': 0.8210736780976664, 'totalEpisodes': 1894, 'stepsPerEpisode': 30, 'rewardPerEpisode': 23.029185412579245
'totalSteps': 23750, 'rewardStep': 0.8432390847224225, 'errorList': [], 'lossList': [0.0, -0.9754500004649163, 0.0, 19.99422010421753, 0.0, 0.0, 0.0], 'rewardMean': 0.8235709188033379, 'totalEpisodes': 1938, 'stepsPerEpisode': 15, 'rewardPerEpisode': 12.681661862816732
'totalSteps': 25000, 'rewardStep': 0.8393083843133311, 'errorList': [], 'lossList': [0.0, -0.9623840379714966, 0.0, 22.633498239517213, 0.0, 0.0, 0.0], 'rewardMean': 0.8132718839717468, 'totalEpisodes': 1979, 'stepsPerEpisode': 26, 'rewardPerEpisode': 23.194210944984047
'totalSteps': 26250, 'rewardStep': 0.738998434996199, 'errorList': [], 'lossList': [0.0, -0.9515255054831505, 0.0, 13.080641798973083, 0.0, 0.0, 0.0], 'rewardMean': 0.805004438196527, 'totalEpisodes': 2024, 'stepsPerEpisode': 12, 'rewardPerEpisode': 10.084460069953236
'totalSteps': 27500, 'rewardStep': 0.9168587209499162, 'errorList': [], 'lossList': [0.0, -0.940661928653717, 0.0, 16.01072475910187, 0.0, 0.0, 0.0], 'rewardMean': 0.8127957948997443, 'totalEpisodes': 2062, 'stepsPerEpisode': 24, 'rewardPerEpisode': 22.135905214487067
'totalSteps': 28750, 'rewardStep': 0.7395118288297923, 'errorList': [], 'lossList': [0.0, -0.9259021526575089, 0.0, 12.836956677436829, 0.0, 0.0, 0.0], 'rewardMean': 0.8114500885526852, 'totalEpisodes': 2103, 'stepsPerEpisode': 29, 'rewardPerEpisode': 23.240981929864493
'totalSteps': 30000, 'rewardStep': 0.8925255926723186, 'errorList': [], 'lossList': [0.0, -0.913113523721695, 0.0, 11.875675232410432, 0.0, 0.0, 0.0], 'rewardMean': 0.8110704855037746, 'totalEpisodes': 2144, 'stepsPerEpisode': 51, 'rewardPerEpisode': 43.63024858669312
'totalSteps': 31250, 'rewardStep': 0.6812846390658669, 'errorList': [], 'lossList': [0.0, -0.9011310249567032, 0.0, 18.165171637535096, 0.0, 0.0, 0.0], 'rewardMean': 0.8076967728784907, 'totalEpisodes': 2171, 'stepsPerEpisode': 63, 'rewardPerEpisode': 50.46407460534521
'totalSteps': 32500, 'rewardStep': 0.8020009046606458, 'errorList': [], 'lossList': [0.0, -0.9017000940442085, 0.0, 13.192956953048705, 0.0, 0.0, 0.0], 'rewardMean': 0.7931462598425884, 'totalEpisodes': 2208, 'stepsPerEpisode': 33, 'rewardPerEpisode': 28.73603975614868
'totalSteps': 33750, 'rewardStep': 0.8335845797217335, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.8120896749653961, 'totalEpisodes': 2246, 'stepsPerEpisode': 6, 'rewardPerEpisode': 4.985145452161892
'totalSteps': 35000, 'rewardStep': 0.42344685499403345, 'errorList': [], 'lossList': [0.0, -0.9052169746160508, 0.0, 13.931687977313995, 0.0, 0.0, 0.0], 'rewardMean': 0.770110451992557, 'totalEpisodes': 2285, 'stepsPerEpisode': 73, 'rewardPerEpisode': 51.1589527309847
'totalSteps': 36250, 'rewardStep': 0.8857143175929135, 'errorList': [], 'lossList': [0.0, -0.9019105330109596, 0.0, 22.669330520629885, 0.0, 0.0, 0.0], 'rewardMean': 0.7747510453205153, 'totalEpisodes': 2322, 'stepsPerEpisode': 23, 'rewardPerEpisode': 20.12271393080433
'totalSteps': 37500, 'rewardStep': 0.8731911965300018, 'errorList': [], 'lossList': [0.0, -0.8952227064967155, 0.0, 19.941775493621826, 0.0, 0.0, 0.0], 'rewardMean': 0.7881703214738955, 'totalEpisodes': 2356, 'stepsPerEpisode': 22, 'rewardPerEpisode': 19.11837394359056
'totalSteps': 38750, 'rewardStep': 0.845994791257841, 'errorList': [], 'lossList': [0.0, -0.8818875306844711, 0.0, 13.025444536209106, 0.0, 0.0, 0.0], 'rewardMean': 0.781083928504688, 'totalEpisodes': 2393, 'stepsPerEpisode': 9, 'rewardPerEpisode': 7.642310087113381
'totalSteps': 40000, 'rewardStep': 0.9378087677877545, 'errorList': [], 'lossList': [0.0, -0.8640635505318641, 0.0, 18.661114735603334, 0.0, 0.0, 0.0], 'rewardMean': 0.8009136224004841, 'totalEpisodes': 2421, 'stepsPerEpisode': 16, 'rewardPerEpisode': 15.055691072104242
'totalSteps': 41250, 'rewardStep': 0.7976419676134963, 'errorList': [], 'lossList': [0.0, -0.8486639240384102, 0.0, 11.615025868415833, 0.0, 0.0, 0.0], 'rewardMean': 0.7914252598946021, 'totalEpisodes': 2449, 'stepsPerEpisode': 58, 'rewardPerEpisode': 49.94338014896086
'totalSteps': 42500, 'rewardStep': 0.0, 'errorList': [], 'lossList': [0.0, -0.8388059240579605, 0.0, 23.747350058555604, 0.0, 0.0, 0.0], 'rewardMean': 0.7232967959880153, 'totalEpisodes': 2479, 'stepsPerEpisode': 115, 'rewardPerEpisode': 63.411339174487274
'totalSteps': 43750, 'rewardStep': 0.8755784721115769, 'errorList': [], 'lossList': [0.0, -0.8351381388306618, 0.0, 23.23815601825714, 0.0, 0.0, 0.0], 'rewardMean': 0.7306545527331083, 'totalEpisodes': 2511, 'stepsPerEpisode': 14, 'rewardPerEpisode': 11.958227088676653
'totalSteps': 45000, 'rewardStep': 0.5696797823395189, 'errorList': [], 'lossList': [0.0, -0.8244294264912605, 0.0, 21.051928930282592, 0.0, 0.0, 0.0], 'rewardMean': 0.704264072994887, 'totalEpisodes': 2535, 'stepsPerEpisode': 76, 'rewardPerEpisode': 62.009277576416864
'totalSteps': 46250, 'rewardStep': 0.7234363569443267, 'errorList': [], 'lossList': [0.0, -0.8195693746209145, 0.0, 17.18175374031067, 0.0, 0.0, 0.0], 'rewardMean': 0.6932492507171464, 'totalEpisodes': 2553, 'stepsPerEpisode': 90, 'rewardPerEpisode': 74.14822116430199
'totalSteps': 47500, 'rewardStep': 0.37900990475890783, 'errorList': [], 'lossList': [0.0, -0.8080576753616333, 0.0, 19.7676624917984, 0.0, 0.0, 0.0], 'rewardMean': 0.6888055556936338, 'totalEpisodes': 2572, 'stepsPerEpisode': 101, 'rewardPerEpisode': 82.17090616863273
'totalSteps': 48750, 'rewardStep': 0.9015191970709033, 'errorList': [], 'lossList': [0.0, -0.7936269357800484, 0.0, 16.165084352493285, 0.0, 0.0, 0.0], 'rewardMean': 0.6903860436414326, 'totalEpisodes': 2587, 'stepsPerEpisode': 16, 'rewardPerEpisode': 14.443844951395839
'totalSteps': 50000, 'rewardStep': 0.11589210002303041, 'errorList': [], 'lossList': [0.0, -0.793103997707367, 0.0, 14.99438408613205, 0.0, 0.0, 0.0], 'rewardMean': 0.6146561339907356, 'totalEpisodes': 2599, 'stepsPerEpisode': 130, 'rewardPerEpisode': 93.56123629991095
'totalSteps': 51250, 'rewardStep': 0.9241450562759239, 'errorList': [], 'lossList': [0.0, -0.7937175494432449, 0.0, 12.361123089790345, 0.0, 0.0, 0.0], 'rewardMean': 0.6224711604925439, 'totalEpisodes': 2616, 'stepsPerEpisode': 24, 'rewardPerEpisode': 21.956429626401757
'totalSteps': 52500, 'rewardStep': 0.8792683508647696, 'errorList': [], 'lossList': [0.0, -0.7912614589929581, 0.0, 16.01817888259888, 0.0, 0.0, 0.0], 'rewardMean': 0.6166171188002454, 'totalEpisodes': 2637, 'stepsPerEpisode': 24, 'rewardPerEpisode': 21.467237115235868
'totalSteps': 53750, 'rewardStep': 0.22414236981761393, 'errorList': [], 'lossList': [0.0, -0.7809597760438919, 0.0, 11.18302348613739, 0.0, 0.0, 0.0], 'rewardMean': 0.5592671590206573, 'totalEpisodes': 2654, 'stepsPerEpisode': 180, 'rewardPerEpisode': 105.38302225929525
'totalSteps': 55000, 'rewardStep': 0.6451090166818008, 'errorList': [], 'lossList': [0.0, -0.7682772555947304, 0.0, 10.841100001335144, 0.0, 0.0, 0.0], 'rewardMean': 0.6237780606888371, 'totalEpisodes': 2662, 'stepsPerEpisode': 361, 'rewardPerEpisode': 289.0313048643793
'totalSteps': 56250, 'rewardStep': 0.8843860858231115, 'errorList': [], 'lossList': [0.0, -0.7705095314979553, 0.0, 4.946720707416534, 0.0, 0.0, 0.0], 'rewardMean': 0.6246588220599907, 'totalEpisodes': 2675, 'stepsPerEpisode': 65, 'rewardPerEpisode': 60.062737001258604
'totalSteps': 57500, 'rewardStep': 0.9455284630220538, 'errorList': [], 'lossList': [0.0, -0.768192249238491, 0.0, 7.578215627074242, 0.0, 0.0, 0.0], 'rewardMean': 0.6622436901282442, 'totalEpisodes': 2692, 'stepsPerEpisode': 46, 'rewardPerEpisode': 43.08947967537442
'totalSteps': 58750, 'rewardStep': 0.8304222360954097, 'errorList': [], 'lossList': [0.0, -0.747479904294014, 0.0, 8.821795855760575, 0.0, 0.0, 0.0], 'rewardMean': 0.6729422780433525, 'totalEpisodes': 2703, 'stepsPerEpisode': 69, 'rewardPerEpisode': 61.676731478185964
'totalSteps': 60000, 'rewardStep': 0.0738502220453191, 'errorList': [], 'lossList': [0.0, -0.7264496710896492, 0.0, 12.11753194451332, 0.0, 0.0, 0.0], 'rewardMean': 0.6424263097719936, 'totalEpisodes': 2716, 'stepsPerEpisode': 162, 'rewardPerEpisode': 92.19239679875135
'totalSteps': 61250, 'rewardStep': 0.1566092417120325, 'errorList': [], 'lossList': [0.0, -0.7198393708467483, 0.0, 10.610981360673904, 0.0, 0.0, 0.0], 'rewardMean': 0.5679353142361065, 'totalEpisodes': 2727, 'stepsPerEpisode': 97, 'rewardPerEpisode': 62.71085395894136
'totalSteps': 62500, 'rewardStep': 0.154579999127462, 'errorList': [], 'lossList': [0.0, -0.7002733969688415, 0.0, 8.709594505429267, 0.0, 0.0, 0.0], 'rewardMean': 0.5718041041465496, 'totalEpisodes': 2738, 'stepsPerEpisode': 193, 'rewardPerEpisode': 148.47059008368137
'totalSteps': 63750, 'rewardStep': 0.5300946782116452, 'errorList': [], 'lossList': [0.0, -0.6713283091783524, 0.0, 3.2045546144247057, 0.0, 0.0, 0.0], 'rewardMean': 0.5323990663401218, 'totalEpisodes': 2746, 'stepsPerEpisode': 148, 'rewardPerEpisode': 127.83352819250892
'totalSteps': 65000, 'rewardStep': 0.3845225170494182, 'errorList': [], 'lossList': [0.0, -0.6613401389122009, 0.0, 9.427937036156655, 0.0, 0.0, 0.0], 'rewardMean': 0.4829244829585867, 'totalEpisodes': 2762, 'stepsPerEpisode': 103, 'rewardPerEpisode': 74.6896875170448
'totalSteps': 66250, 'rewardStep': 0.43469901905020447, 'errorList': [], 'lossList': [0.0, -0.6575248125195503, 0.0, 5.946381934583187, 0.0, 0.0, 0.0], 'rewardMean': 0.5039801478818456, 'totalEpisodes': 2776, 'stepsPerEpisode': 134, 'rewardPerEpisode': 105.9140344326759
'totalSteps': 67500, 'rewardStep': 0.4665005751948552, 'errorList': [], 'lossList': [0.0, -0.649250341951847, 0.0, 9.676140633821488, 0.0, 0.0, 0.0], 'rewardMean': 0.48611930373315115, 'totalEpisodes': 2787, 'stepsPerEpisode': 140, 'rewardPerEpisode': 93.28020275167403
'totalSteps': 68750, 'rewardStep': 0.8980538669925134, 'errorList': [], 'lossList': [0.0, -0.6305996859073639, 0.0, 7.813533032536506, 0.0, 0.0, 0.0], 'rewardMean': 0.48748608185009135, 'totalEpisodes': 2802, 'stepsPerEpisode': 12, 'rewardPerEpisode': 10.784924565635697
'totalSteps': 70000, 'rewardStep': 0.8079540421577585, 'errorList': [], 'lossList': [0.0, -0.6205629044771195, 0.0, 7.726007405519486, 0.0, 0.0, 0.0], 'rewardMean': 0.4737286397636618, 'totalEpisodes': 2814, 'stepsPerEpisode': 45, 'rewardPerEpisode': 42.10513254592602
'totalSteps': 71250, 'rewardStep': 0.551636512378616, 'errorList': [], 'lossList': [0.0, -0.6203182134032249, 0.0, 5.016151450276375, 0.0, 0.0, 0.0], 'rewardMean': 0.44585006739198246, 'totalEpisodes': 2823, 'stepsPerEpisode': 61, 'rewardPerEpisode': 47.55263173434452
'totalSteps': 72500, 'rewardStep': 0.4752446349366337, 'errorList': [], 'lossList': [0.0, -0.6198965761065484, 0.0, 3.0039732307195663, 0.0, 0.0, 0.0], 'rewardMean': 0.48598950868111396, 'totalEpisodes': 2833, 'stepsPerEpisode': 73, 'rewardPerEpisode': 52.445655858712364
