#parameter variation file for learning
#varied parameters:
#case = 2
#computationIndex = 1
#functionData = {'nArms': 1, 'evaluationSteps': 5000, 'episodeSteps': 1000, 'episodeStepsMax': 1250, 'totalLearningSteps': 200000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'A2C', 'rewardMode': 2, 'rewardPositionFactor': 0.5, 'stepUpdateTime': 0.02, 'thresholdFactor': 0.5, 'cartForce': 12, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models/SinglePendulum_A2C_r2_v2_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/SinglePendulum_A2C_r2_v2_Results', 'verbose': True}
#
'totalSteps': 1021, 'rewardStep': 0.43834985586539693, 'errorList': [], 'lossList': [0.0, -1.4089202880859375, 1.2720811367034912, 1.5618101358413696, 0.0, 0.0, 0.0], 'rewardMean': 0.43834985586539693, 'totalEpisodes': 53, 'stepsPerEpisode': 57, 'rewardPerEpisode': 44.27397806428217
'totalSteps': 2029, 'rewardStep': 0.4761212613312595, 'errorList': [], 'lossList': [0.0, -1.3856420516967773, 1.0651507377624512, 0.8596129417419434, 0.0, 0.0, 0.0], 'rewardMean': 0.4572355585983282, 'totalEpisodes': 74, 'stepsPerEpisode': 20, 'rewardPerEpisode': 12.604158825866223
'totalSteps': 3133, 'rewardStep': 0.09189847604477469, 'errorList': [], 'lossList': [0.0, -1.3878602981567383, -0.24648785591125488, 0.04492747411131859, 0.0, 0.0, 0.0], 'rewardMean': 0.33545653108047707, 'totalEpisodes': 84, 'stepsPerEpisode': 379, 'rewardPerEpisode': 255.60479327218076
'totalSteps': 4174, 'rewardStep': 0.419085403322903, 'errorList': [], 'lossList': [0.0, -1.3728492259979248, 0.1745365858078003, 0.03162802383303642, 0.0, 0.0, 0.0], 'rewardMean': 0.35636374914108354, 'totalEpisodes': 92, 'stepsPerEpisode': 195, 'rewardPerEpisode': 137.8924954914232
'totalSteps': 5310, 'rewardStep': 0.30716920399544523, 'errorList': [], 'lossList': [0.0, -1.359729290008545, -0.5979306697845459, 0.2976420223712921, 0.0, 0.0, 0.0], 'rewardMean': 0.3465248401119559, 'totalEpisodes': 99, 'stepsPerEpisode': 483, 'rewardPerEpisode': 300.6105737761503
'totalSteps': 6560, 'rewardStep': 0.5495353623202336, 'errorList': [], 'lossList': [0.0, -1.3567473888397217, -0.056545842438936234, 0.0028863227926194668, 0.0, 0.0, 0.0], 'rewardMean': 0.35764339075743956, 'totalEpisodes': 106, 'stepsPerEpisode': 280, 'rewardPerEpisode': 217.50960079591283
'totalSteps': 7810, 'rewardStep': 0.6717151954964752, 'errorList': [], 'lossList': [0.0, -1.3448747396469116, 0.05171225219964981, 0.001634165644645691, 0.0, 0.0, 0.0], 'rewardMean': 0.38097992472054737, 'totalEpisodes': 110, 'stepsPerEpisode': 319, 'rewardPerEpisode': 262.03384243898427
'totalSteps': 9060, 'rewardStep': 0.451513968169201, 'errorList': [], 'lossList': [0.0, -1.3174456357955933, -1.1509361267089844, 0.5654299855232239, 0.0, 0.0, 0.0], 'rewardMean': 0.37851919540434154, 'totalEpisodes': 112, 'stepsPerEpisode': 294, 'rewardPerEpisode': 203.12745522858785
'totalSteps': 10132, 'rewardStep': 0.42470758139642695, 'errorList': [], 'lossList': [0.0, -1.3045263290405273, -1.3111343383789062, 8.788146018981934, 0.0, 0.0, 0.0], 'rewardMean': 0.4066587379460234, 'totalEpisodes': 118, 'stepsPerEpisode': 130, 'rewardPerEpisode': 84.7933093331659
'totalSteps': 11294, 'rewardStep': 0.2879573807577053, 'errorList': [], 'lossList': [0.0, -1.2860184907913208, -2.2770371437072754, 2.623626232147217, 0.0, 0.0, 0.0], 'rewardMean': 0.4131518261607968, 'totalEpisodes': 124, 'stepsPerEpisode': 222, 'rewardPerEpisode': 150.19906264660153
'totalSteps': 12523, 'rewardStep': 0.07819590580894986, 'errorList': [], 'lossList': [0.0, -1.2593538761138916, -1.727452278137207, 3.914931058883667, 0.0, 0.0, 0.0], 'rewardMean': 0.3561655465907519, 'totalEpisodes': 126, 'stepsPerEpisode': 611, 'rewardPerEpisode': 480.6890288913736
'totalSteps': 13636, 'rewardStep': 0.4844884009276359, 'errorList': [], 'lossList': [0.0, -1.2430955171585083, -0.8717620968818665, 1.1163842678070068, 0.0, 0.0, 0.0], 'rewardMean': 0.36739277014471117, 'totalEpisodes': 133, 'stepsPerEpisode': 279, 'rewardPerEpisode': 219.2397609633144
