#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 3, 'evaluationSteps': 10000, 'episodeSteps': 1639, 'episodeStepsMax': 2048, 'totalLearningSteps': 5000000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'A2C', 'rewardMode': 2, 'rewardPositionFactor': 0.8, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 60, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models/TP_A2C_r2_tF2d25_rPF0d8_n64Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/TP_A2C_r2_tF2d25_rPF0d8_n64Results', 'verbose': True}
#
'totalSteps': 1656, 'rewardStep': 0.7743393636603821, 'errorList': [], 'lossList': [0.0, -1.3531494140625, 2.626366376876831, 4.378718376159668, 0.0, 0.0, 0.0], 'rewardMean': 0.7743393636603821, 'totalEpisodes': 124, 'stepsPerEpisode': 24, 'rewardPerEpisode': 21.477492883214488
'totalSteps': 3307, 'rewardStep': 0.8320380106170024, 'errorList': [], 'lossList': [0.0, -1.3414356708526611, -2.7147974967956543, 7.880084991455078, 0.0, 0.0, 0.0], 'rewardMean': 0.8031886871386922, 'totalEpisodes': 195, 'stepsPerEpisode': 43, 'rewardPerEpisode': 39.9973572896216
'totalSteps': 4949, 'rewardStep': 0.8418921648758564, 'errorList': [], 'lossList': [0.0, -1.345883846282959, 1.9657421112060547, 2.377948760986328, 0.0, 0.0, 0.0], 'rewardMean': 0.8160898463844136, 'totalEpisodes': 265, 'stepsPerEpisode': 23, 'rewardPerEpisode': 20.988426124852662
'totalSteps': 6610, 'rewardStep': 0.8250523560445889, 'errorList': [], 'lossList': [0.0, -1.3316690921783447, -10.549219131469727, 220.57632446289062, 0.0, 0.0, 0.0], 'rewardMean': 0.8183304737994574, 'totalEpisodes': 336, 'stepsPerEpisode': 28, 'rewardPerEpisode': 24.480753615123295
'totalSteps': 8261, 'rewardStep': 0.7645701306152605, 'errorList': [], 'lossList': [0.0, -1.3426142930984497, 0.36557382345199585, 2.572287082672119, 0.0, 0.0, 0.0], 'rewardMean': 0.8075784051626181, 'totalEpisodes': 406, 'stepsPerEpisode': 25, 'rewardPerEpisode': 21.99497819317049
'totalSteps': 9900, 'rewardStep': 0.8340325854031855, 'errorList': [], 'lossList': [0.0, -1.346294641494751, 4.0727128982543945, 9.587053298950195, 0.0, 0.0, 0.0], 'rewardMean': 0.8195170495111788, 'totalEpisodes': 475, 'stepsPerEpisode': 20, 'rewardPerEpisode': 17.83628486452877
'totalSteps': 11541, 'rewardStep': 0.8076815719344055, 'errorList': [], 'lossList': [0.0, -1.37748122215271, 1.0834691524505615, 6.767958164215088, 0.0, 0.0, 0.0], 'rewardMean': 0.8146457617746593, 'totalEpisodes': 542, 'stepsPerEpisode': 28, 'rewardPerEpisode': 25.30782725163321
'totalSteps': 13194, 'rewardStep': 0.8736892082939153, 'errorList': [], 'lossList': [0.0, -1.3701362609863281, -0.5163835287094116, 0.3798619210720062, 0.0, 0.0, 0.0], 'rewardMean': 0.821005170458271, 'totalEpisodes': 596, 'stepsPerEpisode': 28, 'rewardPerEpisode': 26.550513845335004
'totalSteps': 14850, 'rewardStep': 0.8094534657047006, 'errorList': [], 'lossList': [0.0, -1.3808261156082153, -1.488869071006775, 1.5274115800857544, 0.0, 0.0, 0.0], 'rewardMean': 0.8178853923902935, 'totalEpisodes': 646, 'stepsPerEpisode': 33, 'rewardPerEpisode': 30.343067768013153
'totalSteps': 16517, 'rewardStep': 0.8021208395574309, 'errorList': [], 'lossList': [0.0, -1.4047553539276123, 3.2545166015625, 8.970823287963867, 0.0, 0.0, 0.0], 'rewardMean': 0.8253955341787276, 'totalEpisodes': 692, 'stepsPerEpisode': 49, 'rewardPerEpisode': 45.247106168761704
'totalSteps': 18174, 'rewardStep': 0.6768798845365852, 'errorList': [], 'lossList': [0.0, -1.437669277191162, 0.9451805353164673, 1.959960699081421, 0.0, 0.0, 0.0], 'rewardMean': 0.7939649940054074, 'totalEpisodes': 742, 'stepsPerEpisode': 36, 'rewardPerEpisode': 29.993944685169694
'totalSteps': 19834, 'rewardStep': 0.7039458361427586, 'errorList': [], 'lossList': [0.0, -1.418138861656189, 1.123056173324585, 0.29663485288619995, 0.0, 0.0, 0.0], 'rewardMean': 0.7732178468470781, 'totalEpisodes': 787, 'stepsPerEpisode': 32, 'rewardPerEpisode': 26.951871940462855
'totalSteps': 21521, 'rewardStep': 0.6859761873480354, 'errorList': [], 'lossList': [0.0, -1.395645022392273, -0.043146975338459015, 0.0006040104781277478, 0.0, 0.0, 0.0], 'rewardMean': 0.7356752426579023, 'totalEpisodes': 833, 'stepsPerEpisode': 80, 'rewardPerEpisode': 71.6391815132839
'totalSteps': 23166, 'rewardStep': 0.8455355786387068, 'errorList': [], 'lossList': [0.0, -1.3891712427139282, 4.780997276306152, 15.053129196166992, 0.0, 0.0, 0.0], 'rewardMean': 0.7428916652447033, 'totalEpisodes': 885, 'stepsPerEpisode': 42, 'rewardPerEpisode': 37.43320189577144
'totalSteps': 24821, 'rewardStep': 0.7881175360289754, 'errorList': [], 'lossList': [0.0, -1.357450246810913, -0.9833946228027344, 89.6089859008789, 0.0, 0.0, 0.0], 'rewardMean': 0.7400910045390123, 'totalEpisodes': 939, 'stepsPerEpisode': 22, 'rewardPerEpisode': 20.18762767035196
'totalSteps': 26517, 'rewardStep': 0.884702382250252, 'errorList': [], 'lossList': [0.0, -1.3652303218841553, -13.029203414916992, 97.73112487792969, 0.0, 0.0, 0.0], 'rewardMean': 0.7816555040817457, 'totalEpisodes': 1005, 'stepsPerEpisode': 60, 'rewardPerEpisode': 56.53775065660462
'totalSteps': 28172, 'rewardStep': 0.8439306798556565, 'errorList': [], 'lossList': [0.0, -1.3883233070373535, 5.1017165184021, 5.005036354064941, 0.0, 0.0, 0.0], 'rewardMean': 0.8096524728243253, 'totalEpisodes': 1055, 'stepsPerEpisode': 49, 'rewardPerEpisode': 46.13635348017006
'totalSteps': 29823, 'rewardStep': 0.8325366627892358, 'errorList': [], 'lossList': [0.0, -1.4054651260375977, -1.1440390348434448, 2.8782896995544434, 0.0, 0.0, 0.0], 'rewardMean': 0.8389645679125654, 'totalEpisodes': 1118, 'stepsPerEpisode': 22, 'rewardPerEpisode': 20.293498768285193
'totalSteps': 31466, 'rewardStep': 0.7656707566275855, 'errorList': [], 'lossList': [0.0, -1.394068717956543, 6.283903121948242, 46.940773010253906, 0.0, 0.0, 0.0], 'rewardMean': 0.8229916035103411, 'totalEpisodes': 1183, 'stepsPerEpisode': 21, 'rewardPerEpisode': 19.01003490599833
'totalSteps': 33124, 'rewardStep': 0.8174298366143188, 'errorList': [], 'lossList': [0.0, -1.39093017578125, 4.404267311096191, 11.810327529907227, 0.0, 0.0, 0.0], 'rewardMean': 0.8288540636274098, 'totalEpisodes': 1238, 'stepsPerEpisode': 23, 'rewardPerEpisode': 20.810808652959945
'totalSteps': 34769, 'rewardStep': 0.7603809621094979, 'errorList': [], 'lossList': [0.0, -1.3848388195037842, -0.22684569656848907, 28.495223999023438, 0.0, 0.0, 0.0], 'rewardMean': 0.8039897795992589, 'totalEpisodes': 1292, 'stepsPerEpisode': 27, 'rewardPerEpisode': 22.550387404023
'totalSteps': 36421, 'rewardStep': 0.8683488589430177, 'errorList': [], 'lossList': [0.0, -1.3772473335266113, 6.147496700286865, 14.752962112426758, 0.0, 0.0, 0.0], 'rewardMean': 0.8088734154167311, 'totalEpisodes': 1340, 'stepsPerEpisode': 46, 'rewardPerEpisode': 43.43039395201532
'totalSteps': 38071, 'rewardStep': 0.7510626799279289, 'errorList': [], 'lossList': [0.0, -1.3801720142364502, 0.7555202841758728, 1.3780514001846313, 0.0, 0.0, 0.0], 'rewardMean': 0.7925786188444699, 'totalEpisodes': 1386, 'stepsPerEpisode': 50, 'rewardPerEpisode': 43.890034088931245
'totalSteps': 39714, 'rewardStep': 0.7973850486128252, 'errorList': [], 'lossList': [0.0, -1.388351559638977, 1.6242040395736694, 2.816593885421753, 0.0, 0.0, 0.0], 'rewardMean': 0.7989214772415176, 'totalEpisodes': 1424, 'stepsPerEpisode': 32, 'rewardPerEpisode': 29.172036618621295
