#parameter variation file for learning
#varied parameters:
#case = 2
#computationIndex = 1
#functionData = {'nArms': 3, 'evaluationSteps': 10000, 'episodeSteps': 1639, 'episodeStepsMax': 2048, 'totalLearningSteps': 5000000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'A2C', 'rewardMode': 2, 'rewardPositionFactor': 0.8, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 60, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models/TP_A2C_r2_tF2d25_rPF0d8_n64Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/TP_A2C_r2_tF2d25_rPF0d8_n64Results', 'verbose': True}
#
'totalSteps': 1653, 'rewardStep': 0.8157935768064094, 'errorList': [], 'lossList': [0.0, -1.3671343326568604, -2.7121918201446533, 10.691131591796875, 0.0, 0.0, 0.0], 'rewardMean': 0.8157935768064094, 'totalEpisodes': 148, 'stepsPerEpisode': 16, 'rewardPerEpisode': 14.591593522755497
'totalSteps': 3292, 'rewardStep': 0.7713206392346725, 'errorList': [], 'lossList': [0.0, -1.368818998336792, 1.1043365001678467, 1.6933009624481201, 0.0, 0.0, 0.0], 'rewardMean': 0.793557108020541, 'totalEpisodes': 221, 'stepsPerEpisode': 29, 'rewardPerEpisode': 26.217350934008632
'totalSteps': 4934, 'rewardStep': 0.8214932108864987, 'errorList': [], 'lossList': [0.0, -1.3374431133270264, -15.765472412109375, 159.50608825683594, 0.0, 0.0, 0.0], 'rewardMean': 0.8028691423091936, 'totalEpisodes': 294, 'stepsPerEpisode': 24, 'rewardPerEpisode': 21.848633054220684
'totalSteps': 6576, 'rewardStep': 0.7983671064666371, 'errorList': [], 'lossList': [0.0, -1.3585494756698608, 3.7254881858825684, 5.327340602874756, 0.0, 0.0, 0.0], 'rewardMean': 0.8017436333485545, 'totalEpisodes': 362, 'stepsPerEpisode': 41, 'rewardPerEpisode': 37.66655437058332
'totalSteps': 8218, 'rewardStep': 0.8005386454993861, 'errorList': [], 'lossList': [0.0, -1.3516807556152344, 1.2524991035461426, 0.5701931118965149, 0.0, 0.0, 0.0], 'rewardMean': 0.8015026357787208, 'totalEpisodes': 412, 'stepsPerEpisode': 23, 'rewardPerEpisode': 20.526944556089283
'totalSteps': 9863, 'rewardStep': 0.8201099056743969, 'errorList': [], 'lossList': [0.0, -1.3244491815567017, 1.3831803798675537, 0.7697708010673523, 0.0, 0.0, 0.0], 'rewardMean': 0.8023659015523184, 'totalEpisodes': 468, 'stepsPerEpisode': 42, 'rewardPerEpisode': 36.43856540751309
'totalSteps': 11517, 'rewardStep': 0.8830440913342328, 'errorList': [], 'lossList': [0.0, -1.3077824115753174, -31.697057723999023, 958.5303955078125, 0.0, 0.0, 0.0], 'rewardMean': 0.8247105919722303, 'totalEpisodes': 521, 'stepsPerEpisode': 16, 'rewardPerEpisode': 14.857773254983584
'totalSteps': 13163, 'rewardStep': 0.826697312092718, 'errorList': [], 'lossList': [0.0, -1.3007429838180542, 3.7895336151123047, 7.1939592361450195, 0.0, 0.0, 0.0], 'rewardMean': 0.8257514122134741, 'totalEpisodes': 594, 'stepsPerEpisode': 21, 'rewardPerEpisode': 18.77814847077369
'totalSteps': 14822, 'rewardStep': 0.800273196514216, 'errorList': [], 'lossList': [0.0, -1.2797348499298096, 1.419798493385315, 1.4511263370513916, 0.0, 0.0, 0.0], 'rewardMean': 0.82613263022299, 'totalEpisodes': 667, 'stepsPerEpisode': 21, 'rewardPerEpisode': 18.425823713787832
'totalSteps': 16483, 'rewardStep': 0.8492830686458955, 'errorList': [], 'lossList': [0.0, -1.2582370042800903, 0.22737160325050354, 0.15527260303497314, 0.0, 0.0, 0.0], 'rewardMean': 0.8358815148522918, 'totalEpisodes': 719, 'stepsPerEpisode': 47, 'rewardPerEpisode': 43.13689293332569
'totalSteps': 18140, 'rewardStep': 0.7914923349078191, 'errorList': [], 'lossList': [0.0, -1.2428429126739502, 2.7740426063537598, 11.430059432983398, 0.0, 0.0, 0.0], 'rewardMean': 0.8301580006989763, 'totalEpisodes': 765, 'stepsPerEpisode': 30, 'rewardPerEpisode': 27.143859802934127
'totalSteps': 19806, 'rewardStep': 0.5395373522525049, 'errorList': [], 'lossList': [0.0, -1.266400694847107, -3.3607940673828125, 16.94927406311035, 0.0, 0.0, 0.0], 'rewardMean': 0.7614566528826306, 'totalEpisodes': 814, 'stepsPerEpisode': 78, 'rewardPerEpisode': 64.81892799704748
'totalSteps': 21468, 'rewardStep': 0.8538086042128205, 'errorList': [], 'lossList': [0.0, -1.2438361644744873, -0.6991265416145325, 0.9802345037460327, 0.0, 0.0, 0.0], 'rewardMean': 0.7668789113066511, 'totalEpisodes': 857, 'stepsPerEpisode': 47, 'rewardPerEpisode': 41.0466643403324
'totalSteps': 23127, 'rewardStep': 0.7743096910778317, 'errorList': [], 'lossList': [0.0, -1.240021824836731, 0.6358229517936707, 0.5724929571151733, 0.0, 0.0, 0.0], 'rewardMean': 0.7616862102193743, 'totalEpisodes': 904, 'stepsPerEpisode': 34, 'rewardPerEpisode': 29.357454029366735
'totalSteps': 24782, 'rewardStep': 0.7977933266693884, 'errorList': [], 'lossList': [0.0, -1.2440837621688843, 1.2854821681976318, 2.1276021003723145, 0.0, 0.0, 0.0], 'rewardMean': 0.751388261824073, 'totalEpisodes': 957, 'stepsPerEpisode': 43, 'rewardPerEpisode': 39.923998519177196
'totalSteps': 26423, 'rewardStep': 0.8386388791293128, 'errorList': [], 'lossList': [0.0, -1.2453259229660034, 2.4413180351257324, 5.6956071853637695, 0.0, 0.0, 0.0], 'rewardMean': 0.7608175706683716, 'totalEpisodes': 1006, 'stepsPerEpisode': 22, 'rewardPerEpisode': 20.14487204002246
'totalSteps': 28080, 'rewardStep': 0.8287708794419312, 'errorList': [], 'lossList': [0.0, -1.2739843130111694, 0.23643755912780762, 0.7001594305038452, 0.0, 0.0, 0.0], 'rewardMean': 0.8186642761062568, 'totalEpisodes': 1059, 'stepsPerEpisode': 47, 'rewardPerEpisode': 42.19562781550287
'totalSteps': 29731, 'rewardStep': 0.8369892977935114, 'errorList': [], 'lossList': [0.0, -1.2671586275100708, 1.7871882915496826, 3.348367691040039, 0.0, 0.0, 0.0], 'rewardMean': 0.8153004148223951, 'totalEpisodes': 1104, 'stepsPerEpisode': 32, 'rewardPerEpisode': 29.330553793580993
'totalSteps': 31379, 'rewardStep': 0.8379094967935415, 'errorList': [], 'lossList': [0.0, -1.264833688735962, -0.6622902750968933, 0.4609318673610687, 0.0, 0.0, 0.0], 'rewardMean': 0.828020375965537, 'totalEpisodes': 1153, 'stepsPerEpisode': 28, 'rewardPerEpisode': 25.850797794427862
'totalSteps': 33032, 'rewardStep': 0.7977389777622294, 'errorList': [], 'lossList': [0.0, -1.2788444757461548, -2.342503547668457, 5.388266086578369, 0.0, 0.0, 0.0], 'rewardMean': 0.8280095061841053, 'totalEpisodes': 1203, 'stepsPerEpisode': 30, 'rewardPerEpisode': 26.871461101283153
'totalSteps': 34707, 'rewardStep': 0.7187614339789621, 'errorList': [], 'lossList': [0.0, -1.274448275566101, 9.02933406829834, 19.297080993652344, 0.0, 0.0, 0.0], 'rewardMean': 0.804034017154035, 'totalEpisodes': 1252, 'stepsPerEpisode': 48, 'rewardPerEpisode': 41.06651617394407
