#parameter variation file for learning
#varied parameters:
#case = 2
#computationIndex = 1
#functionData = {'nArms': 3, 'evaluationSteps': 10000, 'episodeSteps': 1639, 'episodeStepsMax': 2048, 'totalLearningSteps': 1000000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'A2C', 'rewardMode': 2, 'rewardPositionFactor': 0.9, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 60, 'forceFactor': 1, 'numberOfTests': 100, 'relativeFriction': 0.0, 'storeBestModel': 'models/TP/A2C/TP_A2C_r2_v0_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/TP/A2C/TP_A2C_r2_v0_Results', 'verbose': True}
#
'totalSteps': 1659, 'rewardStep': 0.8543321469785585, 'errorList': [], 'lossList': [0.0, -1.4137108325958252, 1.9131196737289429, 3.8936901092529297, 0.0, 0.0, 0.0], 'rewardMean': 0.8543321469785585, 'totalEpisodes': 95, 'stepsPerEpisode': 22, 'rewardPerEpisode': 20.39659574725225
'totalSteps': 3299, 'rewardStep': 0.8647737614400252, 'errorList': [], 'lossList': [0.0, -1.3942456245422363, 0.8450855016708374, 0.7360637784004211, 0.0, 0.0, 0.0], 'rewardMean': 0.8595529542092919, 'totalEpisodes': 161, 'stepsPerEpisode': 17, 'rewardPerEpisode': 15.329245063527555
'totalSteps': 4938, 'rewardStep': 0.902796209055046, 'errorList': [], 'lossList': [0.0, -1.387105107307434, 1.3357185125350952, 2.257577896118164, 0.0, 0.0, 0.0], 'rewardMean': 0.8739673724912098, 'totalEpisodes': 232, 'stepsPerEpisode': 34, 'rewardPerEpisode': 32.43871627491638
'totalSteps': 6595, 'rewardStep': 0.8709289519010437, 'errorList': [], 'lossList': [0.0, -1.350677728652954, -20.810243606567383, 532.0592041015625, 0.0, 0.0, 0.0], 'rewardMean': 0.8732077673436683, 'totalEpisodes': 339, 'stepsPerEpisode': 25, 'rewardPerEpisode': 23.17887476744423
'totalSteps': 8273, 'rewardStep': 0.8971011937501143, 'errorList': [], 'lossList': [0.0, -1.3372211456298828, 3.220175266265869, 11.949953079223633, 0.0, 0.0, 0.0], 'rewardMean': 0.8779864526249576, 'totalEpisodes': 389, 'stepsPerEpisode': 50, 'rewardPerEpisode': 46.33134639724276
'totalSteps': 9942, 'rewardStep': 0.815738039849661, 'errorList': [], 'lossList': [0.0, -1.2436729669570923, -1.9900420904159546, 7.397551536560059, 0.0, 0.0, 0.0], 'rewardMean': 0.870267631199178, 'totalEpisodes': 432, 'stepsPerEpisode': 38, 'rewardPerEpisode': 35.197227840847
'totalSteps': 11593, 'rewardStep': 0.8141688694913586, 'errorList': [], 'lossList': [0.0, -1.2220221757888794, 0.6514641046524048, 0.6636706590652466, 0.0, 0.0, 0.0], 'rewardMean': 0.8601466528094447, 'totalEpisodes': 474, 'stepsPerEpisode': 29, 'rewardPerEpisode': 25.843012603050123
'totalSteps': 13264, 'rewardStep': 0.9188456774735762, 'errorList': [], 'lossList': [0.0, -1.2294492721557617, -0.4602140784263611, 0.03577264025807381, 0.0, 0.0, 0.0], 'rewardMean': 0.8633565464931507, 'totalEpisodes': 547, 'stepsPerEpisode': 42, 'rewardPerEpisode': 40.378411783201024
'totalSteps': 14942, 'rewardStep': 0.8307332848542067, 'errorList': [], 'lossList': [0.0, -1.2252869606018066, 6.186493873596191, 27.383159637451172, 0.0, 0.0, 0.0], 'rewardMean': 0.8553174130837833, 'totalEpisodes': 590, 'stepsPerEpisode': 45, 'rewardPerEpisode': 42.41168436202069
'totalSteps': 16591, 'rewardStep': 0.8600401999862493, 'errorList': [], 'lossList': [0.0, -1.1953680515289307, 7.72042989730835, 67.4630355834961, 0.0, 0.0, 0.0], 'rewardMean': 0.8479052143310103, 'totalEpisodes': 639, 'stepsPerEpisode': 19, 'rewardPerEpisode': 17.242079701599874
'totalSteps': 18260, 'rewardStep': 0.8793156237979443, 'errorList': [], 'lossList': [0.0, -1.1639389991760254, 0.2601173520088196, 0.6347998380661011, 0.0, 0.0, 0.0], 'rewardMean': 0.8606207311206668, 'totalEpisodes': 681, 'stepsPerEpisode': 45, 'rewardPerEpisode': 42.93187090914158
'totalSteps': 19921, 'rewardStep': 0.7447960785318483, 'errorList': [], 'lossList': [0.0, -1.1334409713745117, 1.344458818435669, 5.029204368591309, 0.0, 0.0, 0.0], 'rewardMean': 0.8467461729287649, 'totalEpisodes': 721, 'stepsPerEpisode': 35, 'rewardPerEpisode': 30.951949950487883
