#parameter variation file for learning
#varied parameters:
#case = 2
#computationIndex = 1
#functionData = {'nArms': 3, 'evaluationSteps': 10000, 'episodeSteps': 1639, 'episodeStepsMax': 2048, 'totalLearningSteps': 1000000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'A2C', 'rewardMode': 2, 'rewardPositionFactor': 0.75, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 60, 'forceFactor': 1, 'numberOfTests': 100, 'relativeFriction': 0.0, 'storeBestModel': 'models/TP/A2C/TP_A2C_r2_v2_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/TP/A2C/TP_A2C_r2_v2_Results', 'verbose': True}
#
'totalSteps': 1645, 'rewardStep': 0.7752199781962007, 'errorList': [], 'lossList': [0.0, -1.4308525323867798, -0.5686544179916382, 0.5165479183197021, 0.0, 0.0, 0.0], 'rewardMean': 0.7752199781962007, 'totalEpisodes': 90, 'stepsPerEpisode': 15, 'rewardPerEpisode': 13.078864253701184
'totalSteps': 3295, 'rewardStep': 0.707344416818639, 'errorList': [], 'lossList': [0.0, -1.430992841720581, -4.752554893493652, 13.925363540649414, 0.0, 0.0, 0.0], 'rewardMean': 0.7412821975074199, 'totalEpisodes': 167, 'stepsPerEpisode': 37, 'rewardPerEpisode': 31.2520646167293
'totalSteps': 4949, 'rewardStep': 0.5848848149408468, 'errorList': [], 'lossList': [0.0, -1.3616867065429688, 1.4833317995071411, 1.5285308361053467, 0.0, 0.0, 0.0], 'rewardMean': 0.6891497366518955, 'totalEpisodes': 228, 'stepsPerEpisode': 44, 'rewardPerEpisode': 36.035709057639394
'totalSteps': 6609, 'rewardStep': 0.8494753940317323, 'errorList': [], 'lossList': [0.0, -1.3330625295639038, 1.6980539560317993, 1.5595531463623047, 0.0, 0.0, 0.0], 'rewardMean': 0.7292311509968548, 'totalEpisodes': 271, 'stepsPerEpisode': 44, 'rewardPerEpisode': 39.91553521997298
'totalSteps': 8261, 'rewardStep': 0.6328560811851901, 'errorList': [], 'lossList': [0.0, -1.292048692703247, -3.5020134449005127, 6.690404415130615, 0.0, 0.0, 0.0], 'rewardMean': 0.7099561370345219, 'totalEpisodes': 336, 'stepsPerEpisode': 46, 'rewardPerEpisode': 38.17836705539013
'totalSteps': 9929, 'rewardStep': 0.7949088325515079, 'errorList': [], 'lossList': [0.0, -1.2809441089630127, 0.6222265958786011, 0.4981912076473236, 0.0, 0.0, 0.0], 'rewardMean': 0.7138939079055833, 'totalEpisodes': 374, 'stepsPerEpisode': 47, 'rewardPerEpisode': 41.5232772812978
'totalSteps': 11596, 'rewardStep': 0.738194501276487, 'errorList': [], 'lossList': [0.0, -1.2803678512573242, 0.3398679792881012, 0.04192088544368744, 0.0, 0.0, 0.0], 'rewardMean': 0.7200639247971529, 'totalEpisodes': 413, 'stepsPerEpisode': 31, 'rewardPerEpisode': 26.37887905383596
'totalSteps': 13263, 'rewardStep': 0.691011157319319, 'errorList': [], 'lossList': [0.0, -1.3074606657028198, 5.24466609954834, 12.259817123413086, 0.0, 0.0, 0.0], 'rewardMean': 0.7412891932728473, 'totalEpisodes': 453, 'stepsPerEpisode': 48, 'rewardPerEpisode': 42.51539082857029
'totalSteps': 14907, 'rewardStep': 0.8223136065208418, 'errorList': [], 'lossList': [0.0, -1.3050178289413452, -9.221414566040039, 103.9799575805664, 0.0, 0.0, 0.0], 'rewardMean': 0.7358568357706692, 'totalEpisodes': 496, 'stepsPerEpisode': 13, 'rewardPerEpisode': 11.69612694906207
'totalSteps': 16564, 'rewardStep': 0.741814891510375, 'errorList': [], 'lossList': [0.0, -1.310939908027649, 0.20780058205127716, 0.1924210488796234, 0.0, 0.0, 0.0], 'rewardMean': 0.7576485978357062, 'totalEpisodes': 572, 'stepsPerEpisode': 29, 'rewardPerEpisode': 25.316187267414644
'totalSteps': 18226, 'rewardStep': 0.7820336771795076, 'errorList': [], 'lossList': [0.0, -1.2463693618774414, 1.5970487594604492, 4.417308807373047, 0.0, 0.0, 0.0], 'rewardMean': 0.755073566761306, 'totalEpisodes': 642, 'stepsPerEpisode': 32, 'rewardPerEpisode': 27.845535319410416
