#parameter variation file for learning
#varied parameters:
#case = 2
#computationIndex = 1
#functionData = {'nArms': 3, 'evaluationSteps': 5000, 'episodeSteps': 1639, 'episodeStepsMax': 2048, 'totalLearningSteps': 300000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.9, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 60, 'forceFactor': 1, 'numberOfTests': 100, 'relativeFriction': 0.0, 'storeBestModel': 'models/TP/PPO/TP_PPO_r1_curriculum_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/TP/PPO/TP_PPO_r1_curriculum_Results', 'verbose': True, 'curicculumLearning': {'decayType': 'lin', 'decaySteps': [0, 30000, 60000, 90000], 'controlValues': [[0, 3, 2, 1], [0, 2, 1, 0.5], [0, 0, 1, 0.5], [0, 0, 0, 0]], 'dFactor': 0.05, 'nStepsLastChange': 0, 'iDecay': 0}}
#
'totalSteps': 2048, 'rewardStep': 0.8887992322762575, 'errorList': [], 'lossList': [0.0, -1.4098543316125869, 0.0, 48.645478361845015, 0.0, 0.0, 0.0], 'rewardMean': 0.8887992322762575, 'totalEpisodes': 68, 'stepsPerEpisode': 30, 'rewardPerEpisode': 28.62071975660499
'totalSteps': 4096, 'rewardStep': 0.9522522510724112, 'errorList': [], 'lossList': [0.0, -1.3963395848870277, 0.0, 23.454415380954742, 0.0, 0.0, 0.0], 'rewardMean': 0.9205257416743343, 'totalEpisodes': 127, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.9522522510724112
'totalSteps': 6144, 'rewardStep': 0.9307097180716368, 'errorList': [], 'lossList': [0.0, -1.3805590853095056, 0.0, 29.353778737783433, 0.0, 0.0, 0.0], 'rewardMean': 0.9239204004734352, 'totalEpisodes': 165, 'stepsPerEpisode': 8, 'rewardPerEpisode': 7.470378580544008
'totalSteps': 8192, 'rewardStep': 0.8422095307399187, 'errorList': [], 'lossList': [0.0, -1.3554827231913804, 0.0, 28.55306631922722, 0.0, 0.0, 0.0], 'rewardMean': 0.903492683040056, 'totalEpisodes': 191, 'stepsPerEpisode': 58, 'rewardPerEpisode': 54.39312758520088
'totalSteps': 10240, 'rewardStep': 0.8734735216693572, 'errorList': [], 'lossList': [0.0, -1.3248368963599204, 0.0, 23.61883400082588, 0.0, 0.0, 0.0], 'rewardMean': 0.8974888507659162, 'totalEpisodes': 216, 'stepsPerEpisode': 72, 'rewardPerEpisode': 65.76391465050446
'totalSteps': 12288, 'rewardStep': 0.9355937837840804, 'errorList': [], 'lossList': [0.0, -1.297700872644782, 0.0, 26.732062554359437, 0.0, 0.0, 0.0], 'rewardMean': 0.9038396729356103, 'totalEpisodes': 239, 'stepsPerEpisode': 16, 'rewardPerEpisode': 14.980595919469655
'totalSteps': 14336, 'rewardStep': 0.8889247207016444, 'errorList': [], 'lossList': [0.0, -1.2754736583679915, 0.0, 12.828280226886273, 0.0, 0.0, 0.0], 'rewardMean': 0.9017089654736151, 'totalEpisodes': 257, 'stepsPerEpisode': 50, 'rewardPerEpisode': 47.55430559274023
'totalSteps': 16384, 'rewardStep': 0.44334221347807534, 'errorList': [], 'lossList': [0.0, -1.246033351495862, 0.0, 11.84969732016325, 0.0, 0.0, 0.0], 'rewardMean': 0.8444131214741727, 'totalEpisodes': 275, 'stepsPerEpisode': 123, 'rewardPerEpisode': 100.18803829833199
'totalSteps': 18432, 'rewardStep': 0.9552093893550311, 'errorList': [], 'lossList': [0.0, -1.2052983142435552, 0.0, 9.004576251655816, 0.0, 0.0, 0.0], 'rewardMean': 0.8567238179053791, 'totalEpisodes': 291, 'stepsPerEpisode': 57, 'rewardPerEpisode': 54.59955269347324
'totalSteps': 20480, 'rewardStep': 0.8812688176855621, 'errorList': [], 'lossList': [0.0, -1.1803773995488882, 0.0, 10.246547258645297, 0.0, 0.0, 0.0], 'rewardMean': 0.8591783178833975, 'totalEpisodes': 304, 'stepsPerEpisode': 94, 'rewardPerEpisode': 86.33349144134517
'totalSteps': 22528, 'rewardStep': 0.9801269366636728, 'errorList': [], 'lossList': [0.0, -1.1737665731459856, 0.0, 18.49791856855154, 0.0, 0.0, 0.0], 'rewardMean': 0.868311088322139, 'totalEpisodes': 319, 'stepsPerEpisode': 82, 'rewardPerEpisode': 80.36121617454997
'totalSteps': 24576, 'rewardStep': 0.9928010913826386, 'errorList': [], 'lossList': [0.0, -1.162597168236971, 0.0, 36.523918092250824, 0.0, 0.0, 0.0], 'rewardMean': 0.8723659723531618, 'totalEpisodes': 334, 'stepsPerEpisode': 32, 'rewardPerEpisode': 31.592189537583863
'totalSteps': 26624, 'rewardStep': 0.9401133771046051, 'errorList': [], 'lossList': [0.0, -1.1402856271713973, 0.0, 14.523847211897372, 0.0, 0.0, 0.0], 'rewardMean': 0.8733063382564585, 'totalEpisodes': 346, 'stepsPerEpisode': 14, 'rewardPerEpisode': 13.37907599759432
'totalSteps': 28672, 'rewardStep': 0.9223458346520103, 'errorList': [], 'lossList': [0.0, -1.1209045939147473, 0.0, 34.30473427176476, 0.0, 0.0, 0.0], 'rewardMean': 0.8813199686476677, 'totalEpisodes': 357, 'stepsPerEpisode': 86, 'rewardPerEpisode': 78.55286431259816
'totalSteps': 30720, 'rewardStep': 0.6033092151758126, 'errorList': [], 'lossList': [0.0, -1.1084402050822972, 0.0, 45.08424609601498, 0.0, 0.0, 0.0], 'rewardMean': 0.8543035379983133, 'totalEpisodes': 367, 'stepsPerEpisode': 330, 'rewardPerEpisode': 283.96404033420254
'totalSteps': 32768, 'rewardStep': 0.8909298018934575, 'errorList': [], 'lossList': [0.0, -1.1017408829182387, 0.0, 28.49190134704113, 0.0, 0.0, 0.0], 'rewardMean': 0.849837139809251, 'totalEpisodes': 380, 'stepsPerEpisode': 157, 'rewardPerEpisode': 150.86347316776215
'totalSteps': 34816, 'rewardStep': 0.9351086156223345, 'errorList': [], 'lossList': [0.0, -1.0842627048492433, 0.0, 41.32866939306259, 0.0, 0.0, 0.0], 'rewardMean': 0.8544555293013198, 'totalEpisodes': 390, 'stepsPerEpisode': 34, 'rewardPerEpisode': 32.71986311178246
'totalSteps': 36864, 'rewardStep': 0.8443319453608862, 'errorList': [], 'lossList': [0.0, -1.0731896664947271, 0.0, 59.70540653169155, 0.0, 0.0, 0.0], 'rewardMean': 0.8945545024896011, 'totalEpisodes': 397, 'stepsPerEpisode': 103, 'rewardPerEpisode': 91.38087628090892
'totalSteps': 38912, 'rewardStep': 0.94132856556505, 'errorList': [], 'lossList': [0.0, -1.0606793105602264, 0.0, 35.450808399915694, 0.0, 0.0, 0.0], 'rewardMean': 0.8931664201106029, 'totalEpisodes': 407, 'stepsPerEpisode': 37, 'rewardPerEpisode': 34.837247245467424
'totalSteps': 40960, 'rewardStep': 0.9713637629264219, 'errorList': [], 'lossList': [0.0, -1.0451715160161257, 0.0, 14.399482641369104, 0.0, 0.0, 0.0], 'rewardMean': 0.9021759146346889, 'totalEpisodes': 411, 'stepsPerEpisode': 37, 'rewardPerEpisode': 36.09995684582445
'totalSteps': 43008, 'rewardStep': 0.7744270722121216, 'errorList': [], 'lossList': [0.0, -1.037732408940792, 0.0, 24.601320752501486, 0.0, 0.0, 0.0], 'rewardMean': 0.8816059281895339, 'totalEpisodes': 418, 'stepsPerEpisode': 119, 'rewardPerEpisode': 105.82710856746311
'totalSteps': 45056, 'rewardStep': 0.912003618721992, 'errorList': [], 'lossList': [0.0, -1.0296865455806254, 0.0, 55.39655901789665, 0.0, 0.0, 0.0], 'rewardMean': 0.8735261809234691, 'totalEpisodes': 430, 'stepsPerEpisode': 49, 'rewardPerEpisode': 45.41380222651807
'totalSteps': 47104, 'rewardStep': 0.7652830860849877, 'errorList': [], 'lossList': [0.0, -1.0189261719584466, 0.0, 43.383460241556165, 0.0, 0.0, 0.0], 'rewardMean': 0.8560431518215074, 'totalEpisodes': 448, 'stepsPerEpisode': 128, 'rewardPerEpisode': 116.47754412956209
'totalSteps': 49152, 'rewardStep': 0.8326628100383504, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.8700102088463952, 'totalEpisodes': 472, 'stepsPerEpisode': 130, 'rewardPerEpisode': 123.10588795742825
'totalSteps': 51200, 'rewardStep': 0.9581142036670496, 'errorList': [], 'lossList': [0.0, -1.0288454350084066, 0.0, 31.664396971464157, 0.0, 0.0, 0.0], 'rewardMean': 0.8767286490237544, 'totalEpisodes': 499, 'stepsPerEpisode': 53, 'rewardPerEpisode': 51.59441280496081
'totalSteps': 53248, 'rewardStep': 0.9311228367877207, 'errorList': [], 'lossList': [0.0, -1.0380286511033774, 0.0, 14.444449412822724, 0.0, 0.0, 0.0], 'rewardMean': 0.876330071140293, 'totalEpisodes': 528, 'stepsPerEpisode': 16, 'rewardPerEpisode': 15.057132297714007
'totalSteps': 55296, 'rewardStep': 0.8205161887196306, 'errorList': [], 'lossList': [0.0, -1.026134031638503, 0.0, 8.600808424502612, 0.0, 0.0, 0.0], 'rewardMean': 0.8739484954761675, 'totalEpisodes': 562, 'stepsPerEpisode': 21, 'rewardPerEpisode': 18.153415321157233
'totalSteps': 57344, 'rewardStep': 0.9675106626076321, 'errorList': [], 'lossList': [0.0, -1.0115851063281298, 0.0, 7.404673476517201, 0.0, 0.0, 0.0], 'rewardMean': 0.8765667051804258, 'totalEpisodes': 596, 'stepsPerEpisode': 25, 'rewardPerEpisode': 24.239444683427642
'totalSteps': 59392, 'rewardStep': 0.9598062108524356, 'errorList': [], 'lossList': [0.0, -1.0005658753216267, 0.0, 8.727557139098645, 0.0, 0.0, 0.0], 'rewardMean': 0.8754109499730272, 'totalEpisodes': 630, 'stepsPerEpisode': 44, 'rewardPerEpisode': 42.91233200453006
'totalSteps': 61440, 'rewardStep': 0.9846240622607941, 'errorList': [], 'lossList': [0.0, -0.9855366392061115, 0.0, 5.881140972301364, 0.0, 0.0, 0.0], 'rewardMean': 0.8964306489778944, 'totalEpisodes': 666, 'stepsPerEpisode': 22, 'rewardPerEpisode': 21.73851361292748
'totalSteps': 63488, 'rewardStep': 0.9442825693306627, 'errorList': [], 'lossList': [0.0, -0.9799820443615317, 0.0, 6.983320698142052, 0.0, 0.0, 0.0], 'rewardMean': 0.8996585440387614, 'totalEpisodes': 700, 'stepsPerEpisode': 4, 'rewardPerEpisode': 3.7723147852567678
'totalSteps': 65536, 'rewardStep': 0.9679492147103412, 'errorList': [], 'lossList': [0.0, -0.9746561637148261, 0.0, 4.987409432977438, 0.0, 0.0, 0.0], 'rewardMean': 0.9199251569012967, 'totalEpisodes': 737, 'stepsPerEpisode': 28, 'rewardPerEpisode': 27.436174229049193
'totalSteps': 67584, 'rewardStep': 0.9286142668059753, 'errorList': [], 'lossList': [0.0, -0.9526123806834221, 0.0, 4.14132863022387, 0.0, 0.0, 0.0], 'rewardMean': 0.9295203025780593, 'totalEpisodes': 775, 'stepsPerEpisode': 40, 'rewardPerEpisode': 38.6658116816296
'totalSteps': 69632, 'rewardStep': 0.8859511606849857, 'errorList': [], 'lossList': [0.0, -0.925396754220128, 0.0, 3.457175340130925, 0.0, 0.0, 0.0], 'rewardMean': 0.9348491376427228, 'totalEpisodes': 817, 'stepsPerEpisode': 30, 'rewardPerEpisode': 28.57396422151625
'totalSteps': 71680, 'rewardStep': 0.8200783724831524, 'errorList': [], 'lossList': [0.0, -0.9049445770680904, 0.0, 3.0162027977406978, 0.0, 0.0, 0.0], 'rewardMean': 0.9210455545243331, 'totalEpisodes': 855, 'stepsPerEpisode': 44, 'rewardPerEpisode': 39.71568029337127
'totalSteps': 73728, 'rewardStep': 0.8443810932697478, 'errorList': [], 'lossList': [0.0, -0.9020188760012389, 0.0, 3.967869184538722, 0.0, 0.0, 0.0], 'rewardMean': 0.9123713801725357, 'totalEpisodes': 891, 'stepsPerEpisode': 21, 'rewardPerEpisode': 18.405508432501982
'totalSteps': 75776, 'rewardStep': 0.9362168632991457, 'errorList': [], 'lossList': [0.0, -0.8798352750018239, 0.0, 4.778116310760379, 0.0, 0.0, 0.0], 'rewardMean': 0.9239414476304872, 'totalEpisodes': 930, 'stepsPerEpisode': 25, 'rewardPerEpisode': 23.997807098931336
'totalSteps': 77824, 'rewardStep': 0.9227518466483804, 'errorList': [], 'lossList': [0.0, -0.8583272835239768, 0.0, 8.251921739429235, 0.0, 0.0, 0.0], 'rewardMean': 0.9194655660345619, 'totalEpisodes': 974, 'stepsPerEpisode': 27, 'rewardPerEpisode': 25.270752511078275
'totalSteps': 79872, 'rewardStep': 0.8713261766444728, 'errorList': [], 'lossList': [0.0, -0.8487450623884797, 0.0, 14.72735200226307, 0.0, 0.0, 0.0], 'rewardMean': 0.9106175626137658, 'totalEpisodes': 1027, 'stepsPerEpisode': 21, 'rewardPerEpisode': 18.969187284224212
'totalSteps': 81920, 'rewardStep': 0.9312273460253373, 'errorList': [], 'lossList': [0.0, -0.844899702258408, 0.0, 11.32084830775857, 0.0, 0.0, 0.0], 'rewardMean': 0.9052778909902202, 'totalEpisodes': 1091, 'stepsPerEpisode': 6, 'rewardPerEpisode': 5.587996775191873
'totalSteps': 83968, 'rewardStep': 0.9641936641486714, 'errorList': [], 'lossList': [0.0, -0.8471914054825902, 0.0, 5.975802031159401, 0.0, 0.0, 0.0], 'rewardMean': 0.9072690004720212, 'totalEpisodes': 1165, 'stepsPerEpisode': 4, 'rewardPerEpisode': 3.8617161169625027
'totalSteps': 86016, 'rewardStep': 0.9697962116761867, 'errorList': [], 'lossList': [0.0, -0.8430646220222116, 0.0, 4.1302055668085815, 0.0, 0.0, 0.0], 'rewardMean': 0.9074537001686055, 'totalEpisodes': 1244, 'stepsPerEpisode': 19, 'rewardPerEpisode': 18.52995769456453
'totalSteps': 88064, 'rewardStep': 0.9564901316872898, 'errorList': [], 'lossList': [0.0, -0.8170155875384808, 0.0, 4.927414365299046, 0.0, 0.0, 0.0], 'rewardMean': 0.910241286656737, 'totalEpisodes': 1334, 'stepsPerEpisode': 4, 'rewardPerEpisode': 3.8293826188879665
'totalSteps': 90112, 'rewardStep': 0.8860000803084713, 'errorList': [], 'lossList': [0.0, -0.7850314879789948, 0.0, 3.442181032896042, 0.0, 0.0, 0.0], 'rewardMean': 0.9102461786190856, 'totalEpisodes': 1425, 'stepsPerEpisode': 14, 'rewardPerEpisode': 12.62244152919293
