#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 3, 'evaluationSteps': 5000, 'episodeSteps': 2500, 'episodeStepsMax': 3125, 'totalLearningSteps': 5000000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.5, 'stepUpdateTime': 0.02, 'thresholdFactor': 0.5, 'cartForce': 120, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models/TP_PPO_r2_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/TP_PPO_r2_Results', 'verbose': True}
#
'totalSteps': 3125, 'rewardStep': 0.5960771677913054, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.5960771677913054, 'totalEpisodes': 1496, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.5960771677913054
'totalSteps': 6250, 'rewardStep': 0.4060236930572409, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.5010504304242731, 'totalEpisodes': 3010, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.4060236930572409
'totalSteps': 9375, 'rewardStep': 0.5525222601655612, 'errorList': [], 'lossList': [0.0, -1.3106058390773072, 0.0, 0.7451404027184662, 0.0, 0.0, 0.0], 'rewardMean': 0.5113447963725307, 'totalEpisodes': 4486, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.5525222601655612
'totalSteps': 12500, 'rewardStep': 0.7600377348297263, 'errorList': [], 'lossList': [0.0, -1.1180023003597648, 0.0, 0.9567643449622758, 0.0, 0.0, 0.0], 'rewardMean': 0.55279361944873, 'totalEpisodes': 5772, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.494109219446274
'totalSteps': 15625, 'rewardStep': 0.5139624945290358, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.5430858382188064, 'totalEpisodes': 6725, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.2965063423865242
'totalSteps': 18750, 'rewardStep': 0.8727326751481461, 'errorList': [], 'lossList': [0.0, -0.9621835848506616, 0.0, 2.1085018449900104, 0.0, 0.0, 0.0], 'rewardMean': 0.5797132645442886, 'totalEpisodes': 7717, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.606723022348573
'totalSteps': 21875, 'rewardStep': 0.7582612334454835, 'errorList': [], 'lossList': [0.0, -0.8353516504472616, 0.0, 4.270384642056056, 0.0, 0.0, 0.0], 'rewardMean': 0.5975680614344081, 'totalEpisodes': 8468, 'stepsPerEpisode': 7, 'rewardPerEpisode': 5.238848697482437
'totalSteps': 25000, 'rewardStep': 0.8228271566873924, 'errorList': [], 'lossList': [0.0, -0.7311559217316764, 0.0, 6.702527539584102, 0.0, 0.0, 0.0], 'rewardMean': 0.6202430603240168, 'totalEpisodes': 9071, 'stepsPerEpisode': 11, 'rewardPerEpisode': 8.686073891097111
'totalSteps': 28125, 'rewardStep': 0.755268895681652, 'errorList': [], 'lossList': [0.0, -0.6385604012985618, 0.0, 9.179147320377583, 0.0, 0.0, 0.0], 'rewardMean': 0.6361622331130515, 'totalEpisodes': 9553, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.5701487750537202
'totalSteps': 31250, 'rewardStep': 0.771657148038186, 'errorList': [], 'lossList': [0.0, -0.5644057989120483, 0.0, 13.848554531408816, 0.0, 0.0, 0.0], 'rewardMean': 0.672725578611146, 'totalEpisodes': 9968, 'stepsPerEpisode': 9, 'rewardPerEpisode': 6.168474305698574
'totalSteps': 34375, 'rewardStep': 0.6894164954076151, 'errorList': [], 'lossList': [0.0, -0.5064232824408278, 0.0, 17.376259889408033, 0.0, 0.0, 0.0], 'rewardMean': 0.7010648588461834, 'totalEpisodes': 10322, 'stepsPerEpisode': 20, 'rewardPerEpisode': 15.871651113513582
