#parameter variation file for learning
#varied parameters:
#case = 3
#computationIndex = 2
#functionData = {'nArms': 3, 'evaluationSteps': 5000, 'episodeSteps': 2500, 'episodeStepsMax': 3125, 'totalLearningSteps': 5000000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.5, 'stepUpdateTime': 0.02, 'thresholdFactor': 0.5, 'cartForce': 120, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models/TP_PPO_r2_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/TP_PPO_r2_Results', 'verbose': True}
#
'totalSteps': 3125, 'rewardStep': 0.6481535801615209, 'errorList': [], 'lossList': [0.0, -1.310551630477516, 0.0, 0.7103565139125805, 0.0, 0.0, 0.0], 'rewardMean': 0.6481535801615209, 'totalEpisodes': 1494, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.6481535801615209
'totalSteps': 6250, 'rewardStep': 0.3717134811974233, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.46386018085212255, 'totalEpisodes': 2753, 'stepsPerEpisode': 5, 'rewardPerEpisode': 3.0942083791472794
'totalSteps': 9375, 'rewardStep': 0.34711649332957123, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.417162705843102, 'totalEpisodes': 4002, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.0448547704902627
'totalSteps': 12500, 'rewardStep': 0.7252313790612669, 'errorList': [], 'lossList': [0.0, -1.1225200555762467, 0.0, 1.0518113233605209, 0.0, 0.0, 0.0], 'rewardMean': 0.46850748471279613, 'totalEpisodes': 5219, 'stepsPerEpisode': 5, 'rewardPerEpisode': 3.5676763865829413
'totalSteps': 15625, 'rewardStep': 0.8313673304733176, 'errorList': [], 'lossList': [0.0, -0.9624763116544607, 0.0, 2.210559434550149, 0.0, 0.0, 0.0], 'rewardMean': 0.5203446055357278, 'totalEpisodes': 6166, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.6537800461139462
'totalSteps': 18750, 'rewardStep': 0.8643996094850601, 'errorList': [], 'lossList': [0.0, -0.8395486366992094, 0.0, 5.073796804583803, 0.0, 0.0, 0.0], 'rewardMean': 0.5633514810293944, 'totalEpisodes': 6892, 'stepsPerEpisode': 5, 'rewardPerEpisode': 3.9692417978093477
'totalSteps': 21875, 'rewardStep': 0.4877681088513739, 'errorList': [], 'lossList': [0.0, -0.753825134768778, 0.0, 7.890492236857511, 0.0, 0.0, 0.0], 'rewardMean': 0.5549533285651699, 'totalEpisodes': 7450, 'stepsPerEpisode': 4, 'rewardPerEpisode': 1.9981051525266984
'totalSteps': 25000, 'rewardStep': 0.8838175559830797, 'errorList': [], 'lossList': [0.0, -0.6842767827364863, 0.0, 11.612142655314232, 0.0, 0.0, 0.0], 'rewardMean': 0.5878397513069609, 'totalEpisodes': 7922, 'stepsPerEpisode': 3, 'rewardPerEpisode': 2.619888573510828
'totalSteps': 28125, 'rewardStep': 0.7460107181421713, 'errorList': [], 'lossList': [0.0, -0.6174661209388655, 0.0, 13.021668468202863, 0.0, 0.0, 0.0], 'rewardMean': 0.5976254651050259, 'totalEpisodes': 8315, 'stepsPerEpisode': 13, 'rewardPerEpisode': 10.447650512377065
'totalSteps': 31250, 'rewardStep': 0.6574201387844771, 'errorList': [], 'lossList': [0.0, -0.5523154980065871, 0.0, 17.253951676037847, 0.0, 0.0, 0.0], 'rewardMean': 0.6261961308637314, 'totalEpisodes': 8650, 'stepsPerEpisode': 6, 'rewardPerEpisode': 4.097867613965961
'totalSteps': 34375, 'rewardStep': 0.9080172646779705, 'errorList': [], 'lossList': [0.0, -0.49027601249363956, 0.0, 15.183009021136225, 0.0, 0.0, 0.0], 'rewardMean': 0.679826509211786, 'totalEpisodes': 8968, 'stepsPerEpisode': 7, 'rewardPerEpisode': 5.933291060861006
'totalSteps': 37500, 'rewardStep': 0.5031434383629682, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.7110318982184654, 'totalEpisodes': 9282, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.5031434383629682
'totalSteps': 40625, 'rewardStep': 0.5299484655591725, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.6613617203768414, 'totalEpisodes': 9560, 'stepsPerEpisode': 18, 'rewardPerEpisode': 14.771549411399397
'totalSteps': 43750, 'rewardStep': 0.6576890139684922, 'errorList': [], 'lossList': [0.0, -0.4431152388149378, 0.0, 16.170985478770977, 0.0, 0.0, 0.0], 'rewardMean': 0.6406906608251847, 'totalEpisodes': 9834, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.6576890139684922
'totalSteps': 46875, 'rewardStep': 0.6986516167466678, 'errorList': [], 'lossList': [0.0, -0.4075561656027424, 0.0, 17.48458762266198, 0.0, 0.0, 0.0], 'rewardMean': 0.661779011614714, 'totalEpisodes': 10101, 'stepsPerEpisode': 4, 'rewardPerEpisode': 2.8676332040485
'totalSteps': 50000, 'rewardStep': 0.7850742113030204, 'errorList': [], 'lossList': [0.0, -0.3729382303904514, 0.0, 16.595180272082892, 0.0, 0.0, 0.0], 'rewardMean': 0.6519046771467081, 'totalEpisodes': 10359, 'stepsPerEpisode': 31, 'rewardPerEpisode': 25.541465779170245
'totalSteps': 53125, 'rewardStep': 0.6581948540146327, 'errorList': [], 'lossList': [0.0, -0.32605240235523303, 0.0, 18.728489278287302, 0.0, 0.0, 0.0], 'rewardMean': 0.6431230907339541, 'totalEpisodes': 10625, 'stepsPerEpisode': 4, 'rewardPerEpisode': 2.602456598481428
'totalSteps': 56250, 'rewardStep': 0.7672072990158716, 'errorList': [], 'lossList': [0.0, -0.27065281801077784, 0.0, 14.139195483071463, 0.0, 0.0, 0.0], 'rewardMean': 0.6541018067570937, 'totalEpisodes': 10858, 'stepsPerEpisode': 31, 'rewardPerEpisode': 26.760494229484358
'totalSteps': 59375, 'rewardStep': 0.7550617782451666, 'errorList': [], 'lossList': [0.0, -0.22667687629558603, 0.0, 18.894481637526532, 0.0, 0.0, 0.0], 'rewardMean': 0.6388062581138133, 'totalEpisodes': 11083, 'stepsPerEpisode': 8, 'rewardPerEpisode': 6.497274485427487
'totalSteps': 62500, 'rewardStep': 0.7689619716014808, 'errorList': [], 'lossList': [0.0, -0.18221099081696296, 0.0, 18.543764828662482, 0.0, 0.0, 0.0], 'rewardMean': 0.6653881114376646, 'totalEpisodes': 11269, 'stepsPerEpisode': 16, 'rewardPerEpisode': 13.437723110387287
'totalSteps': 65625, 'rewardStep': 0.6516864206744527, 'errorList': [], 'lossList': [0.0, -0.1423131023134504, 0.0, 21.033378077526482, 0.0, 0.0, 0.0], 'rewardMean': 0.6802424096688129, 'totalEpisodes': 11449, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.2922471605036474
'totalSteps': 68750, 'rewardStep': 0.7043803284512145, 'errorList': [], 'lossList': [0.0, -0.1045178150492055, 0.0, 27.49564734867641, 0.0, 0.0, 0.0], 'rewardMean': 0.6976855959580172, 'totalEpisodes': 11630, 'stepsPerEpisode': 14, 'rewardPerEpisode': 10.129145247924637
'totalSteps': 71875, 'rewardStep': 0.8599906955326355, 'errorList': [], 'lossList': [0.0, -0.05844216881205841, 0.0, 21.881567785691242, 0.0, 0.0, 0.0], 'rewardMean': 0.7306898189553634, 'totalEpisodes': 11801, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.7613824914843508
'totalSteps': 75000, 'rewardStep': 0.542297660109168, 'errorList': [], 'lossList': [0.0, -0.01598208339846864, 0.0, 23.434411574383173, 0.0, 0.0, 0.0], 'rewardMean': 0.719150683569431, 'totalEpisodes': 11962, 'stepsPerEpisode': 9, 'rewardPerEpisode': 5.003109164290101
'totalSteps': 78125, 'rewardStep': 0.7123185626500202, 'errorList': [], 'lossList': [0.0, 0.026408833151265066, 0.0, 25.438592659697242, 0.0, 0.0, 0.0], 'rewardMean': 0.7205173781597662, 'totalEpisodes': 12125, 'stepsPerEpisode': 48, 'rewardPerEpisode': 40.56249985688512
'totalSteps': 81250, 'rewardStep': 0.8261263281979007, 'errorList': [], 'lossList': [0.0, 0.055033635591365856, 0.0, 19.129455363993742, 0.0, 0.0, 0.0], 'rewardMean': 0.7246225898492543, 'totalEpisodes': 12279, 'stepsPerEpisode': 7, 'rewardPerEpisode': 5.778942532700504
'totalSteps': 84375, 'rewardStep': 0.6882401726033387, 'errorList': [], 'lossList': [0.0, 0.0930021558185013, 0.0, 27.390813013972068, 0.0, 0.0, 0.0], 'rewardMean': 0.7276271217081248, 'totalEpisodes': 12424, 'stepsPerEpisode': 46, 'rewardPerEpisode': 36.74361093714964
'totalSteps': 87500, 'rewardStep': 0.8295904675308339, 'errorList': [], 'lossList': [0.0, 0.13274256570302712, 0.0, 25.731248616199103, 0.0, 0.0, 0.0], 'rewardMean': 0.7338654385596212, 'totalEpisodes': 12577, 'stepsPerEpisode': 28, 'rewardPerEpisode': 22.773936387095947
'totalSteps': 90625, 'rewardStep': 0.9130814137377462, 'errorList': [], 'lossList': [0.0, 0.16911637311687275, 0.0, 27.79493432920806, 0.0, 0.0, 0.0], 'rewardMean': 0.7496674021088792, 'totalEpisodes': 12723, 'stepsPerEpisode': 30, 'rewardPerEpisode': 25.864359135988817
'totalSteps': 93750, 'rewardStep': 0.8256187251262549, 'errorList': [], 'lossList': [0.0, 0.19870885592334125, 0.0, 25.030747952753185, 0.0, 0.0, 0.0], 'rewardMean': 0.7553330774613565, 'totalEpisodes': 12843, 'stepsPerEpisode': 8, 'rewardPerEpisode': 6.734099767860117
'totalSteps': 96875, 'rewardStep': 0.7056151503277073, 'errorList': [], 'lossList': [0.0, 0.22899868041276933, 0.0, 25.67777619459191, 0.0, 0.0, 0.0], 'rewardMean': 0.7607259504266819, 'totalEpisodes': 12972, 'stepsPerEpisode': 55, 'rewardPerEpisode': 42.601078082890105
'totalSteps': 100000, 'rewardStep': 0.7302040396632441, 'errorList': [], 'lossList': [0.0, 0.25224157222071475, 0.0, 20.155653295711595, 0.0, 0.0, 0.0], 'rewardMean': 0.763308321547885, 'totalEpisodes': 13123, 'stepsPerEpisode': 6, 'rewardPerEpisode': 4.2547595167024115
'totalSteps': 103125, 'rewardStep': 0.8013172256256512, 'errorList': [], 'lossList': [0.0, 0.2781559831025649, 0.0, 18.088686575208392, 0.0, 0.0, 0.0], 'rewardMean': 0.7574409745571866, 'totalEpisodes': 13236, 'stepsPerEpisode': 6, 'rewardPerEpisode': 5.012522008613921
'totalSteps': 106250, 'rewardStep': 0.7503240318450664, 'errorList': [], 'lossList': [0.0, 0.3035969979909002, 0.0, 17.834497727180015, 0.0, 0.0, 0.0], 'rewardMean': 0.7782436117307763, 'totalEpisodes': 13368, 'stepsPerEpisode': 8, 'rewardPerEpisode': 6.072266662630774
'totalSteps': 109375, 'rewardStep': 0.8060108703795874, 'errorList': [], 'lossList': [0.0, 0.33046275474587267, 0.0, 16.048341590531017, 0.0, 0.0, 0.0], 'rewardMean': 0.7876128425037331, 'totalEpisodes': 13494, 'stepsPerEpisode': 12, 'rewardPerEpisode': 9.511381120859133
'totalSteps': 112500, 'rewardStep': 0.7647535267559764, 'errorList': [], 'lossList': [0.0, 0.3488097179300931, 0.0, 18.235054129970315, 0.0, 0.0, 0.0], 'rewardMean': 0.7814755623595406, 'totalEpisodes': 13627, 'stepsPerEpisode': 60, 'rewardPerEpisode': 49.41981165265073
'totalSteps': 115625, 'rewardStep': 0.4196477674281454, 'errorList': [], 'lossList': [0.0, 0.3689749020094774, 0.0, 15.122350129302667, 0.0, 0.0, 0.0], 'rewardMean': 0.7546163218420213, 'totalEpisodes': 13740, 'stepsPerEpisode': 108, 'rewardPerEpisode': 74.55242475283708
'totalSteps': 118750, 'rewardStep': 0.8071954459964126, 'errorList': [], 'lossList': [0.0, 0.398370909751678, 0.0, 21.587450949999752, 0.0, 0.0, 0.0], 'rewardMean': 0.7523768196885792, 'totalEpisodes': 13858, 'stepsPerEpisode': 5, 'rewardPerEpisode': 4.055975154812022
