#parameter variation file for learning
#varied parameters:
#case = 2
#computationIndex = 1
#functionData = {'nArms': 3, 'evaluationSteps': 5000, 'episodeSteps': 2500, 'episodeStepsMax': 3125, 'totalLearningSteps': 5000000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.5, 'stepUpdateTime': 0.02, 'thresholdFactor': 0.5, 'cartForce': 120, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models/TP_PPO_r2_lr5e-5_Model', 'netarchLayerSize': 256, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/TP_PPO_r2_lr5e-5_Results', 'verbose': True}
#
'totalSteps': 3125, 'rewardStep': 0.5415746550354796, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.5415746550354796, 'totalEpisodes': 1501, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.2851898860674527
'totalSteps': 6250, 'rewardStep': 0.8528441522160547, 'errorList': [], 'lossList': [0.0, -1.4065703010072514, 0.0, 0.8912267273482011, 0.0, 0.0, 0.0], 'rewardMean': 0.6453311540956713, 'totalEpisodes': 3000, 'stepsPerEpisode': 4, 'rewardPerEpisode': 3.0140945748572707
'totalSteps': 9375, 'rewardStep': 0.7932815420397065, 'errorList': [], 'lossList': [0.0, -1.3798001204218184, 0.0, 1.0902942602731744, 0.0, 0.0, 0.0], 'rewardMean': 0.68231875108168, 'totalEpisodes': 4377, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.7932815420397065
'totalSteps': 12500, 'rewardStep': 0.6235216174773393, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.6627197065468998, 'totalEpisodes': 5651, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.2719522416796178
'totalSteps': 15625, 'rewardStep': 0.5948102866219798, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.6457423515656698, 'totalEpisodes': 6981, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.5948102866219798
'totalSteps': 18750, 'rewardStep': 0.7888768529610367, 'errorList': [], 'lossList': [0.0, -1.3586848645794147, 0.0, 1.5273556857692951, 0.0, 0.0, 0.0], 'rewardMean': 0.6616461850540439, 'totalEpisodes': 8241, 'stepsPerEpisode': 4, 'rewardPerEpisode': 3.033104028759051
'totalSteps': 21875, 'rewardStep': 0.68395552435099, 'errorList': [], 'lossList': [0.0, -1.3389499632679687, 0.0, 1.6399470103030303, 0.0, 0.0, 0.0], 'rewardMean': 0.6638771189837386, 'totalEpisodes': 9409, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.68395552435099
'totalSteps': 25000, 'rewardStep': 0.6992849525465233, 'errorList': [], 'lossList': [0.0, -1.3211064406803676, 0.0, 2.7538902384894235, 0.0, 0.0, 0.0], 'rewardMean': 0.6796481487348429, 'totalEpisodes': 10431, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.3942119248528777
'totalSteps': 28125, 'rewardStep': 0.6842318704320695, 'errorList': [], 'lossList': [0.0, -1.3061301428444532, 0.0, 3.7935495164929605, 0.0, 0.0, 0.0], 'rewardMean': 0.6939138702745018, 'totalEpisodes': 11374, 'stepsPerEpisode': 12, 'rewardPerEpisode': 9.008721293870314
'totalSteps': 31250, 'rewardStep': 0.765371187811587, 'errorList': [], 'lossList': [0.0, -1.2930976201076896, 0.0, 4.2832788888289, 0.0, 0.0, 0.0], 'rewardMean': 0.685166573834055, 'totalEpisodes': 12244, 'stepsPerEpisode': 7, 'rewardPerEpisode': 5.07916367087379
'totalSteps': 34375, 'rewardStep': 0.8256969952787532, 'errorList': [], 'lossList': [0.0, -1.280270590344254, 0.0, 5.335561269156787, 0.0, 0.0, 0.0], 'rewardMean': 0.6884081191579597, 'totalEpisodes': 13027, 'stepsPerEpisode': 15, 'rewardPerEpisode': 12.51274341358656
