#parameter variation file for learning
#varied parameters:
#case = 3
#computationIndex = 2
#functionData = {'nArms': 3, 'evaluationSteps': 5000, 'episodeSteps': 2500, 'episodeStepsMax': 3125, 'totalLearningSteps': 5000000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.5, 'stepUpdateTime': 0.02, 'thresholdFactor': 0.5, 'cartForce': 120, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models/TP_PPO_r2_lr5e-5_Model', 'netarchLayerSize': 256, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/TP_PPO_r2_lr5e-5_Results', 'verbose': True}
#
'totalSteps': 3125, 'rewardStep': 0.7222874418342144, 'errorList': [], 'lossList': [0.0, -1.4071322064010465, 0.0, 0.965777231266304, 0.0, 0.0, 0.0], 'rewardMean': 0.7222874418342144, 'totalEpisodes': 1493, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.39692753507065
'totalSteps': 6250, 'rewardStep': 0.6014721098137821, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.6417438871539262, 'totalEpisodes': 2912, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.6014721098137821
'totalSteps': 9375, 'rewardStep': 0.6508456178480246, 'errorList': [], 'lossList': [0.0, -1.380460986555839, 0.0, 0.9402218697022419, 0.0, 0.0, 0.0], 'rewardMean': 0.6440193198274509, 'totalEpisodes': 4285, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.6508456178480246
'totalSteps': 12500, 'rewardStep': 0.7169262848496758, 'errorList': [], 'lossList': [0.0, -1.3577486719403948, 0.0, 1.5957729558555447, 0.0, 0.0, 0.0], 'rewardMean': 0.6586007128318958, 'totalEpisodes': 5568, 'stepsPerEpisode': 3, 'rewardPerEpisode': 2.0913895516816163
'totalSteps': 15625, 'rewardStep': 0.8423678864730476, 'errorList': [], 'lossList': [0.0, -1.3382453183738552, 0.0, 2.007177286367027, 0.0, 0.0, 0.0], 'rewardMean': 0.6892285751054211, 'totalEpisodes': 6745, 'stepsPerEpisode': 3, 'rewardPerEpisode': 2.3326843272937263
'totalSteps': 18750, 'rewardStep': 0.6056434123860654, 'errorList': [], 'lossList': [0.0, -1.3200127951952876, 0.0, 2.447614260595672, 0.0, 0.0, 0.0], 'rewardMean': 0.6772878375740846, 'totalEpisodes': 7833, 'stepsPerEpisode': 3, 'rewardPerEpisode': 1.8483113577815315
'totalSteps': 21875, 'rewardStep': 0.628284644918627, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.6663982392062051, 'totalEpisodes': 8805, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.4693015001404566
'totalSteps': 25000, 'rewardStep': 0.8769688801360354, 'errorList': [], 'lossList': [0.0, -1.3054047825385113, 0.0, 3.175520137864716, 0.0, 0.0, 0.0], 'rewardMean': 0.6874553032991881, 'totalEpisodes': 9787, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.8769688801360354
'totalSteps': 28125, 'rewardStep': 0.5912080818800116, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.6733209645103908, 'totalEpisodes': 10690, 'stepsPerEpisode': 7, 'rewardPerEpisode': 4.977094660140926
'totalSteps': 31250, 'rewardStep': 0.49052366138187486, 'errorList': [], 'lossList': [0.0, -1.2930675881249565, 0.0, 4.782763289918705, 0.0, 0.0, 0.0], 'rewardMean': 0.6622261196672001, 'totalEpisodes': 11522, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.49052366138187486
'totalSteps': 34375, 'rewardStep': 0.7125788260306356, 'errorList': [], 'lossList': [0.0, -1.2815643901727638, 0.0, 5.230294070925031, 0.0, 0.0, 0.0], 'rewardMean': 0.6683994404854612, 'totalEpisodes': 12306, 'stepsPerEpisode': 6, 'rewardPerEpisode': 4.551186504787981
'totalSteps': 37500, 'rewardStep': 0.7702777068876112, 'errorList': [], 'lossList': [0.0, -1.270706679626387, 0.0, 6.380571502082202, 0.0, 0.0, 0.0], 'rewardMean': 0.6737345826892547, 'totalEpisodes': 13089, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.517132112386596
'totalSteps': 40625, 'rewardStep': 0.7291555071745062, 'errorList': [], 'lossList': [0.0, -1.259676214383573, 0.0, 7.677448423541322, 0.0, 0.0, 0.0], 'rewardMean': 0.6624133447594006, 'totalEpisodes': 13776, 'stepsPerEpisode': 7, 'rewardPerEpisode': 4.872247460468964
'totalSteps': 43750, 'rewardStep': 0.7658398193986193, 'errorList': [], 'lossList': [0.0, -1.2481930443218776, 0.0, 8.352596480505808, 0.0, 0.0, 0.0], 'rewardMean': 0.6784329854606559, 'totalEpisodes': 14400, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.5958148294805086
'totalSteps': 46875, 'rewardStep': 0.8605722788227883, 'errorList': [], 'lossList': [0.0, -1.2371502501623972, 0.0, 11.490774891327838, 0.0, 0.0, 0.0], 'rewardMean': 0.7016617488510721, 'totalEpisodes': 14971, 'stepsPerEpisode': 9, 'rewardPerEpisode': 7.1355325221345645
'totalSteps': 50000, 'rewardStep': 0.7862812547262337, 'errorList': [], 'lossList': [0.0, -1.2253729508847606, 0.0, 9.83955473997155, 0.0, 0.0, 0.0], 'rewardMean': 0.7174614098318328, 'totalEpisodes': 15606, 'stepsPerEpisode': 5, 'rewardPerEpisode': 3.9032065122861797
'totalSteps': 53125, 'rewardStep': 0.8501081545931118, 'errorList': [], 'lossList': [0.0, -1.2140057218318083, 0.0, 12.222482456479753, 0.0, 0.0, 0.0], 'rewardMean': 0.7147753372775405, 'totalEpisodes': 16171, 'stepsPerEpisode': 3, 'rewardPerEpisode': 2.47595391999551
'totalSteps': 56250, 'rewardStep': 0.8469655777897003, 'errorList': [], 'lossList': [0.0, -1.2038064922605243, 0.0, 13.580454380658209, 0.0, 0.0, 0.0], 'rewardMean': 0.7403510868685094, 'totalEpisodes': 16697, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.8469655777897003
'totalSteps': 59375, 'rewardStep': 0.7246766340141936, 'errorList': [], 'lossList': [0.0, -1.1925878349615604, 0.0, 14.542294543130057, 0.0, 0.0, 0.0], 'rewardMean': 0.7536979420819275, 'totalEpisodes': 17232, 'stepsPerEpisode': 37, 'rewardPerEpisode': 31.31683514985244
'totalSteps': 62500, 'rewardStep': 0.5753376052907062, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.7484552143988177, 'totalEpisodes': 17740, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.5753376052907062
'totalSteps': 65625, 'rewardStep': 0.7426497246068631, 'errorList': [], 'lossList': [0.0, -1.1817920551008108, 0.0, 15.061740734139267, 0.0, 0.0, 0.0], 'rewardMean': 0.7456924161707429, 'totalEpisodes': 18248, 'stepsPerEpisode': 9, 'rewardPerEpisode': 7.503241817826838
'totalSteps': 68750, 'rewardStep': 0.9019073452570698, 'errorList': [], 'lossList': [0.0, -1.171843963496539, 0.0, 19.143122819005228, 0.0, 0.0, 0.0], 'rewardMean': 0.7629675999789993, 'totalEpisodes': 18725, 'stepsPerEpisode': 4, 'rewardPerEpisode': 3.514355579192043
'totalSteps': 71875, 'rewardStep': 0.5252815519608712, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.7053827005490327, 'totalEpisodes': 19202, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.2282479081353253
'totalSteps': 75000, 'rewardStep': 0.6200107543622747, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.6657459104895531, 'totalEpisodes': 19697, 'stepsPerEpisode': 20, 'rewardPerEpisode': 15.420298498051643
'totalSteps': 78125, 'rewardStep': 0.7656568576030217, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.661713060829768, 'totalEpisodes': 20197, 'stepsPerEpisode': 12, 'rewardPerEpisode': 9.450130248261296
