#parameter variation file for learning
#varied parameters:
#case = 3
#computationIndex = 2
#functionData = {'nArms': 3, 'evaluationSteps': 5000, 'episodeSteps': 2500, 'episodeStepsMax': 3125, 'totalLearningSteps': 5000000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.8, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 100, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models/TP_PPO_r2_tF2d25_rPF0d1_Model', 'netarchLayerSize': 128, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/TP_PPO_r2_tF2d25_rPF0d1_Results', 'verbose': True}
#
'totalSteps': 3125, 'rewardStep': 0.8602833731627298, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.8602833731627298, 'totalEpisodes': 438, 'stepsPerEpisode': 7, 'rewardPerEpisode': 6.597148038404463
'totalSteps': 6250, 'rewardStep': 0.8643393365296277, 'errorList': [], 'lossList': [0.0, -1.382208196727597, 0.0, 5.451580073638838, 0.0, 0.0, 0.0], 'rewardMean': 0.8616353609516958, 'totalEpisodes': 857, 'stepsPerEpisode': 4, 'rewardPerEpisode': 3.649861698129431
'totalSteps': 9375, 'rewardStep': 0.9057279391201181, 'errorList': [], 'lossList': [0.0, -1.3141809911144022, 0.0, 6.822097186652981, 0.0, 0.0, 0.0], 'rewardMean': 0.8726585054938014, 'totalEpisodes': 1181, 'stepsPerEpisode': 4, 'rewardPerEpisode': 3.7814973752673717
'totalSteps': 12500, 'rewardStep': 0.8383826301423188, 'errorList': [], 'lossList': [0.0, -1.238632245939605, 0.0, 9.915164898852913, 0.0, 0.0, 0.0], 'rewardMean': 0.8658033304235049, 'totalEpisodes': 1441, 'stepsPerEpisode': 11, 'rewardPerEpisode': 9.714677325449424
'totalSteps': 15625, 'rewardStep': 0.9160860093601483, 'errorList': [], 'lossList': [0.0, -1.1695976454384474, 0.0, 12.751435093003876, 0.0, 0.0, 0.0], 'rewardMean': 0.8741837769129455, 'totalEpisodes': 1626, 'stepsPerEpisode': 14, 'rewardPerEpisode': 13.325415457439483
'totalSteps': 18750, 'rewardStep': 0.9377885993543698, 'errorList': [], 'lossList': [0.0, -1.1122537868363516, 0.0, 15.17654076790323, 0.0, 0.0, 0.0], 'rewardMean': 0.8832701801188633, 'totalEpisodes': 1776, 'stepsPerEpisode': 27, 'rewardPerEpisode': 25.988225148163348
'totalSteps': 21875, 'rewardStep': 0.9148352711859036, 'errorList': [], 'lossList': [0.0, -1.0650289058685303, 0.0, 19.412728122789034, 0.0, 0.0, 0.0], 'rewardMean': 0.8872158165022432, 'totalEpisodes': 1879, 'stepsPerEpisode': 35, 'rewardPerEpisode': 31.91623612869702
'totalSteps': 25000, 'rewardStep': 0.9238757178729476, 'errorList': [], 'lossList': [0.0, -1.0232512907106048, 0.0, 19.697418335505894, 0.0, 0.0, 0.0], 'rewardMean': 0.891289138876766, 'totalEpisodes': 1963, 'stepsPerEpisode': 25, 'rewardPerEpisode': 23.192747620951344
'totalSteps': 28125, 'rewardStep': 0.9193397284257284, 'errorList': [], 'lossList': [0.0, -0.996013848513973, 0.0, 19.14962542592263, 0.0, 0.0, 0.0], 'rewardMean': 0.8940941978316621, 'totalEpisodes': 2033, 'stepsPerEpisode': 9, 'rewardPerEpisode': 8.354529972721762
'totalSteps': 31250, 'rewardStep': 0.8977304702082808, 'errorList': [], 'lossList': [0.0, -0.9630631437107008, 0.0, 20.97204962555243, 0.0, 0.0, 0.0], 'rewardMean': 0.8978389075362172, 'totalEpisodes': 2105, 'stepsPerEpisode': 47, 'rewardPerEpisode': 44.221639949255064
'totalSteps': 34375, 'rewardStep': 0.8885965603592695, 'errorList': [], 'lossList': [0.0, -0.9300908330751925, 0.0, 12.766010236740112, 0.0, 0.0, 0.0], 'rewardMean': 0.9006702262558713, 'totalEpisodes': 2155, 'stepsPerEpisode': 65, 'rewardPerEpisode': 61.89807772941274
'totalSteps': 37500, 'rewardStep': 0.8277109468477155, 'errorList': [], 'lossList': [0.0, -0.884789382073344, 0.0, 12.011106353876542, 0.0, 0.0, 0.0], 'rewardMean': 0.8970073872876799, 'totalEpisodes': 2206, 'stepsPerEpisode': 95, 'rewardPerEpisode': 85.22719560568272
'totalSteps': 40625, 'rewardStep': 0.9256481194263294, 'errorList': [], 'lossList': [0.0, -0.8540862746384679, 0.0, 6.052401612242874, 0.0, 0.0, 0.0], 'rewardMean': 0.8989994053183011, 'totalEpisodes': 2252, 'stepsPerEpisode': 5, 'rewardPerEpisode': 4.680015067680949
'totalSteps': 43750, 'rewardStep': 0.4697480290756116, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.8175021471831767, 'totalEpisodes': 2295, 'stepsPerEpisode': 76, 'rewardPerEpisode': 59.58320665672364
