#parameter variation file for learning
#varied parameters:
#case = 2
#computationIndex = 1
#functionData = {'nArms': 3, 'evaluationSteps': 10000, 'episodeSteps': 2500, 'episodeStepsMax': 3125, 'totalLearningSteps': 5000000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 2, 'rewardPositionFactor': 0.1, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 100, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models/TP_PPO_r2_tF2d25_rPF0d1_n128_Model', 'netarchLayerSize': 128, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/TP_PPO_r2_tF2d25_rPF0d1_n128_Results', 'verbose': True}
#
'totalSteps': 3125, 'rewardStep': 0.9473628578021326, 'errorList': [], 'lossList': [0.0, -1.3672198426966764, 0.0, 3.166499660696302, 0.0, 0.0, 0.0], 'rewardMean': 0.9473628578021326, 'totalEpisodes': 444, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.9473628578021326
'totalSteps': 6250, 'rewardStep': 0.6456345589022386, 'errorList': [], 'lossList': [0.0, -1.2728944751681113, 0.0, 4.064943142813079, 0.0, 0.0, 0.0], 'rewardMean': 0.7964987083521856, 'totalEpisodes': 763, 'stepsPerEpisode': 5, 'rewardPerEpisode': 4.2822338865576395
'totalSteps': 9375, 'rewardStep': 0.7624655747103478, 'errorList': [], 'lossList': [0.0, -1.1911575054635808, 0.0, 6.365775989999577, 0.0, 0.0, 0.0], 'rewardMean': 0.785154330471573, 'totalEpisodes': 1008, 'stepsPerEpisode': 4, 'rewardPerEpisode': 3.24214196323913
'totalSteps': 12500, 'rewardStep': 0.6404108536044255, 'errorList': [], 'lossList': [0.0, -1.1139826652955036, 0.0, 9.552909676882685, 0.0, 0.0, 0.0], 'rewardMean': 0.7489684612547861, 'totalEpisodes': 1202, 'stepsPerEpisode': 5, 'rewardPerEpisode': 3.704264862309003
'totalSteps': 15625, 'rewardStep': 0.8957386266354495, 'errorList': [], 'lossList': [0.0, -1.049034883538071, 0.0, 11.356344116950522, 0.0, 0.0, 0.0], 'rewardMean': 0.7783224943309188, 'totalEpisodes': 1343, 'stepsPerEpisode': 24, 'rewardPerEpisode': 19.043048988492828
'totalSteps': 18750, 'rewardStep': 0.6556114118112686, 'errorList': [], 'lossList': [0.0, -1.0030369068895066, 0.0, 10.537451406401031, 0.0, 0.0, 0.0], 'rewardMean': 0.7578706472443105, 'totalEpisodes': 1446, 'stepsPerEpisode': 13, 'rewardPerEpisode': 10.267911271968877
'totalSteps': 21875, 'rewardStep': 0.9076025764641964, 'errorList': [], 'lossList': [0.0, -0.9724872295953789, 0.0, 11.667188011870092, 0.0, 0.0, 0.0], 'rewardMean': 0.7792609228471513, 'totalEpisodes': 1530, 'stepsPerEpisode': 8, 'rewardPerEpisode': 7.2658609707388235
'totalSteps': 25000, 'rewardStep': 0.8348625970518714, 'errorList': [], 'lossList': [0.0, -0.9477047571114131, 0.0, 13.269288408512972, 0.0, 0.0, 0.0], 'rewardMean': 0.7862111321227414, 'totalEpisodes': 1602, 'stepsPerEpisode': 48, 'rewardPerEpisode': 42.25759179405449
'totalSteps': 28125, 'rewardStep': 0.9204591819388273, 'errorList': [], 'lossList': [0.0, -0.9243470843957395, 0.0, 13.002740759752234, 0.0, 0.0, 0.0], 'rewardMean': 0.8011275821023065, 'totalEpisodes': 1658, 'stepsPerEpisode': 3, 'rewardPerEpisode': 2.723290892629154
'totalSteps': 31250, 'rewardStep': 0.5272903091510984, 'errorList': [], 'lossList': [0.0, -0.9048227267605918, 0.0, 9.696145607500661, 0.0, 0.0, 0.0], 'rewardMean': 0.7737438548071858, 'totalEpisodes': 1711, 'stepsPerEpisode': 42, 'rewardPerEpisode': 33.30015052473879
'totalSteps': 34375, 'rewardStep': 0.6238075437050222, 'errorList': [], 'lossList': [0.0, -0.8856565105671785, 0.0, 8.123823643217282, 0.0, 0.0, 0.0], 'rewardMean': 0.7413883233974745, 'totalEpisodes': 1759, 'stepsPerEpisode': 36, 'rewardPerEpisode': 27.759083280714083
