#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 3, 'evaluationSteps': 10000, 'episodeSteps': 1639, 'episodeStepsMax': 2048, 'totalLearningSteps': 5000000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 9, 'rewardPositionFactor': 0.8, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 60, 'numberOfTests': 100, 'relativeFriction': 0.0, 'storeBestModel': 'models/TP_PPO_r9_n64_v2_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/TP_PPO_r9_n64_v2_Results', 'verbose': True}
#
'totalSteps': 2048, 'rewardStep': 0.36383832862835386, 'errorList': [], 'lossList': [0.0, -1.3819172751158475, 0.0, 3.139179366081953, 0.0, 0.0, 0.0], 'rewardMean': 0.36383832862835386, 'totalEpisodes': 229, 'stepsPerEpisode': 9, 'rewardPerEpisode': 6.090723909187645
'totalSteps': 4096, 'rewardStep': 0.7325326331338777, 'errorList': [], 'lossList': [0.0, -1.305656222999096, 0.0, 2.6890258084982634, 0.0, 0.0, 0.0], 'rewardMean': 0.5481854808811157, 'totalEpisodes': 427, 'stepsPerEpisode': 1, 'rewardPerEpisode': 0.7325326331338777
'totalSteps': 6144, 'rewardStep': 0.2034854250900855, 'errorList': [], 'lossList': [0.0, -1.2315629974007607, 0.0, 3.9227572686970236, 0.0, 0.0, 0.0], 'rewardMean': 0.43328546228410564, 'totalEpisodes': 573, 'stepsPerEpisode': 16, 'rewardPerEpisode': 8.203336954545916
'totalSteps': 8192, 'rewardStep': 0.5955345168236552, 'errorList': [], 'lossList': [0.0, -1.1585312027484178, 0.0, 4.813957484066487, 0.0, 0.0, 0.0], 'rewardMean': 0.47384772591899305, 'totalEpisodes': 678, 'stepsPerEpisode': 16, 'rewardPerEpisode': 11.716864039273831
'totalSteps': 10240, 'rewardStep': 0.7653467674398141, 'errorList': [], 'lossList': [0.0, -1.100879268720746, 0.0, 5.898293042182923, 0.0, 0.0, 0.0], 'rewardMean': 0.5321475342231572, 'totalEpisodes': 771, 'stepsPerEpisode': 16, 'rewardPerEpisode': 13.075653059570698
'totalSteps': 12288, 'rewardStep': 0.8355609129176254, 'errorList': [], 'lossList': [0.0, -1.0602506078779697, 0.0, 8.234486022591591, 0.0, 0.0, 0.0], 'rewardMean': 0.5827164306722352, 'totalEpisodes': 841, 'stepsPerEpisode': 5, 'rewardPerEpisode': 4.111315633396476
'totalSteps': 14336, 'rewardStep': 0.4021248138787127, 'errorList': [], 'lossList': [0.0, -1.0262128204107284, 0.0, 8.021345031261443, 0.0, 0.0, 0.0], 'rewardMean': 0.5569176282731606, 'totalEpisodes': 898, 'stepsPerEpisode': 47, 'rewardPerEpisode': 24.031512637105823
'totalSteps': 16384, 'rewardStep': 0.6006110520246347, 'errorList': [], 'lossList': [0.0, -1.0102036934345962, 0.0, 7.468427539616823, 0.0, 0.0, 0.0], 'rewardMean': 0.5623793062420949, 'totalEpisodes': 949, 'stepsPerEpisode': 19, 'rewardPerEpisode': 14.194190919754025
'totalSteps': 18432, 'rewardStep': 0.21070349309036485, 'errorList': [], 'lossList': [0.0, -0.9878475112840533, 0.0, 6.062443272024393, 0.0, 0.0, 0.0], 'rewardMean': 0.5233042158919026, 'totalEpisodes': 997, 'stepsPerEpisode': 35, 'rewardPerEpisode': 21.8019875227625
'totalSteps': 20480, 'rewardStep': 0.11515153702442127, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.4576202688447613, 'totalEpisodes': 1039, 'stepsPerEpisode': 34, 'rewardPerEpisode': 21.22503278268175
'totalSteps': 22528, 'rewardStep': 0.5560890386085842, 'errorList': [], 'lossList': [0.0, -0.9498284136876464, 0.0, 7.769574818760157, 0.0, 0.0, 0.0], 'rewardMean': 0.4399759093922319, 'totalEpisodes': 1085, 'stepsPerEpisode': 31, 'rewardPerEpisode': 24.002300405887123
