#parameter variation file for learning
#varied parameters:
#case = 2
#computationIndex = 1
#functionData = {'nArms': 3, 'evaluationSteps': 10000, 'episodeSteps': 1639, 'episodeStepsMax': 2048, 'totalLearningSteps': 1000000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 9, 'rewardPositionFactor': 0.8, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 60, 'numberOfTests': 100, 'relativeFriction': 0.0, 'storeBestModel': 'models/TP_PPO_r9_n64_v4_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/TP_PPO_r9_n64_v4_Results', 'verbose': True}
#
'totalSteps': 2048, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -1.388462784513831, 0.0, 0.12198978980304673, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 222, 'stepsPerEpisode': 5, 'rewardPerEpisode': 0.9282527825600799
'totalSteps': 4096, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -1.305498979985714, 0.0, 0.0773220130300615, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 429, 'stepsPerEpisode': 6, 'rewardPerEpisode': 0
'totalSteps': 6144, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -1.205801586434245, 0.0, 0.1356081438716501, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 588, 'stepsPerEpisode': 6, 'rewardPerEpisode': 1.2594099559929577
'totalSteps': 8192, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -1.100382398068905, 0.0, 0.17579755578190087, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 717, 'stepsPerEpisode': 13, 'rewardPerEpisode': 0
'totalSteps': 10240, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -1.0165812930092215, 0.0, 0.23202249226160349, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 810, 'stepsPerEpisode': 8, 'rewardPerEpisode': 0.5626617180467719
'totalSteps': 12288, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.9555509584024549, 0.0, 0.2708181812427938, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 892, 'stepsPerEpisode': 8, 'rewardPerEpisode': 0.5961259428433333
'totalSteps': 14336, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.905263782851398, 0.0, 0.43276311294175684, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 953, 'stepsPerEpisode': 19, 'rewardPerEpisode': 1.6973814607353415
'totalSteps': 16384, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.8484897144138813, 0.0, 0.4855679268948734, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 1008, 'stepsPerEpisode': 27, 'rewardPerEpisode': 5.07357254583412
'totalSteps': 18432, 'rewardStep': 0.0725986191096133, 'errorList': [], 'lossList': [0.0, -0.8000148098915816, 0.0, 0.5109997872263193, 0.0, 0.0, 0.0], 'rewardMean': 0.008066513234401477, 'totalEpisodes': 1051, 'stepsPerEpisode': 33, 'rewardPerEpisode': 2.5774202452455937
'totalSteps': 20480, 'rewardStep': 0.7292605698563726, 'errorList': [], 'lossList': [0.0, -0.767312485538423, 0.0, 0.37774098766967656, 0.0, 0.0, 0.0], 'rewardMean': 0.08018591889659858, 'totalEpisodes': 1096, 'stepsPerEpisode': 8, 'rewardPerEpisode': 1.4654083365606767
'totalSteps': 22528, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.7531330149620772, 0.0, 0.35945412500295787, 0.0, 0.0, 0.0], 'rewardMean': 0.08018591889659858, 'totalEpisodes': 1137, 'stepsPerEpisode': 6, 'rewardPerEpisode': 0.7093325610080826
'totalSteps': 24576, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.7268915772438049, 0.0, 0.47860179957933724, 0.0, 0.0, 0.0], 'rewardMean': 0.08018591889659858, 'totalEpisodes': 1176, 'stepsPerEpisode': 49, 'rewardPerEpisode': 5.7776178496986255
'totalSteps': 26624, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.6941705757752061, 0.0, 0.4443223983515054, 0.0, 0.0, 0.0], 'rewardMean': 0.08018591889659858, 'totalEpisodes': 1212, 'stepsPerEpisode': 35, 'rewardPerEpisode': 4.722504642078942
'totalSteps': 28672, 'rewardStep': 0.3925261796885873, 'errorList': [], 'lossList': [0.0, -0.6650928080081939, 0.0, 0.434553009737283, 0.0, 0.0, 0.0], 'rewardMean': 0.11943853686545731, 'totalEpisodes': 1250, 'stepsPerEpisode': 13, 'rewardPerEpisode': 4.507990064910237
'totalSteps': 30720, 'rewardStep': 0.20232455092916068, 'errorList': [], 'lossList': [0.0, -0.6279490377753973, 0.0, 0.34382450240664186, 0.0, 0.0, 0.0], 'rewardMean': 0.13967099195837337, 'totalEpisodes': 1286, 'stepsPerEpisode': 14, 'rewardPerEpisode': 2.3128544217530678
'totalSteps': 32768, 'rewardStep': 0.3225624047929625, 'errorList': [], 'lossList': [0.0, -0.6003875413909554, 0.0, 0.3547355906106532, 0.0, 0.0, 0.0], 'rewardMean': 0.17192723243766964, 'totalEpisodes': 1322, 'stepsPerEpisode': 19, 'rewardPerEpisode': 4.508572302824885
'totalSteps': 34816, 'rewardStep': 0.44024834721455297, 'errorList': [], 'lossList': [0.0, -0.5831520181149245, 0.0, 0.4031286894809455, 0.0, 0.0, 0.0], 'rewardMean': 0.21595206715912493, 'totalEpisodes': 1356, 'stepsPerEpisode': 38, 'rewardPerEpisode': 6.449308126835956
'totalSteps': 36864, 'rewardStep': 0.7294227484394555, 'errorList': [], 'lossList': [0.0, -0.5598574433475733, 0.0, 0.4007525777909905, 0.0, 0.0, 0.0], 'rewardMean': 0.28889434200307046, 'totalEpisodes': 1388, 'stepsPerEpisode': 17, 'rewardPerEpisode': 4.575140105492715
'totalSteps': 38912, 'rewardStep': 0.7823108546752977, 'errorList': [], 'lossList': [0.0, -0.5423672650009393, 0.0, 0.3594781559659168, 0.0, 0.0, 0.0], 'rewardMean': 0.35986556555963894, 'totalEpisodes': 1418, 'stepsPerEpisode': 29, 'rewardPerEpisode': 4.86932848602888
'totalSteps': 40960, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.5262504635378719, 0.0, 0.6152038070838899, 0.0, 0.0, 0.0], 'rewardMean': 0.2869395085740017, 'totalEpisodes': 1446, 'stepsPerEpisode': 25, 'rewardPerEpisode': 4.372650057029901
'totalSteps': 43008, 'rewardStep': 0.6277466065198449, 'errorList': [], 'lossList': [0.0, -0.5114402551203966, 0.0, 0.4973638885654509, 0.0, 0.0, 0.0], 'rewardMean': 0.3497141692259862, 'totalEpisodes': 1477, 'stepsPerEpisode': 3, 'rewardPerEpisode': 1.3798396337277359
'totalSteps': 45056, 'rewardStep': 0.07234483881635634, 'errorList': [], 'lossList': [0.0, -0.4966411550529301, 0.0, 0.44626424997113645, 0.0, 0.0, 0.0], 'rewardMean': 0.3569486531076218, 'totalEpisodes': 1503, 'stepsPerEpisode': 7, 'rewardPerEpisode': 1.4506081430601947
'totalSteps': 47104, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.4687796768732369, 0.0, 0.5332048865500838, 0.0, 0.0, 0.0], 'rewardMean': 0.3569486531076218, 'totalEpisodes': 1527, 'stepsPerEpisode': 62, 'rewardPerEpisode': 11.654067044441515
'totalSteps': 49152, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.43481011791154744, 0.0, 0.695570059074089, 0.0, 0.0, 0.0], 'rewardMean': 0.31769603513876304, 'totalEpisodes': 1551, 'stepsPerEpisode': 46, 'rewardPerEpisode': 6.711908409287825
'totalSteps': 51200, 'rewardStep': 0.7421102225260037, 'errorList': [], 'lossList': [0.0, -0.3993690636008978, 0.0, 0.4330901062581688, 0.0, 0.0, 0.0], 'rewardMean': 0.37167460229844734, 'totalEpisodes': 1574, 'stepsPerEpisode': 22, 'rewardPerEpisode': 4.690324722606789
'totalSteps': 53248, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.36337931342422963, 0.0, 0.4771318085025996, 0.0, 0.0, 0.0], 'rewardMean': 0.3394183618191511, 'totalEpisodes': 1600, 'stepsPerEpisode': 45, 'rewardPerEpisode': 11.539451512878182
'totalSteps': 55296, 'rewardStep': 0.30848176947808437, 'errorList': [], 'lossList': [0.0, -0.3279892824590206, 0.0, 0.4221397993620485, 0.0, 0.0, 0.0], 'rewardMean': 0.3262417040455043, 'totalEpisodes': 1628, 'stepsPerEpisode': 20, 'rewardPerEpisode': 5.432279628899199
'totalSteps': 57344, 'rewardStep': 0.018005824123428105, 'errorList': [], 'lossList': [0.0, -0.2898497499525547, 0.0, 0.584946674760431, 0.0, 0.0, 0.0], 'rewardMean': 0.25510001161390156, 'totalEpisodes': 1655, 'stepsPerEpisode': 45, 'rewardPerEpisode': 9.150557232640343
'totalSteps': 59392, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.23560348711907864, 0.0, 0.5329343879129738, 0.0, 0.0, 0.0], 'rewardMean': 0.17686892614637176, 'totalEpisodes': 1681, 'stepsPerEpisode': 7, 'rewardPerEpisode': 2.447108359875509
'totalSteps': 61440, 'rewardStep': 0.33202754505985266, 'errorList': [], 'lossList': [0.0, -0.17595004923641683, 0.0, 0.4945052750874311, 0.0, 0.0, 0.0], 'rewardMean': 0.21007168065235698, 'totalEpisodes': 1707, 'stepsPerEpisode': 16, 'rewardPerEpisode': 2.9243439433307117
'totalSteps': 63488, 'rewardStep': 0.349802112243217, 'errorList': [], 'lossList': [0.0, -0.1094149675220251, 0.0, 0.46931658405810595, 0.0, 0.0, 0.0], 'rewardMean': 0.18227723122469422, 'totalEpisodes': 1732, 'stepsPerEpisode': 94, 'rewardPerEpisode': 22.155607872911265
'totalSteps': 65536, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, -0.030531474947929384, 0.0, 0.45933340708725157, 0.0, 0.0, 0.0], 'rewardMean': 0.17504274734305855, 'totalEpisodes': 1757, 'stepsPerEpisode': 70, 'rewardPerEpisode': 15.767076756514976
'totalSteps': 67584, 'rewardStep': 0.483877938495177, 'errorList': [], 'lossList': [0.0, 0.04924191311001778, 0.0, 0.6669756878167391, 0.0, 0.0, 0.0], 'rewardMean': 0.22343054119257627, 'totalEpisodes': 1780, 'stepsPerEpisode': 19, 'rewardPerEpisode': 8.946849844716763
'totalSteps': 69632, 'rewardStep': 0.15444077691820146, 'errorList': [], 'lossList': [0.0, 0.12459332272410392, 0.0, 0.43554812264628706, 0.0, 0.0, 0.0], 'rewardMean': 0.23887461888439643, 'totalEpisodes': 1807, 'stepsPerEpisode': 33, 'rewardPerEpisode': 8.581119105787153
'totalSteps': 71680, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, 0.19087555967271327, 0.0, 0.6073411274701357, 0.0, 0.0, 0.0], 'rewardMean': 0.16466359663179606, 'totalEpisodes': 1833, 'stepsPerEpisode': 5, 'rewardPerEpisode': 1.417765996171785
'totalSteps': 73728, 'rewardStep': 0.6686673226419397, 'errorList': [], 'lossList': [0.0, 0.28239961974322797, 0.0, 0.44665675885044037, 0.0, 0.0, 0.0], 'rewardMean': 0.23153032889599007, 'totalEpisodes': 1860, 'stepsPerEpisode': 42, 'rewardPerEpisode': 14.691675385023554
'totalSteps': 75776, 'rewardStep': 0.4733531990666602, 'errorList': [], 'lossList': [0.0, 0.3794781507924199, 0.0, 0.6026350951753556, 0.0, 0.0, 0.0], 'rewardMean': 0.24801747185484765, 'totalEpisodes': 1885, 'stepsPerEpisode': 32, 'rewardPerEpisode': 8.925287077125716
'totalSteps': 77824, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, 0.4420593636110425, 0.0, 1.157765716407448, 0.0, 0.0, 0.0], 'rewardMean': 0.2462168894425048, 'totalEpisodes': 1908, 'stepsPerEpisode': 138, 'rewardPerEpisode': 51.94050029683523
'totalSteps': 79872, 'rewardStep': 0.1468429766257363, 'errorList': [], 'lossList': [0.0, 0.49545413851737974, 0.0, 0.8420290073379875, 0.0, 0.0, 0.0], 'rewardMean': 0.2609011871050784, 'totalEpisodes': 1934, 'stepsPerEpisode': 84, 'rewardPerEpisode': 29.6967742205686
