#parameter variation file for learning
#varied parameters:
#case = 2
#computationIndex = 1
#functionData = {'nArms': 3, 'evaluationSteps': 10000, 'episodeSteps': 1639, 'episodeStepsMax': 2048, 'totalLearningSteps': 2000000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 9, 'rewardPositionFactor': 0.8, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 80, 'numberOfTests': 100, 'relativeFriction': 0.0, 'storeBestModel': 'models/TP_PPO_r9_n64_v7_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/TP_PPO_r9_n64_v7_Results', 'verbose': True}
#
'totalSteps': 2048, 'rewardStep': 0.0, 'errorList': [], 'lossList': [0.0, -1.3913673095405101, 0.0, 0.15945886471308768, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 257, 'stepsPerEpisode': 10, 'rewardPerEpisode': 1.852312412469086
'totalSteps': 4096, 'rewardStep': 0.0, 'errorList': [], 'lossList': [0.0, -1.3075960393995048, 0.0, 0.13529373286291957, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 488, 'stepsPerEpisode': 3, 'rewardPerEpisode': 0.7667449942674402
'totalSteps': 6144, 'rewardStep': 0.0, 'errorList': [], 'lossList': [0.0, -1.2003157593309879, 0.0, 0.23234140584245325, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 667, 'stepsPerEpisode': 2, 'rewardPerEpisode': 0.0
'totalSteps': 8192, 'rewardStep': 0.0, 'errorList': [], 'lossList': [0.0, -1.1069055702537298, 0.0, 0.4463509504217654, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 795, 'stepsPerEpisode': 5, 'rewardPerEpisode': 0.5780510353797229
'totalSteps': 10240, 'rewardStep': 0.0, 'errorList': [], 'lossList': [0.0, -1.0211227113381027, 0.0, 0.41979201352223755, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 888, 'stepsPerEpisode': 4, 'rewardPerEpisode': 0.0
'totalSteps': 12288, 'rewardStep': 0.0, 'errorList': [], 'lossList': [0.0, -0.9571047278121114, 0.0, 0.5320639969781041, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 966, 'stepsPerEpisode': 3, 'rewardPerEpisode': 0.9128504625361581
'totalSteps': 14336, 'rewardStep': 0.0, 'errorList': [], 'lossList': [0.0, -0.9006678335368633, 0.0, 0.5934817956760525, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 1037, 'stepsPerEpisode': 21, 'rewardPerEpisode': 2.4462736167871295
'totalSteps': 16384, 'rewardStep': 0.0, 'errorList': [], 'lossList': [0.0, -0.8492922086268664, 0.0, 0.6553799134679139, 0.0, 0.0, 0.0], 'rewardMean': 0.0, 'totalEpisodes': 1091, 'stepsPerEpisode': 46, 'rewardPerEpisode': 7.98935338665489
'totalSteps': 18432, 'rewardStep': 0.35699554437840075, 'errorList': [], 'lossList': [0.0, -0.8128176053985954, 0.0, 0.7046035864390433, 0.0, 0.0, 0.0], 'rewardMean': 0.03966617159760008, 'totalEpisodes': 1136, 'stepsPerEpisode': 40, 'rewardPerEpisode': 8.30714480760325
'totalSteps': 20480, 'rewardStep': 0.0, 'errorList': [], 'lossList': [0.0, -0.7822846030816436, 0.0, 0.5871459549292922, 0.0, 0.0, 0.0], 'rewardMean': 0.03569955443784008, 'totalEpisodes': 1177, 'stepsPerEpisode': 47, 'rewardPerEpisode': 5.240738377976621
'totalSteps': 22528, 'rewardStep': 0.31275746389828796, 'errorList': [], 'lossList': [0.0, -0.7555424254387617, 0.0, 0.5147024187725038, 0.0, 0.0, 0.0], 'rewardMean': 0.06697530082766887, 'totalEpisodes': 1217, 'stepsPerEpisode': 22, 'rewardPerEpisode': 2.905102030762886
