#Exudyn implicit second order time integration solver solution file
#simulation started=2023-11-15,19:53:11
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations
#number of system coordinates [nODE2, nODE1, nAlgebraic, nData] = [4,0,0,0]
#number of written coordinates [nODE2, nVel2, nAcc2, nODE1, nVel1, nAlgebraic, nData] = [4,4,4,0,0,0,0]
#total columns exported  (excl. time) = 12
#number of time steps (planned) = 1
#Exudyn version = 1.6.119.dev1; Python3.8.13; Windows AVX2 FLOAT64
#
#solution information = InvertedNPendulumEnv
#Exudyn implicit second order time integration solver solution file
#simulation started=2023-11-15,19:53:11
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations
#number of system coordinates [nODE2, nODE1, nAlgebraic, nData] = [4,0,0,0]
#number of written coordinates [nODE2, nVel2, nAcc2, nODE1, nVel1, nAlgebraic, nData] = [4,4,4,0,0,0,0]
#total columns exported  (excl. time) = 12
#number of time steps (planned) = 1
#Exudyn version = 1.6.119.dev1; Python3.8.13; Windows AVX2 FLOAT64
#
#solution information = InvertedNPendulumEnv
0,-0.01047719016,0.01684029452,0.07953947144,-0.008329042909,-0.09080454999,0.05028525248,-0.003333242267,-0.04577300216,22.82075659,27.00541366,-31.09455227,5.209452001
0.02,-0.00772734491,0.02328434388,0.07316546332,-0.008132600975,0.3657890747,0.5941196829,-0.6340675701,0.06541719557,22.83860588,27.37802938,-31.97888052,5.909567772
#Exudyn implicit second order time integration solver solution file
#simulation started=2023-11-15,19:53:11
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations
#number of system coordinates [nODE2, nODE1, nAlgebraic, nData] = [4,0,0,0]
#number of written coordinates [nODE2, nVel2, nAcc2, nODE1, nVel1, nAlgebraic, nData] = [4,4,4,0,0,0,0]
#total columns exported  (excl. time) = 12
#number of time steps (planned) = 1
#Exudyn version = 1.6.119.dev1; Python3.8.13; Windows AVX2 FLOAT64
#
#solution information = InvertedNPendulumEnv
0.02,-0.00772734491,0.02328434388,0.07316546332,-0.008132600975,0.3657890747,0.5941196829,-0.6340675701,0.06541719557,-5.551720507,-8.664816859,13.94943942,-7.273158428
0.04,-0.001518824363,0.03347122326,0.06319574734,-0.008225430322,0.25506298,0.424568256,-0.3629040275,-0.07470013023,-5.520888962,-8.290325835,13.16691484,-6.738574152
#Exudyn implicit second order time integration solver solution file
#simulation started=2023-11-15,19:53:11
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations
#number of system coordinates [nODE2, nODE1, nAlgebraic, nData] = [4,0,0,0]
#number of written coordinates [nODE2, nVel2, nAcc2, nODE1, nVel1, nAlgebraic, nData] = [4,4,4,0,0,0,0]
#total columns exported  (excl. time) = 12
#number of time steps (planned) = 1
#Exudyn version = 1.6.119.dev1; Python3.8.13; Windows AVX2 FLOAT64
#
#solution information = InvertedNPendulumEnv
0.04,-0.001518824363,0.03347122326,0.06319574734,-0.008225430322,0.25506298,0.424568256,-0.3629040275,-0.07470013023,17.19539925,20.59008338,-23.70476827,3.925282164
0.06,0.007024385507,0.0461405751,0.05105880066,-0.008830127059,0.5992580069,0.8423669278,-0.8507906405,0.0142304565,17.22410344,21.1897838,-25.08389303,4.967776509
#Exudyn implicit second order time integration solver solution file
#simulation started=2023-11-15,19:53:11
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations
#number of system coordinates [nODE2, nODE1, nAlgebraic, nData] = [4,0,0,0]
#number of written coordinates [nODE2, nVel2, nAcc2, nODE1, nVel1, nAlgebraic, nData] = [4,4,4,0,0,0,0]
#total columns exported  (excl. time) = 12
#number of time steps (planned) = 1
#Exudyn version = 1.6.119.dev1; Python3.8.13; Windows AVX2 FLOAT64
#
#solution information = InvertedNPendulumEnv
0.06,0.007024385507,0.0461405751,0.05105880066,-0.008830127059,0.5992580069,0.8423669278,-0.8507906405,0.0142304565,-9.433977507,-12.73181866,18.29097064,-7.658872384
0.08,0.01712756859,0.06049490729,0.03759269543,-0.01000870367,0.411060301,0.5930662911,-0.4958198825,-0.1320881179,-9.385793091,-12.19824501,17.20610516,-6.972985061
#Exudyn implicit second order time integration solver solution file
#simulation started=2023-11-15,19:53:11
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations
#number of system coordinates [nODE2, nODE1, nAlgebraic, nData] = [4,0,0,0]
#number of written coordinates [nODE2, nVel2, nAcc2, nODE1, nVel1, nAlgebraic, nData] = [4,4,4,0,0,0,0]
#total columns exported  (excl. time) = 12
#number of time steps (planned) = 1
#Exudyn version = 1.6.119.dev1; Python3.8.13; Windows AVX2 FLOAT64
#
#solution information = InvertedNPendulumEnv
0.08,0.01712756859,0.06049490729,0.03759269543,-0.01000870367,0.411060301,0.5930662911,-0.4958198825,-0.1320881179,13.82007429,17.32562994,-20.57224392,4.067481517
0.1,0.02811547138,0.07588103372,0.02342902506,-0.01174120294,0.6877299781,0.9455463522,-0.9205471552,-0.04116180865,13.84689342,17.92237617,-21.90048335,5.025149413
#Exudyn implicit second order time integration solver solution file
#simulation started=2023-11-15,19:53:11
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations
#number of system coordinates [nODE2, nODE1, nAlgebraic, nData] = [4,0,0,0]
#number of written coordinates [nODE2, nVel2, nAcc2, nODE1, nVel1, nAlgebraic, nData] = [4,4,4,0,0,0,0]
#total columns exported  (excl. time) = 12
#number of time steps (planned) = 1
#Exudyn version = 1.6.119.dev1; Python3.8.13; Windows AVX2 FLOAT64
#
#solution information = InvertedNPendulumEnv
0.1,0.02811547138,0.07588103372,0.02342902506,-0.01174120294,0.6877299781,0.9455463522,-0.9205471552,-0.04116180865,-10.34849634,-12.81378264,17.41266694,-6.469373625
0.12,0.03980650849,0.09229677467,0.008362024531,-0.01377194323,0.4813737328,0.6960277422,-0.5861528972,-0.1619122209,-10.28712818,-12.13807836,16.02675887,-5.605667596
#Exudyn implicit second order time integration solver solution file
#simulation started=2023-11-15,19:53:11
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations
#number of system coordinates [nODE2, nODE1, nAlgebraic, nData] = [4,0,0,0]
#number of written coordinates [nODE2, nVel2, nAcc2, nODE1, nVel1, nAlgebraic, nData] = [4,4,4,0,0,0,0]
#total columns exported  (excl. time) = 12
#number of time steps (planned) = 1
#Exudyn version = 1.6.119.dev1; Python3.8.13; Windows AVX2 FLOAT64
#
#solution information = InvertedNPendulumEnv
0.12,0.03980650849,0.09229677467,0.008362024531,-0.01377194323,0.4813737328,0.6960277422,-0.5861528972,-0.1619122209,7.515669453,10.40600215,-12.75609724,2.778218548
0.14,0.05093994674,0.1083533904,-0.006029136896,-0.01637609804,0.6319700929,0.9096338343,-0.8529632456,-0.09850326011,7.543966549,10.95460706,-13.9249376,3.562677527
#Exudyn implicit second order time integration solver solution file
#simulation started=2023-11-15,19:53:11
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations
#number of system coordinates [nODE2, nODE1, nAlgebraic, nData] = [4,0,0,0]
#number of written coordinates [nODE2, nVel2, nAcc2, nODE1, nVel1, nAlgebraic, nData] = [4,4,4,0,0,0,0]
#total columns exported  (excl. time) = 12
#number of time steps (planned) = 1
#Exudyn version = 1.6.119.dev1; Python3.8.13; Windows AVX2 FLOAT64
#
#solution information = InvertedNPendulumEnv
0.14,0.05093994674,0.1083533904,-0.006029136896,-0.01637609804,0.6319700929,0.9096338343,-0.8529632456,-0.09850326011,-8.008788688,-8.650875255,11.03083993,-3.654160752
0.16,0.06198371565,0.1248878053,-0.02103182061,-0.01898328763,0.4724067974,0.7438076537,-0.6473051257,-0.1622156989,-7.947540856,-7.931742803,9.534972055,-2.717083131
#Exudyn implicit second order time integration solver solution file
#simulation started=2023-11-15,19:53:11
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations
#number of system coordinates [nODE2, nODE1, nAlgebraic, nData] = [4,0,0,0]
#number of written coordinates [nODE2, nVel2, nAcc2, nODE1, nVel1, nAlgebraic, nData] = [4,4,4,0,0,0,0]
#total columns exported  (excl. time) = 12
#number of time steps (planned) = 1
#Exudyn version = 1.6.119.dev1; Python3.8.13; Windows AVX2 FLOAT64
#
#solution information = InvertedNPendulumEnv
0.16,0.06198371565,0.1248878053,-0.02103182061,-0.01898328763,0.4724067974,0.7438076537,-0.6473051257,-0.1622156989,-0.2469944761,1.714397301,-2.687405544,0.7744288463
0.18,0.07138631614,0.140163302,-0.03463278597,-0.02199911756,0.4678532522,0.7837420137,-0.7127914106,-0.1393672938,-0.2083600495,2.279038691,-3.861222944,1.510411666
#Exudyn implicit second order time integration solver solution file
#simulation started=2023-11-15,19:53:11
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations
#number of system coordinates [nODE2, nODE1, nAlgebraic, nData] = [4,0,0,0]
#number of written coordinates [nODE2, nVel2, nAcc2, nODE1, nVel1, nAlgebraic, nData] = [4,4,4,0,0,0,0]
#total columns exported  (excl. time) = 12
#number of time steps (planned) = 1
#Exudyn version = 1.6.119.dev1; Python3.8.13; Windows AVX2 FLOAT64
#
#solution information = InvertedNPendulumEnv
0.18,0.07138631614,0.140163302,-0.03463278597,-0.02199911756,0.4678532522,0.7837420137,-0.7127914106,-0.1393672938,-6.294513473,-5.290570901,5.67863699,-1.17568668
0.2,0.07948964972,0.1548442121,-0.04788683239,-0.02493878409,0.3424801057,0.6843489935,-0.6126132309,-0.1545993588,-6.242801173,-4.648731109,4.339180975,-0.347519823
#Exudyn implicit second order time integration solver solution file
#simulation started=2023-11-15,19:53:11
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations
#number of system coordinates [nODE2, nODE1, nAlgebraic, nData] = [4,0,0,0]
#number of written coordinates [nODE2, nVel2, nAcc2, nODE1, nVel1, nAlgebraic, nData] = [4,4,4,0,0,0,0]
#total columns exported  (excl. time) = 12
#number of time steps (planned) = 1
#Exudyn version = 1.6.119.dev1; Python3.8.13; Windows AVX2 FLOAT64
#
#solution information = InvertedNPendulumEnv
0.2,0.07948964972,0.1548442121,-0.04788683239,-0.02493878409,0.3424801057,0.6843489935,-0.6126132309,-0.1545993588,-5.419733334,-3.633401581,3.067781357,0.004030010872
0.22,0.08525967798,0.1678605159,-0.05964216463,-0.02795906419,0.2345227201,0.617281393,-0.5629199932,-0.1474286509,-5.376005226,-3.073358472,1.901542417,0.7130407872
#Exudyn implicit second order time integration solver solution file
#simulation started=2023-11-15,19:53:11
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations
