#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 2, 'evaluationSteps': 5000, 'episodeSteps': 1000, 'episodeStepsMax': 1250, 'totalLearningSteps': 300000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'A2C', 'rewardMode': 2, 'rewardPositionFactor': 0.5, 'stepUpdateTime': 0.02, 'thresholdFactor': 0.5, 'cartForce': 12, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models/DoublePendulum_A2C_r2_v0Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/DoublePendulum_A2C_r2_v0Results', 'verbose': True}
#
'totalSteps': 1005, 'rewardStep': 0.7188599516676424, 'errorList': [], 'lossList': [0.0, -1.4068975448608398, 3.2460827827453613, 5.440299034118652, 0.0, 0.0, 0.0], 'rewardMean': 0.7188599516676424, 'totalEpisodes': 88, 'stepsPerEpisode': 20, 'rewardPerEpisode': 15.668364924108873
'totalSteps': 2014, 'rewardStep': 0.34289403425743514, 'errorList': [], 'lossList': [0.0, -1.3969494104385376, 1.6657025814056396, 1.636090874671936, 0.0, 0.0, 0.0], 'rewardMean': 0.5308769929625388, 'totalEpisodes': 152, 'stepsPerEpisode': 35, 'rewardPerEpisode': 23.329396654175007
'totalSteps': 3032, 'rewardStep': 0.44174298597028067, 'errorList': [], 'lossList': [0.0, -1.401705026626587, 1.2043720483779907, 1.2870622873306274, 0.0, 0.0, 0.0], 'rewardMean': 0.5011656572984527, 'totalEpisodes': 206, 'stepsPerEpisode': 32, 'rewardPerEpisode': 23.04712082459049
'totalSteps': 4069, 'rewardStep': 0.545439993708859, 'errorList': [], 'lossList': [0.0, -1.393437147140503, 1.3530910015106201, 1.0612114667892456, 0.0, 0.0, 0.0], 'rewardMean': 0.5122342414010543, 'totalEpisodes': 254, 'stepsPerEpisode': 70, 'rewardPerEpisode': 53.75415790427352
'totalSteps': 5090, 'rewardStep': 0.4789172827339189, 'errorList': [], 'lossList': [0.0, -1.3975645303726196, 0.7550376057624817, 0.5589649081230164, 0.0, 0.0, 0.0], 'rewardMean': 0.5055708496676272, 'totalEpisodes': 297, 'stepsPerEpisode': 31, 'rewardPerEpisode': 23.829922250852363
'totalSteps': 6091, 'rewardStep': 0.38193760162274903, 'errorList': [], 'lossList': [0.0, -1.3968069553375244, 0.1503067910671234, 0.014084430411458015, 0.0, 0.0, 0.0], 'rewardMean': 0.4381863796586486, 'totalEpisodes': 346, 'stepsPerEpisode': 11, 'rewardPerEpisode': 5.0145758980724295
'totalSteps': 7095, 'rewardStep': 0.46538780533135865, 'errorList': [], 'lossList': [0.0, -1.4020053148269653, 0.9633177518844604, 0.36151668429374695, 0.0, 0.0, 0.0], 'rewardMean': 0.46268513387343324, 'totalEpisodes': 389, 'stepsPerEpisode': 20, 'rewardPerEpisode': 13.979501570277943
'totalSteps': 8096, 'rewardStep': 0.4704813568263177, 'errorList': [], 'lossList': [0.0, -1.4014338254928589, 0.14149050414562225, 0.0349506251513958, 0.0, 0.0, 0.0], 'rewardMean': 0.4684328080446406, 'totalEpisodes': 436, 'stepsPerEpisode': 52, 'rewardPerEpisode': 41.839265601606
'totalSteps': 9117, 'rewardStep': 0.5987383253108038, 'errorList': [], 'lossList': [0.0, -1.3790130615234375, 0.12826654314994812, 0.01083860732614994, 0.0, 0.0, 0.0], 'rewardMean': 0.47909247436502966, 'totalEpisodes': 483, 'stepsPerEpisode': 73, 'rewardPerEpisode': 58.394950845385495
'totalSteps': 10120, 'rewardStep': 0.6276429921205697, 'errorList': [], 'lossList': [0.0, -1.3635200262069702, 0.44213977456092834, 0.16349031031131744, 0.0, 0.0, 0.0], 'rewardMean': 0.5088376162423598, 'totalEpisodes': 523, 'stepsPerEpisode': 31, 'rewardPerEpisode': 25.83680312818902
'totalSteps': 11169, 'rewardStep': 0.41674480503936023, 'errorList': [], 'lossList': [0.0, -1.3627816438674927, -0.053590077906847, 0.0027942024171352386, 0.0, 0.0, 0.0], 'rewardMean': 0.5157990569256821, 'totalEpisodes': 575, 'stepsPerEpisode': 56, 'rewardPerEpisode': 37.24568345057652
