#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 2, 'evaluationSteps': 5000, 'episodeSteps': 1000, 'episodeStepsMax': 1250, 'totalLearningSteps': 200000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'A2C', 'rewardMode': 4, 'rewardPositionFactor': 0.5, 'stepUpdateTime': 0.02, 'thresholdFactor': 0.5, 'cartForce': 40, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models/DoublePendulum_A2C_r4_v0_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/DoublePendulum_A2C_r4_v0_Results', 'verbose': True}
#
'totalSteps': 1016, 'rewardStep': 0.7042554201958671, 'errorList': [], 'lossList': [0.0, -1.3831075429916382, 2.571476459503174, 3.5673530101776123, 0.0, 0.0, 0.0], 'rewardMean': 0.7042554201958671, 'totalEpisodes': 110, 'stepsPerEpisode': 23, 'rewardPerEpisode': 19.315491877664897
'totalSteps': 2033, 'rewardStep': 0.3488587661325181, 'errorList': [], 'lossList': [0.0, -1.3748880624771118, 1.3523391485214233, 1.7223060131072998, 0.0, 0.0, 0.0], 'rewardMean': 0.5265570931641926, 'totalEpisodes': 211, 'stepsPerEpisode': 38, 'rewardPerEpisode': 27.664736405164508
'totalSteps': 3039, 'rewardStep': 0.7752759558162692, 'errorList': [], 'lossList': [0.0, -1.3533586263656616, 2.471374988555908, 4.0292816162109375, 0.0, 0.0, 0.0], 'rewardMean': 0.6094633807148848, 'totalEpisodes': 306, 'stepsPerEpisode': 15, 'rewardPerEpisode': 12.104447092949496
'totalSteps': 4044, 'rewardStep': 0.7848443381763831, 'errorList': [], 'lossList': [0.0, -1.3382489681243896, 2.406074047088623, 4.297281265258789, 0.0, 0.0, 0.0], 'rewardMean': 0.6533086200802594, 'totalEpisodes': 389, 'stepsPerEpisode': 23, 'rewardPerEpisode': 19.969773393629893
'totalSteps': 5051, 'rewardStep': 0.7485823530238426, 'errorList': [], 'lossList': [0.0, -1.3303754329681396, 1.7295901775360107, 3.601492404937744, 0.0, 0.0, 0.0], 'rewardMean': 0.6723633666689761, 'totalEpisodes': 451, 'stepsPerEpisode': 52, 'rewardPerEpisode': 46.993305775681
'totalSteps': 6055, 'rewardStep': 0.8593578879685736, 'errorList': [], 'lossList': [0.0, -1.3043214082717896, 2.316185712814331, 4.1348748207092285, 0.0, 0.0, 0.0], 'rewardMean': 0.7033838602235173, 'totalEpisodes': 509, 'stepsPerEpisode': 34, 'rewardPerEpisode': 31.63588851605575
'totalSteps': 7055, 'rewardStep': 0.7680091298600374, 'errorList': [], 'lossList': [0.0, -1.2825533151626587, 1.9967870712280273, 2.309546709060669, 0.0, 0.0, 0.0], 'rewardMean': 0.7872139329690212, 'totalEpisodes': 557, 'stepsPerEpisode': 25, 'rewardPerEpisode': 20.51523632277531
'totalSteps': 8076, 'rewardStep': 0.7286844455668582, 'errorList': [], 'lossList': [0.0, -1.2889450788497925, 1.4044466018676758, 1.4180490970611572, 0.0, 0.0, 0.0], 'rewardMean': 0.7778956309191389, 'totalEpisodes': 621, 'stepsPerEpisode': 28, 'rewardPerEpisode': 22.952172169768158
'totalSteps': 9082, 'rewardStep': 0.824798775222829, 'errorList': [], 'lossList': [0.0, -1.2667208909988403, 2.2700932025909424, 1.9055054187774658, 0.0, 0.0, 0.0], 'rewardMean': 0.7858865183284282, 'totalEpisodes': 676, 'stepsPerEpisode': 9, 'rewardPerEpisode': 7.843997860188697
'totalSteps': 10119, 'rewardStep': 0.45323711819365275, 'errorList': [], 'lossList': [0.0, -1.2442060708999634, -0.03292980417609215, 0.0005886257858946919, 0.0, 0.0, 0.0], 'rewardMean': 0.7268174713623902, 'totalEpisodes': 727, 'stepsPerEpisode': 55, 'rewardPerEpisode': 42.19554368186773
'totalSteps': 11166, 'rewardStep': 0.8297193398857945, 'errorList': [], 'lossList': [0.0, -1.235950231552124, 0.8453723788261414, 0.9791841506958008, 0.0, 0.0, 0.0], 'rewardMean': 0.7208897617458344, 'totalEpisodes': 770, 'stepsPerEpisode': 51, 'rewardPerEpisode': 46.34382310870778
'totalSteps': 12178, 'rewardStep': 0.7526521253226558, 'errorList': [], 'lossList': [0.0, -1.2250615358352661, 0.5553130507469177, 0.18363173305988312, 0.0, 0.0, 0.0], 'rewardMean': 0.717818360838358, 'totalEpisodes': 806, 'stepsPerEpisode': 23, 'rewardPerEpisode': 18.142739373631954
