#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 1, 'evaluationSteps': 5000, 'episodeSteps': 1000, 'episodeStepsMax': 1250, 'totalLearningSteps': 60000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'A2C', 'rewardMode': 2, 'rewardPositionFactor': 0.5, 'stepUpdateTime': 0.02, 'thresholdFactor': 0.5, 'cartForce': 12, 'numberOfTests': 50, 'relativeFriction': 0.0, 'storeBestModel': 'models/SP_A2C_r2_v4_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/SP_A2C_r2_v4_Results', 'verbose': True}
#
'totalSteps': 1052, 'rewardStep': 0.3284889557403515, 'errorList': [], 'lossList': [0.0, -1.384339451789856, 1.716070532798767, 1.3879998922348022, 0.0, 0.0, 0.0], 'rewardMean': 0.3284889557403515, 'totalEpisodes': 47, 'stepsPerEpisode': 90, 'rewardPerEpisode': 68.05377573262285
'totalSteps': 2090, 'rewardStep': 0.3937662046711087, 'errorList': [], 'lossList': [0.0, -1.3854541778564453, 1.158376932144165, 0.8455918431282043, 0.0, 0.0, 0.0], 'rewardMean': 0.3611275802057301, 'totalEpisodes': 66, 'stepsPerEpisode': 88, 'rewardPerEpisode': 73.95304386031074
'totalSteps': 3137, 'rewardStep': 0.31479375877277127, 'errorList': [], 'lossList': [0.0, -1.388951063156128, 0.4883878827095032, 0.21342697739601135, 0.0, 0.0, 0.0], 'rewardMean': 0.34568297306141044, 'totalEpisodes': 82, 'stepsPerEpisode': 68, 'rewardPerEpisode': 47.148250167495235
'totalSteps': 4173, 'rewardStep': 0.2830127425166715, 'errorList': [], 'lossList': [0.0, -1.3871058225631714, -0.3049503266811371, 0.041891105473041534, 0.0, 0.0, 0.0], 'rewardMean': 0.3300154154252257, 'totalEpisodes': 89, 'stepsPerEpisode': 129, 'rewardPerEpisode': 103.35176468080226
'totalSteps': 5191, 'rewardStep': 0.30481265276895364, 'errorList': [], 'lossList': [0.0, -1.3907535076141357, 0.05031811445951462, 0.005539822392165661, 0.0, 0.0, 0.0], 'rewardMean': 0.3249748628939713, 'totalEpisodes': 97, 'stepsPerEpisode': 290, 'rewardPerEpisode': 206.61024771434745
'totalSteps': 6441, 'rewardStep': 0.8951979182733689, 'errorList': [], 'lossList': [0.0, -1.3553657531738281, 1.9259401559829712, 1.1105191707611084, 0.0, 0.0, 0.0], 'rewardMean': 0.38164575914727306, 'totalEpisodes': 103, 'stepsPerEpisode': 367, 'rewardPerEpisode': 309.71621853117693
'totalSteps': 7691, 'rewardStep': 0.6481832601541726, 'errorList': [], 'lossList': [0.0, -1.3334070444107056, 0.004754642955958843, 0.0004374893323983997, 0.0, 0.0, 0.0], 'rewardMean': 0.4136151895886552, 'totalEpisodes': 104, 'stepsPerEpisode': 302, 'rewardPerEpisode': 231.30167207222837
'totalSteps': 8783, 'rewardStep': 0.3508979120941408, 'errorList': [], 'lossList': [0.0, -1.3159551620483398, -3.8635833263397217, 16.616975784301758, 0.0, 0.0, 0.0], 'rewardMean': 0.4050415310732616, 'totalEpisodes': 108, 'stepsPerEpisode': 299, 'rewardPerEpisode': 217.19964336019416
'totalSteps': 9875, 'rewardStep': 0.31834817144862904, 'errorList': [], 'lossList': [0.0, -1.3039453029632568, 4.488714694976807, 5.896407127380371, 0.0, 0.0, 0.0], 'rewardMean': 0.4057524136084331, 'totalEpisodes': 112, 'stepsPerEpisode': 293, 'rewardPerEpisode': 223.40373548815904
'totalSteps': 10967, 'rewardStep': 0.21320306922287846, 'errorList': [], 'lossList': [0.0, -1.2950332164764404, -2.1921353340148926, 2.7289481163024902, 0.0, 0.0, 0.0], 'rewardMean': 0.39179047894967456, 'totalEpisodes': 116, 'stepsPerEpisode': 376, 'rewardPerEpisode': 292.9000179237203
'totalSteps': 12097, 'rewardStep': 0.4719488892349841, 'errorList': [], 'lossList': [0.0, -1.28846275806427, 2.7938055992126465, 10.100578308105469, 0.0, 0.0, 0.0], 'rewardMean': 0.4252177262428806, 'totalEpisodes': 121, 'stepsPerEpisode': 343, 'rewardPerEpisode': 262.79514027157035
